row_id,candidate,stage,family,spec_fingerprint,seed,mirror,reverse_insertion,threshold,coupling,load,spacing,train_spacing,allocation,genuine,expected_effect,learning_work,execution_work,queue_work,delivered,generation_checks,temporary_peak_count,temporary_peak_bytes_lower_bound,temporary_accounting,persistent_bytes,arrow_records,live_structures,proposals,deallocations,return_updates,eligibility_writes,pressure_updates,locus_firings,effect_firings,transmissions,crossings,false_conjunction,resistance_start,resistance_end,coupling_start,coupling_end,reversal_cost,deallocation_cost,reacquisition_cost,timing_tolerance,dense_attribution_ok,recursion_depth,heldout_reuse,replay_equal,naturally_quiescent,runaway,complete_fingerprint,permanent_fingerprint,row_pass
coverage-correction-v2-burst-4-s1307-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-B,gate,same_source_bursts,5811939397332777887,1307,false,false,2,1,0,1,0,2,false,false,0,42,6,4,4,4,160,LOWER_BOUND,272,2,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,8361389084749901550,14996557411990362632,true
coverage-correction-v2-blocked-late-return-s1307-m0-r0-t2-c1-l0-d0-tr0-a6,CJ-B,gate,dense_return_topology,8128760872284371187,1307,false,false,2,1,0,0,0,6,true,true,50,16,1,5,5,2,80,LOWER_BOUND,832,7,2,0,0,0,2,2,1,1,2,1,false,3,2,1,1,0,0,0,0,true,0,false,false,true,false,1061226054779999153,17108086806998946019,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d-1-tr0-a2,CJ-B,gate,timing_transfer,2927297177731532790,1307,false,false,2,1,0,-1,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,11419241153566623193,10878716718856395116,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-B,gate,timing_transfer,10014569741552434460,1307,false,false,2,1,0,0,0,2,true,false,48,35,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,1,4,3,1,1,4,2,false,0,0,0,0,0,0,0,1,false,0,true,false,true,false,16520677388113642442,10878716718856395116,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-B,gate,timing_transfer,2572967560081110328,1307,false,false,2,1,0,1,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,17684388161427453849,10878716718856395116,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d2-tr0-a2,CJ-B,gate,timing_transfer,13107014816433159984,1307,false,false,2,1,0,2,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,11532931979068397762,10878716718856395116,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d3-tr0-a2,CJ-B,gate,timing_transfer,6865404234724549564,1307,false,false,2,1,0,3,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,4950128353471156047,10878716718856395116,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d4-tr0-a2,CJ-B,gate,timing_transfer,17376461825760035884,1307,false,false,2,1,0,4,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,278192048923864464,10878716718856395116,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d5-tr0-a2,CJ-B,gate,timing_transfer,15855522480524255264,1307,false,false,2,1,0,5,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,14315527010071393109,10878716718856395116,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d-1-tr2-a2,CJ-B,gate,timing_transfer,8869820199641363842,1307,false,false,2,1,0,-1,2,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,6258770330696442215,1191741978025789658,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d0-tr2-a2,CJ-B,gate,timing_transfer,13251737601431672724,1307,false,false,2,1,0,0,2,2,true,false,25,35,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,0,2,2,0,1,2,1,false,0,0,0,0,0,0,0,1,false,0,true,false,true,false,3340428863825905498,1191741978025789658,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d1-tr2-a2,CJ-B,gate,timing_transfer,8261497341203796224,1307,false,false,2,1,0,1,2,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,11568518555980016679,1191741978025789658,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d2-tr2-a2,CJ-B,gate,timing_transfer,15704125108350936504,1307,false,false,2,1,0,2,2,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,18337172655905302028,1191741978025789658,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d3-tr2-a2,CJ-B,gate,timing_transfer,1514747083272216900,1307,false,false,2,1,0,3,2,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,14990260199861296653,1191741978025789658,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d4-tr2-a2,CJ-B,gate,timing_transfer,5700871418663342116,1307,false,false,2,1,0,4,2,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,4876567314119748578,1191741978025789658,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d5-tr2-a2,CJ-B,gate,timing_transfer,3456756080225894456,1307,false,false,2,1,0,5,2,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,17257830085382367291,1191741978025789658,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d-1-tr4-a2,CJ-B,gate,timing_transfer,3229542864705819494,1307,false,false,2,1,0,-1,4,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,6258770330696442215,1191741978025789658,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d0-tr4-a2,CJ-B,gate,timing_transfer,3639862050988136420,1307,false,false,2,1,0,0,4,2,true,false,25,35,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,0,2,2,0,1,2,1,false,0,0,0,0,0,0,0,1,false,0,true,false,true,false,3340428863825905498,1191741978025789658,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d1-tr4-a2,CJ-B,gate,timing_transfer,6905061257468357192,1307,false,false,2,1,0,1,4,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,11568518555980016679,1191741978025789658,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d2-tr4-a2,CJ-B,gate,timing_transfer,15420210846381276584,1307,false,false,2,1,0,2,4,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,18337172655905302028,1191741978025789658,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d3-tr4-a2,CJ-B,gate,timing_transfer,10498215226536973404,1307,false,false,2,1,0,3,4,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,14990260199861296653,1191741978025789658,true
