row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
coverage-correction-v2-burst-4-s1307-m0-r0-t2-c1-l0-d1-tr0-a2,gate,same_source_bursts,5811939397332777887,0,0,false,false,false,true,true,42,67,272,272,true,true
coverage-correction-v2-blocked-late-return-s1307-m0-r0-t2-c1-l0-d0-tr0-a6,gate,dense_return_topology,8128760872284371187,1,1,false,false,false,true,true,66,65,832,832,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d-1-tr0-a2,gate,timing_transfer,2927297177731532790,0,0,false,false,false,true,true,62,67,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d0-tr0-a2,gate,timing_transfer,10014569741552434460,1,1,false,false,false,true,true,83,78,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d1-tr0-a2,gate,timing_transfer,2572967560081110328,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d2-tr0-a2,gate,timing_transfer,13107014816433159984,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d3-tr0-a2,gate,timing_transfer,6865404234724549564,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d4-tr0-a2,gate,timing_transfer,17376461825760035884,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d5-tr0-a2,gate,timing_transfer,15855522480524255264,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d-1-tr2-a2,gate,timing_transfer,8869820199641363842,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d0-tr2-a2,gate,timing_transfer,13251737601431672724,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d1-tr2-a2,gate,timing_transfer,8261497341203796224,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d2-tr2-a2,gate,timing_transfer,15704125108350936504,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d3-tr2-a2,gate,timing_transfer,1514747083272216900,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d4-tr2-a2,gate,timing_transfer,5700871418663342116,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d5-tr2-a2,gate,timing_transfer,3456756080225894456,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d-1-tr4-a2,gate,timing_transfer,3229542864705819494,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d0-tr4-a2,gate,timing_transfer,3639862050988136420,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d1-tr4-a2,gate,timing_transfer,6905061257468357192,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d2-tr4-a2,gate,timing_transfer,15420210846381276584,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d3-tr4-a2,gate,timing_transfer,10498215226536973404,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d4-tr4-a2,gate,timing_transfer,5592134732253933380,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d5-tr4-a2,gate,timing_transfer,12840544146326874576,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-contemporary-reversal-s1307-m0-r0-t2-c1-l0-d0-tr0-a2,gate,shared_control,13304157059339300550,2,4,true,false,false,false,false,550,853,912,848,true,true
coverage-correction-v2-burst-4-s1307-m0-r0-t2-c1-l4-d1-tr0-a2,gate,same_source_bursts,14836814779565620879,0,0,false,false,false,true,true,42,67,272,272,true,true
coverage-correction-v2-blocked-late-return-s1307-m0-r0-t2-c1-l4-d0-tr0-a6,gate,dense_return_topology,17259639789785201491,1,1,false,false,false,true,true,136,135,1024,1024,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d-1-tr0-a2,gate,timing_transfer,7800419536984539438,0,0,false,false,false,true,true,62,67,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d0-tr0-a2,gate,timing_transfer,3773525744315267844,1,1,false,false,false,true,true,83,78,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d1-tr0-a2,gate,timing_transfer,13769335003783230328,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d2-tr0-a2,gate,timing_transfer,11859588164135734624,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d3-tr0-a2,gate,timing_transfer,8230813900571580260,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d4-tr0-a2,gate,timing_transfer,3311571486166061460,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d5-tr0-a2,gate,timing_transfer,8855994393372990064,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d-1-tr2-a2,gate,timing_transfer,8719713180774322138,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d0-tr2-a2,gate,timing_transfer,7313535872751739484,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d1-tr2-a2,gate,timing_transfer,8798670477281368976,0,0,false,false,false,true,true,39,53,272,272,true,true
