row_id,candidate,stage,family,spec_fingerprint,seed,mirror,reverse_insertion,threshold,coupling,load,spacing,train_spacing,allocation,genuine,expected_effect,learning_work,execution_work,queue_work,delivered,generation_checks,temporary_peak_count,temporary_peak_bytes_lower_bound,temporary_accounting,persistent_bytes,arrow_records,live_structures,proposals,deallocations,return_updates,eligibility_writes,pressure_updates,locus_firings,effect_firings,transmissions,crossings,false_conjunction,resistance_start,resistance_end,coupling_start,coupling_end,reversal_cost,deallocation_cost,reacquisition_cost,timing_tolerance,dense_attribution_ok,recursion_depth,heldout_reuse,replay_equal,naturally_quiescent,runaway,complete_fingerprint,permanent_fingerprint,row_pass
coverage-correction-v2-burst-4-s1211-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-E,micro,same_source_bursts,523806974165260786,1211,false,false,2,1,0,1,0,2,false,false,0,67,12,8,8,4,160,LOWER_BOUND,272,2,0,0,0,3,4,0,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,15094705126331831572,1192105367538306116,true
coverage-correction-v2-blocked-late-return-s1211-m0-r0-t2-c1-l0-d0-tr0-a6,CJ-E,micro,dense_return_topology,260078269545050664,1211,false,false,2,1,0,0,0,6,true,true,45,20,1,6,6,2,80,LOWER_BOUND,832,7,2,0,0,0,3,2,1,1,NA,1,false,3,2,1,1,0,0,0,0,true,0,false,false,true,false,18309918759336958861,18360118619101795627,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d-1-tr0-a2,CJ-E,micro,timing_transfer,8582874726210930419,1211,false,false,2,1,0,-1,0,2,true,false,48,19,3,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,9341221135348151999,618812779026321614,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-E,micro,timing_transfer,2992316523271747075,1211,false,false,2,1,0,0,0,2,true,false,48,30,2,10,10,2,80,LOWER_BOUND,272,2,0,0,0,2,5,3,1,1,NA,2,false,0,0,0,0,0,0,0,1,false,0,true,false,true,false,9460748011776810679,618812779026321614,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-E,micro,timing_transfer,4262858607857362089,1211,false,false,2,1,0,1,0,2,true,false,48,18,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,6680825498380906051,618812779026321614,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d2-tr0-a2,CJ-E,micro,timing_transfer,14409471513018332307,1211,false,false,2,1,0,2,0,2,true,false,48,18,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,8019877244163372881,618812779026321614,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d3-tr0-a2,CJ-E,micro,timing_transfer,656396120686223661,1211,false,false,2,1,0,3,0,2,true,false,48,18,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,5368709714808949011,618812779026321614,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d4-tr0-a2,CJ-E,micro,timing_transfer,6892618633618189803,1211,false,false,2,1,0,4,0,2,true,false,48,18,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,8328389916460494149,618812779026321614,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d5-tr0-a2,CJ-E,micro,timing_transfer,6491018559228169689,1211,false,false,2,1,0,5,0,2,true,false,48,18,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,4811137757627466467,618812779026321614,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d-1-tr2-a2,CJ-E,micro,timing_transfer,3270022331588639847,1211,false,false,2,1,0,-1,2,2,true,false,35,19,3,8,8,2,80,LOWER_BOUND,272,2,0,0,0,1,3,3,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,13820195983753533339,3023781310061408981,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d0-tr2-a2,CJ-E,micro,timing_transfer,3356533665709990247,1211,false,false,2,1,0,0,2,2,true,false,35,30,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,1,4,3,0,1,NA,1,false,0,0,0,0,0,0,0,1,false,0,true,false,true,false,3867519731735521955,3023781310061408981,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d1-tr2-a2,CJ-E,micro,timing_transfer,365700971137703121,1211,false,false,2,1,0,1,2,2,true,false,35,18,2,8,8,2,80,LOWER_BOUND,272,2,0,0,0,1,3,3,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,718654694217721579,3023781310061408981,true
