row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
coverage-correction-v2-burst-4-s1211-m0-r0-t2-c1-l0-d1-tr0-a2,micro,same_source_bursts,523806974165260786,0,0,false,false,false,true,true,42,67,272,272,true,true
coverage-correction-v2-blocked-late-return-s1211-m0-r0-t2-c1-l0-d0-tr0-a6,micro,dense_return_topology,260078269545050664,1,1,false,false,false,true,true,66,65,832,832,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d-1-tr0-a2,micro,timing_transfer,8582874726210930419,0,0,false,false,false,true,true,62,67,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d0-tr0-a2,micro,timing_transfer,2992316523271747075,1,1,false,false,false,true,true,83,78,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d1-tr0-a2,micro,timing_transfer,4262858607857362089,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d2-tr0-a2,micro,timing_transfer,14409471513018332307,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d3-tr0-a2,micro,timing_transfer,656396120686223661,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d4-tr0-a2,micro,timing_transfer,6892618633618189803,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d5-tr0-a2,micro,timing_transfer,6491018559228169689,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d-1-tr2-a2,micro,timing_transfer,3270022331588639847,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d0-tr2-a2,micro,timing_transfer,3356533665709990247,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d1-tr2-a2,micro,timing_transfer,365700971137703121,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d2-tr2-a2,micro,timing_transfer,7397877216643357807,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d3-tr2-a2,micro,timing_transfer,3875955829111961957,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d4-tr2-a2,micro,timing_transfer,16725772315767436119,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d5-tr2-a2,micro,timing_transfer,15648480358812579985,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d-1-tr4-a2,micro,timing_transfer,14068015607581059123,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d0-tr4-a2,micro,timing_transfer,9517508462083343379,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d1-tr4-a2,micro,timing_transfer,14388600706955961233,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d2-tr4-a2,micro,timing_transfer,13205679352391954555,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d3-tr4-a2,micro,timing_transfer,3107443172168541909,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d4-tr4-a2,micro,timing_transfer,16962259619888898299,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l0-d5-tr4-a2,micro,timing_transfer,16331930284092513041,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-contemporary-reversal-s1211-m0-r0-t2-c1-l0-d0-tr0-a2,micro,shared_control,9342224093750688229,2,4,true,false,false,false,false,550,853,912,848,true,true
coverage-correction-v2-burst-4-s1211-m0-r0-t2-c1-l4-d1-tr0-a2,micro,same_source_bursts,6872040571049817234,0,0,false,false,false,true,true,42,67,272,272,true,true
coverage-correction-v2-blocked-late-return-s1211-m0-r0-t2-c1-l4-d0-tr0-a6,micro,dense_return_topology,16723810723943575368,1,1,false,false,false,true,true,136,135,1024,1024,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d-1-tr0-a2,micro,timing_transfer,18142177106911492891,0,0,false,false,false,true,true,62,67,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d0-tr0-a2,micro,timing_transfer,1300498446031740531,1,1,false,false,false,true,true,83,78,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d1-tr0-a2,micro,timing_transfer,15950745891371559233,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d2-tr0-a2,micro,timing_transfer,8297733974492316419,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d3-tr0-a2,micro,timing_transfer,13609953314691369869,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d4-tr0-a2,micro,timing_transfer,7260269683613008907,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d5-tr0-a2,micro,timing_transfer,2867463179265756785,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d-1-tr2-a2,micro,timing_transfer,18373730883088126695,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d0-tr2-a2,micro,timing_transfer,13400630676716822143,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d1-tr2-a2,micro,timing_transfer,4707192882193807737,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d2-tr2-a2,micro,timing_transfer,3036442112703088295,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d3-tr2-a2,micro,timing_transfer,811274087459565397,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d4-tr2-a2,micro,timing_transfer,5836071076421684367,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d5-tr2-a2,micro,timing_transfer,15496086689034396185,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d-1-tr4-a2,micro,timing_transfer,6357619991783387051,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d0-tr4-a2,micro,timing_transfer,8828207179220906467,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d1-tr4-a2,micro,timing_transfer,17917960352778139353,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d2-tr4-a2,micro,timing_transfer,13476469829291437819,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d3-tr4-a2,micro,timing_transfer,8852203063322444165,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d4-tr4-a2,micro,timing_transfer,11782863254407330171,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1211-m0-r0-t2-c1-l4-d5-tr4-a2,micro,timing_transfer,1251772088347353529,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-contemporary-reversal-s1211-m0-r0-t2-c1-l4-d0-tr0-a2,micro,shared_control,10610496607319929629,2,4,true,false,false,false,false,550,853,912,848,true,true
coverage-correction-v2-burst-4-s1211-m0-r0-t2-c2-l0-d1-tr0-a2,micro,same_source_bursts,18196513351909379844,4,2,true,true,true,false,false,140,94,272,272,true,true
coverage-correction-v2-blocked-late-return-s1211-m0-r0-t2-c2-l0-d0-tr0-a6,micro,dense_return_topology,11334438902592470084,1,1,false,false,false,true,true,96,65,832,832,true,true
