row_id,candidate,stage,family,spec_fingerprint,seed,mirror,reverse_insertion,threshold,coupling,load,spacing,train_spacing,allocation,genuine,expected_effect,learning_work,execution_work,queue_work,delivered,generation_checks,temporary_peak_count,temporary_peak_bytes_lower_bound,temporary_accounting,persistent_bytes,arrow_records,live_structures,proposals,deallocations,return_updates,eligibility_writes,pressure_updates,locus_firings,effect_firings,transmissions,crossings,false_conjunction,resistance_start,resistance_end,coupling_start,coupling_end,reversal_cost,deallocation_cost,reacquisition_cost,timing_tolerance,dense_attribution_ok,recursion_depth,heldout_reuse,replay_equal,naturally_quiescent,runaway,complete_fingerprint,permanent_fingerprint,row_pass
coverage-correction-v2-burst-4-s1101-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-B,probe,same_source_bursts,15714203352338527116,1101,false,false,2,1,0,1,0,2,false,false,0,42,6,4,4,4,160,LOWER_BOUND,272,2,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,5581565452543848529,15794105554246277307,true
coverage-correction-v2-blocked-late-return-s1101-m0-r0-t2-c1-l0-d0-tr0-a6,CJ-B,probe,dense_return_topology,9656497399797362830,1101,false,false,2,1,0,0,0,6,true,true,50,16,1,5,5,2,80,LOWER_BOUND,832,7,2,0,0,0,2,2,1,1,2,1,false,3,2,1,1,0,0,0,0,true,0,false,false,true,false,10031672547625267709,4130354960667916627,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d-1-tr0-a2,CJ-B,probe,timing_transfer,10233121686676802305,1101,false,false,2,1,0,-1,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,4438179470327394658,17059139983530498163,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-B,probe,timing_transfer,11705136086824969577,1101,false,false,2,1,0,0,0,2,true,false,48,35,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,1,4,3,1,1,4,2,false,0,0,0,0,0,0,0,1,false,0,true,false,true,false,10505057461571557289,17059139983530498163,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-B,probe,timing_transfer,15985120067311471151,1101,false,false,2,1,0,1,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,14710605112755985574,17059139983530498163,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d2-tr0-a2,CJ-B,probe,timing_transfer,11847445083134134713,1101,false,false,2,1,0,2,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,2408309969493619813,17059139983530498163,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d3-tr0-a2,CJ-B,probe,timing_transfer,6963640009977641899,1101,false,false,2,1,0,3,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,10951686471265587648,17059139983530498163,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d4-tr0-a2,CJ-B,probe,timing_transfer,14800479874225124473,1101,false,false,2,1,0,4,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,5699607432840809423,17059139983530498163,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d5-tr0-a2,CJ-B,probe,timing_transfer,4322949470174232367,1101,false,false,2,1,0,5,0,2,true,false,48,14,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,1,2,3,1,0,2,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,16256941403207522178,17059139983530498163,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d-1-tr2-a2,CJ-B,probe,timing_transfer,7861134485913738117,1101,false,false,2,1,0,-1,2,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,10695157093130761632,3313311511266726765,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d0-tr2-a2,CJ-B,probe,timing_transfer,3074649030666164045,1101,false,false,2,1,0,0,2,2,true,false,25,35,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,0,2,2,0,1,2,1,false,0,0,0,0,0,0,0,1,false,0,true,false,true,false,5485089784097226473,3313311511266726765,true
