row_id,candidate,stage,family,spec_fingerprint,seed,mirror,reverse_insertion,threshold,coupling,load,spacing,train_spacing,allocation,genuine,expected_effect,learning_work,execution_work,queue_work,delivered,generation_checks,temporary_peak_count,temporary_peak_bytes_lower_bound,temporary_accounting,persistent_bytes,arrow_records,live_structures,proposals,deallocations,return_updates,eligibility_writes,pressure_updates,locus_firings,effect_firings,transmissions,crossings,false_conjunction,resistance_start,resistance_end,coupling_start,coupling_end,reversal_cost,deallocation_cost,reacquisition_cost,timing_tolerance,dense_attribution_ok,recursion_depth,heldout_reuse,replay_equal,naturally_quiescent,runaway,complete_fingerprint,permanent_fingerprint,row_pass
coverage-correction-v2-burst-4-s1101-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-E,probe,same_source_bursts,15714203352338527116,1101,false,false,2,1,0,1,0,2,false,false,0,67,12,8,8,4,160,LOWER_BOUND,272,2,0,0,0,3,4,0,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,11059487413018557266,10669256453136994290,true
coverage-correction-v2-blocked-late-return-s1101-m0-r0-t2-c1-l0-d0-tr0-a6,CJ-E,probe,dense_return_topology,9656497399797362830,1101,false,false,2,1,0,0,0,6,true,true,45,20,1,6,6,2,80,LOWER_BOUND,832,7,2,0,0,0,3,2,1,1,NA,1,false,3,2,1,1,0,0,0,0,true,0,false,false,true,false,1908576269449627993,4130354960667916627,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d-1-tr0-a2,CJ-E,probe,timing_transfer,10233121686676802305,1101,false,false,2,1,0,-1,0,2,true,false,48,19,3,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,10836738116267745529,7223311400728770352,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-E,probe,timing_transfer,11705136086824969577,1101,false,false,2,1,0,0,0,2,true,false,48,30,2,10,10,2,80,LOWER_BOUND,272,2,0,0,0,2,5,3,1,1,NA,2,false,0,0,0,0,0,0,0,1,false,0,true,false,true,false,16085403482978468789,7223311400728770352,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-E,probe,timing_transfer,15985120067311471151,1101,false,false,2,1,0,1,0,2,true,false,48,18,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,17705564074919657721,7223311400728770352,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d2-tr0-a2,CJ-E,probe,timing_transfer,11847445083134134713,1101,false,false,2,1,0,2,0,2,true,false,48,18,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,9236665763070183271,7223311400728770352,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d3-tr0-a2,CJ-E,probe,timing_transfer,6963640009977641899,1101,false,false,2,1,0,3,0,2,true,false,48,18,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,18103083806823259525,7223311400728770352,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d4-tr0-a2,CJ-E,probe,timing_transfer,14800479874225124473,1101,false,false,2,1,0,4,0,2,true,false,48,18,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,15188668579801277279,7223311400728770352,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d5-tr0-a2,CJ-E,probe,timing_transfer,4322949470174232367,1101,false,false,2,1,0,5,0,2,true,false,48,18,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,2,4,3,1,0,NA,1,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,5011083162051843969,7223311400728770352,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d-1-tr2-a2,CJ-E,probe,timing_transfer,7861134485913738117,1101,false,false,2,1,0,-1,2,2,true,false,35,19,3,8,8,2,80,LOWER_BOUND,272,2,0,0,0,1,3,3,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,14716408182535571285,5804216594586746727,true
