row_id,candidate,stage,family,spec_fingerprint,seed,mirror,reverse_insertion,threshold,coupling,load,spacing,train_spacing,allocation,genuine,expected_effect,learning_work,execution_work,queue_work,delivered,generation_checks,temporary_peak_count,temporary_peak_bytes_lower_bound,temporary_accounting,persistent_bytes,arrow_records,live_structures,proposals,deallocations,return_updates,eligibility_writes,pressure_updates,locus_firings,effect_firings,transmissions,crossings,false_conjunction,resistance_start,resistance_end,coupling_start,coupling_end,reversal_cost,deallocation_cost,reacquisition_cost,timing_tolerance,dense_attribution_ok,recursion_depth,heldout_reuse,replay_equal,naturally_quiescent,runaway,complete_fingerprint,permanent_fingerprint,row_pass
f1-aa-same-tick-s307-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-B,gate,same_source_bursts,15476799038817928963,307,false,false,2,1,0,0,0,2,false,false,0,21,1,3,3,2,80,LOWER_BOUND,160,1,0,0,0,0,1,0,1,1,1,1,true,0,0,0,0,0,0,0,0,false,0,false,false,true,false,14224367853571003111,11530535133893897666,false
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d-1-tr0-a2,CJ-B,gate,same_source_bursts,2730699651663080079,307,false,false,2,1,0,-1,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,9714042523376759062,11530535133893897666,true
f1-ab-distinct-s307-m0-r0-t2-c1-l0-d-1-tr0-a2,CJ-B,gate,same_source_bursts,2582145579837361307,307,false,false,2,1,0,-1,0,2,true,false,0,14,1,2,2,2,80,LOWER_BOUND,272,2,1,0,0,0,0,0,0,0,0,0,false,30,30,1,1,0,0,0,0,false,0,false,false,true,false,7775624363520400073,10524350184075748611,true
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-B,gate,same_source_bursts,8333584082278840517,307,false,false,2,1,0,0,0,2,false,false,0,21,1,3,3,2,80,LOWER_BOUND,160,1,0,0,0,0,1,0,1,1,1,1,true,0,0,0,0,0,0,0,0,false,0,false,false,true,false,14224367853571003111,11530535133893897666,false
f1-ab-distinct-s307-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-B,gate,same_source_bursts,10142441490773925178,307,false,false,2,1,0,0,0,2,true,true,0,35,1,4,4,2,80,LOWER_BOUND,272,2,1,0,0,0,2,0,1,1,2,1,false,30,30,1,1,0,0,0,1,false,0,false,false,true,false,16842450425471611792,10524350184075748611,true
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-B,gate,same_source_bursts,1152123577609247267,307,false,false,2,1,0,1,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,9714042523376759062,11530535133893897666,true
f1-ab-distinct-s307-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-B,gate,same_source_bursts,14065244456609257309,307,false,false,2,1,0,1,0,2,true,false,0,14,1,2,2,2,80,LOWER_BOUND,272,2,1,0,0,0,0,0,0,0,0,0,false,30,30,1,1,0,0,0,0,false,0,false,false,true,false,11179316690346968453,10524350184075748611,true
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d2-tr0-a2,CJ-B,gate,same_source_bursts,15674847809140801401,307,false,false,2,1,0,2,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,17899570454033028583,11530535133893897666,true
f1-ab-distinct-s307-m0-r0-t2-c1-l0-d2-tr0-a2,CJ-B,gate,same_source_bursts,4354608039916987907,307,false,false,2,1,0,2,0,2,true,false,0,14,1,2,2,2,80,LOWER_BOUND,272,2,1,0,0,0,0,0,0,0,0,0,false,30,30,1,1,0,0,0,0,false,0,false,false,true,false,10376393508476020030,10524350184075748611,true
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d3-tr0-a2,CJ-B,gate,same_source_bursts,9733549959945557211,307,false,false,2,1,0,3,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,16660307530863112820,11530535133893897666,true
