row_id,candidate,stage,family,spec_fingerprint,seed,mirror,reverse_insertion,threshold,coupling,load,spacing,train_spacing,allocation,genuine,expected_effect,learning_work,execution_work,queue_work,delivered,generation_checks,temporary_peak_count,temporary_peak_bytes_lower_bound,temporary_accounting,persistent_bytes,arrow_records,live_structures,proposals,deallocations,return_updates,eligibility_writes,pressure_updates,locus_firings,effect_firings,transmissions,crossings,false_conjunction,resistance_start,resistance_end,coupling_start,coupling_end,reversal_cost,deallocation_cost,reacquisition_cost,timing_tolerance,dense_attribution_ok,recursion_depth,heldout_reuse,replay_equal,naturally_quiescent,runaway,complete_fingerprint,permanent_fingerprint,row_pass
f1-aa-same-tick-s211-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-B,micro,same_source_bursts,14667104192331537102,211,false,false,2,1,0,0,0,2,false,false,0,21,1,3,3,2,80,LOWER_BOUND,160,1,0,0,0,0,1,0,1,1,1,1,true,0,0,0,0,0,0,0,0,false,0,false,false,true,false,8272981757725960791,8129057570855020926,false
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d-1-tr0-a2,CJ-B,micro,same_source_bursts,11614905342137347078,211,false,false,2,1,0,-1,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,5624009841837418906,8129057570855020926,true
f1-ab-distinct-s211-m0-r0-t2-c1-l0-d-1-tr0-a2,CJ-B,micro,same_source_bursts,8652912572618782068,211,false,false,2,1,0,-1,0,2,true,false,0,14,1,2,2,2,80,LOWER_BOUND,272,2,1,0,0,0,0,0,0,0,0,0,false,30,30,1,1,0,0,0,0,false,0,false,false,true,false,17443093838716090237,17855720195431701335,true
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-B,micro,same_source_bursts,4007949028781323994,211,false,false,2,1,0,0,0,2,false,false,0,21,1,3,3,2,80,LOWER_BOUND,160,1,0,0,0,0,1,0,1,1,1,1,true,0,0,0,0,0,0,0,0,false,0,false,false,true,false,8272981757725960791,8129057570855020926,false
f1-ab-distinct-s211-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-B,micro,same_source_bursts,4154695187031192561,211,false,false,2,1,0,0,0,2,true,true,0,35,1,4,4,2,80,LOWER_BOUND,272,2,1,0,0,0,2,0,1,1,2,1,false,30,30,1,1,0,0,0,1,false,0,false,false,true,false,17536051969974366408,17855720195431701335,true
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-B,micro,same_source_bursts,15724344218951018470,211,false,false,2,1,0,1,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,5624009841837418906,8129057570855020926,true
f1-ab-distinct-s211-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-B,micro,same_source_bursts,12318266379788325030,211,false,false,2,1,0,1,0,2,true,false,0,14,1,2,2,2,80,LOWER_BOUND,272,2,1,0,0,0,0,0,0,0,0,0,false,30,30,1,1,0,0,0,0,false,0,false,false,true,false,7530142453935314533,17855720195431701335,true
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d2-tr0-a2,CJ-B,micro,same_source_bursts,16582246026332839830,211,false,false,2,1,0,2,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,16614423031721418279,8129057570855020926,true
f1-ab-distinct-s211-m0-r0-t2-c1-l0-d2-tr0-a2,CJ-B,micro,same_source_bursts,5529782971152232270,211,false,false,2,1,0,2,0,2,true,false,0,14,1,2,2,2,80,LOWER_BOUND,272,2,1,0,0,0,0,0,0,0,0,0,false,30,30,1,1,0,0,0,0,false,0,false,false,true,false,12646963187722902642,17855720195431701335,true
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d3-tr0-a2,CJ-B,micro,same_source_bursts,16553832596632666818,211,false,false,2,1,0,3,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,16054102296361394936,8129057570855020926,true
