row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
f1-aa-same-tick-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,same_source_bursts,6531644192620751336,1,1,false,true,true,false,false,21,19,160,160,true,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d-1-tr0-a2,probe,same_source_bursts,7797254934252566536,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d-1-tr0-a2,probe,same_source_bursts,6698241925936292638,0,0,false,false,false,true,true,14,19,272,272,true,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,same_source_bursts,2153557809473487532,1,1,false,true,true,false,false,21,19,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,same_source_bursts,13928083100540594971,1,1,false,false,false,true,true,35,30,272,272,true,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d1-tr0-a2,probe,same_source_bursts,8245555799041666284,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d1-tr0-a2,probe,same_source_bursts,15727687753127503356,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d2-tr0-a2,probe,same_source_bursts,3552615874938462048,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d2-tr0-a2,probe,same_source_bursts,10884032791693223584,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d3-tr0-a2,probe,same_source_bursts,14328829233621775288,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d3-tr0-a2,probe,same_source_bursts,14864376973658420660,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d4-tr0-a2,probe,same_source_bursts,15689397683399372964,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d4-tr0-a2,probe,same_source_bursts,9330338671376333504,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d5-tr0-a2,probe,same_source_bursts,2228032621481318100,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d5-tr0-a2,probe,same_source_bursts,5979381218338644012,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-one-path-s101-m0-r0-t2-c1-l0-d1-tr0-a2,probe,same_source_bursts,489292830769878721,0,0,false,false,false,true,true,19,29,272,272,true,true
f1-a-burst-4-s101-m0-r0-t2-c1-l0-d4-tr0-a2,probe,same_source_bursts,1908694121216873808,0,0,false,false,false,true,true,19,29,272,272,true,true
f2-one-strong-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,amplitude_vs_multiplicity,17370789254152739014,1,0,true,true,false,false,true,16,4,160,160,true,true
f2-two-weak-distinct-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,amplitude_vs_multiplicity,5941112997658187415,1,1,false,false,false,true,true,21,19,160,160,true,true
f2-two-weak-same-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,amplitude_vs_multiplicity,12190320796427091311,1,1,false,true,true,false,false,21,19,160,160,true,true
f2-asymmetric-distinct-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,amplitude_vs_multiplicity,14079096507393566232,1,1,false,false,false,true,true,21,19,160,160,true,true
f3-direct-return-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,dense_return_topology,7957957522335082476,1,1,false,false,false,true,true,72,49,384,384,true,true
f3-crossed-return-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,dense_return_topology,11055155320098708198,1,1,false,false,false,true,true,50,49,384,384,true,true
f3-no-return-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,dense_return_topology,14834844684225051936,1,1,false,false,false,true,true,40,35,384,384,true,true
f3-direct-return-s101-m0-r0-t2-c1-l0-d0-tr0-a6,probe,dense_return_topology,5168263779742189740,1,1,false,false,false,true,true,96,65,832,832,true,true
f3-crossed-return-s101-m0-r0-t2-c1-l0-d0-tr0-a6,probe,dense_return_topology,3678551777543850118,1,1,false,false,false,true,true,66,65,832,832,true,true
f3-no-return-s101-m0-r0-t2-c1-l0-d0-tr0-a6,probe,dense_return_topology,2500687082295728112,1,1,false,false,false,true,true,52,47,832,832,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d-1-tr0-a2,probe,timing_transfer,17579775559408681650,0,0,false,false,false,true,true,14,19,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,timing_transfer,10019309599946683571,1,1,false,false,false,true,true,35,30,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d1-tr0-a2,probe,timing_transfer,588050311234972290,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d2-tr0-a2,probe,timing_transfer,17702445837717171428,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d3-tr0-a2,probe,timing_transfer,11612887730689808802,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d4-tr0-a2,probe,timing_transfer,9021116149622482960,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d5-tr0-a2,probe,timing_transfer,16765505119175854538,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d-1-tr2-a2,probe,timing_transfer,1722601744372452006,0,0,false,false,false,true,true,14,19,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d0-tr2-a2,probe,timing_transfer,545875405933018259,1,1,false,false,false,true,true,35,30,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d1-tr2-a2,probe,timing_transfer,2269972909518908926,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d2-tr2-a2,probe,timing_transfer,3568283777802541396,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d3-tr2-a2,probe,timing_transfer,3689397281806968310,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d4-tr2-a2,probe,timing_transfer,2143634348195961344,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d5-tr2-a2,probe,timing_transfer,3321039826685217726,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d-1-tr4-a2,probe,timing_transfer,1555340765477157554,0,0,false,false,false,true,true,14,19,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d0-tr4-a2,probe,timing_transfer,4150638416090755819,1,1,false,false,false,true,true,35,30,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d1-tr4-a2,probe,timing_transfer,826357328544531122,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d2-tr4-a2,probe,timing_transfer,13023030992499996316,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d3-tr4-a2,probe,timing_transfer,13749058204033723002,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d4-tr4-a2,probe,timing_transfer,12937597629465965208,0,0,false,false,false,true,true,14,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c1-l0-d5-tr4-a2,probe,timing_transfer,14777871301690075386,0,0,false,false,false,true,true,14,18,272,272,true,true
ctl-initial-ab-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,shared_control,17660713872905825256,2,2,false,false,false,true,true,81,76,272,272,true,true
