seed,mirror,reverse_cells,reverse_arrows,spacing,world,namespace,a_firings,b_firings,integration_firings,output_firings,positive_tick,negative_arrivals,negative_tick,output_tick,crossings,deallocations,quiescent,complete_fingerprint,permanent_fingerprint,work,storage,duplicate_exact,passed
0,false,false,false,10,a-absent,0x631000000,0,1,1,1,1,0,-1,1,2,0,true,0xe82562b16172a09,0x61c366f0e855fce1,28,384,true,true
0,false,false,false,10,a-one-tick-early,0x631100000,1,1,0,0,1,1,0,-1,2,0,true,0x6b6d70cacd116c80,0x40ca0b725d5a916e,30,384,true,true
0,false,false,false,10,a-coincident-before-b,0x631200000,1,1,0,0,1,1,1,-1,2,0,true,0xa117c44c2f2d044a,0xc08f5c7e40905a61,31,384,true,true
0,false,false,false,10,a-coincident-after-b,0x631300000,1,1,1,1,1,1,1,1,3,0,true,0x2fbea68795ebb57d,0x4ddc829b85383d56,47,384,true,true
0,false,false,false,10,a-one-tick-late,0x631400000,1,1,1,1,1,1,2,1,3,0,true,0xcaefd6047af639c9,0xb75993023d3572d,47,384,true,true
0,false,false,false,10,a-blocked,0x631500000,1,1,1,1,1,0,-1,1,2,0,true,0x563ffb875833cf68,0x9ca7a9aa76c612d6,37,384,true,true
0,false,false,false,10,a-stale,0x631600000,1,1,1,1,1,0,-1,1,3,1,true,0x7f64cb7f0742b0c7,0x947f4dd420e5b449,50,384,true,true
1,true,false,false,10,a-absent,0x632000000,0,1,1,1,1,0,-1,1,2,0,true,0xc265aeddaa649bec,0xe1b1cb98f0b089a8,28,384,true,true
1,true,false,false,10,a-one-tick-early,0x632100000,1,1,0,0,1,1,0,-1,2,0,true,0xb8ef89bdefe5ea49,0x97d99205a75ac233,30,384,true,true
1,true,false,false,10,a-coincident-before-b,0x632200000,1,1,0,0,1,1,1,-1,2,0,true,0xd3e3901fa5261767,0x62de6a7eede77fe8,31,384,true,true
1,true,false,false,10,a-coincident-after-b,0x632300000,1,1,1,1,1,1,1,1,3,0,true,0x5fe0d6597ee9ffc,0x5175d498b272a44b,47,384,true,true
1,true,false,false,10,a-one-tick-late,0x632400000,1,1,1,1,1,1,2,1,3,0,true,0xb33ef673ba814844,0x6013cf351f46081c,47,384,true,true
1,true,false,false,10,a-blocked,0x632500000,1,1,1,1,1,0,-1,1,2,0,true,0x65538240ccf61211,0x71fc6e4c226aef03,37,384,true,true
1,true,false,false,10,a-stale,0x632600000,1,1,1,1,1,0,-1,1,3,1,true,0xbabaaa4df02bc9c6,0xea972087c8c7cddc,50,384,true,true
2,false,true,false,10,a-absent,0x633000000,0,1,1,1,1,0,-1,1,2,0,true,0xa397ff43fbb0a80d,0x2abcf3898cbf4659,28,384,true,true
2,false,true,false,10,a-one-tick-early,0x633100000,1,1,0,0,1,1,0,-1,2,0,true,0xcf21cc00e7791748,0x9ae3f64619d1a816,31,384,true,true
2,false,true,false,10,a-coincident-before-b,0x633200000,1,1,0,0,1,1,1,-1,2,0,true,0xdb93cda0a7e40d6,0x18f4f43850d1a5d9,31,384,true,true
2,false,true,false,10,a-coincident-after-b,0x633300000,1,1,1,1,1,1,1,1,3,0,true,0xf6bf5cc275e85a95,0xd1f3647d2f35735e,47,384,true,true
2,false,true,false,10,a-one-tick-late,0x633400000,1,1,1,1,1,1,2,1,3,0,true,0x71096c7afac46e29,0x25b14714b43ac4d5,47,384,true,true
2,false,true,false,10,a-blocked,0x633500000,1,1,1,1,1,0,-1,1,2,0,true,0x4d1a2ea940b7d514,0xd692b4e3446584be,38,384,true,true
2,false,true,false,10,a-stale,0x633600000,1,1,1,1,1,0,-1,1,3,1,true,0x6284851218eb1fcb,0x7922074df3086411,50,384,true,true
3,true,true,false,10,a-absent,0x634000000,0,1,1,1,1,0,-1,1,2,0,true,0x4a6df88b23241dd4,0xfda98d016597fb9c,28,384,true,true
3,true,true,false,10,a-one-tick-early,0x634100000,1,1,0,0,1,1,0,-1,2,0,true,0x811e324e9bea27d5,0xc04c80607e879dff,30,384,true,true
3,true,true,false,10,a-coincident-before-b,0x634200000,1,1,0,0,1,1,1,-1,2,0,true,0xd27070c62ba1ed7f,0x775436ab1cd7ee9c,31,384,true,true
3,true,true,false,10,a-coincident-after-b,0x634300000,1,1,1,1,1,1,1,1,3,0,true,0x473946a5f7139858,0x4feb717c5fdaebbf,47,384,true,true
3,true,true,false,10,a-one-tick-late,0x634400000,1,1,1,1,1,1,2,1,3,0,true,0x5f068e5587795678,0x8073f60499da1d8,47,384,true,true
3,true,true,false,10,a-blocked,0x634500000,1,1,1,1,1,0,-1,1,2,0,true,0x972c6f361f7588e1,0xc9c9cb99af269fc7,37,384,true,true
3,true,true,false,10,a-stale,0x634600000,1,1,1,1,1,0,-1,1,3,1,true,0x1d3ffb92848c6a1e,0xc6d66a006ee38c08,50,384,true,true
4,false,false,true,10,a-absent,0x635000000,0,1,1,1,1,0,-1,1,2,0,true,0x4b576b23bdaf7981,0x9a7f64bdcd26b7d9,28,384,true,true
4,false,false,true,10,a-one-tick-early,0x635100000,1,1,0,0,1,1,0,-1,2,0,true,0x3d798cc9f5203e8,0xa52605bb090c68ce,30,384,true,true
4,false,false,true,10,a-coincident-before-b,0x635200000,1,1,0,0,1,1,1,-1,2,0,true,0x55439a839809a18a,0x97fd7c316ac74ed9,31,384,true,true
4,false,false,true,10,a-coincident-after-b,0x635300000,1,1,1,1,1,1,1,1,3,0,true,0xd5b10ba1715c5b95,0x2c46e0f3e17a188e,47,384,true,true
4,false,false,true,10,a-one-tick-late,0x635400000,1,1,1,1,1,1,2,1,3,0,true,0x284602298dc21bd9,0xc2483d179c39621d,47,384,true,true
4,false,false,true,10,a-blocked,0x635500000,1,1,1,1,1,0,-1,1,2,0,true,0x1ff55e0080c7f028,0x3e98c012dc0016d6,37,384,true,true
4,false,false,true,10,a-stale,0x635600000,1,1,1,1,1,0,-1,1,3,1,true,0x3b9a320e433c6147,0xa10acd9a7ade3f1,50,384,true,true
5,true,false,true,10,a-absent,0x636000000,0,1,1,1,1,0,-1,1,2,0,true,0xeef23f212ffcc874,0x1232c2c143107dc0,28,384,true,true
5,true,false,true,10,a-one-tick-early,0x636100000,1,1,0,0,1,1,0,-1,2,0,true,0xa4e5363bcbbbfce1,0x6b47de6723ba6fb3,31,384,true,true
5,true,false,true,10,a-coincident-before-b,0x636200000,1,1,0,0,1,1,1,-1,2,0,true,0xdbfdba520d1c0d0f,0x2dc54e5423da9cc0,31,384,true,true
5,true,false,true,10,a-coincident-after-b,0x636300000,1,1,1,1,1,1,1,1,3,0,true,0xadece2d1b97e229c,0x78cd5640fe633513,47,384,true,true
5,true,false,true,10,a-one-tick-late,0x636400000,1,1,1,1,1,1,2,1,3,0,true,0xd3ba2a2b690afcbc,0x67b2bcbb1e7d8fec,47,384,true,true
5,true,false,true,10,a-blocked,0x636500000,1,1,1,1,1,0,-1,1,2,0,true,0x96d09bdfa56e8951,0x47618cc2568f6d03,38,384,true,true
5,true,false,true,10,a-stale,0x636600000,1,1,1,1,1,0,-1,1,3,1,true,0x222c8af1e26ca336,0x179da61240d16064,50,384,true,true
6,false,true,true,10,a-absent,0x637000000,0,1,1,1,1,0,-1,1,2,0,true,0x53404d6e7a348aed,0xd9be34c578f1a4e1,28,384,true,true
6,false,true,true,10,a-one-tick-early,0x637100000,1,1,0,0,1,1,0,-1,2,0,true,0x375c9a8820cedd0,0x262495c117851a76,30,384,true,true
6,false,true,true,10,a-coincident-before-b,0x637200000,1,1,0,0,1,1,1,-1,2,0,true,0x3d238fca0358698e,0xacfdf9650551fc61,31,384,true,true
6,false,true,true,10,a-coincident-after-b,0x637300000,1,1,1,1,1,1,1,1,3,0,true,0xe3d4989e378f1fed,0xbdc836ccf1d94fb6,47,384,true,true
6,false,true,true,10,a-one-tick-late,0x637400000,1,1,1,1,1,1,2,1,3,0,true,0x566a23a1fa9a1909,0xe3e30a5f14c53b45,47,384,true,true
6,false,true,true,10,a-blocked,0x637500000,1,1,1,1,1,0,-1,1,2,0,true,0xa9f424a82704bbbc,0xff30389d884b99de,37,384,true,true
6,false,true,true,10,a-stale,0x637600000,1,1,1,1,1,0,-1,1,3,1,true,0x2c074f9cb85842a3,0x36d4026f0454f9e9,50,384,true,true
7,true,true,true,10,a-absent,0x638000000,0,1,1,1,1,0,-1,1,2,0,true,0x2128fd418a10ee9c,0x29d977ef25f4194c,28,384,true,true
7,true,true,true,10,a-one-tick-early,0x638100000,1,1,0,0,1,1,0,-1,2,0,true,0x74026b5727d2d625,0x62694a2eec29a817,30,384,true,true
7,true,true,true,10,a-coincident-before-b,0x638200000,1,1,0,0,1,1,1,-1,2,0,true,0x6d18d711f5d4337,0x7a2e13578dfddb4c,31,384,true,true
7,true,true,true,10,a-coincident-after-b,0x638300000,1,1,1,1,1,1,1,1,3,0,true,0x8b01e2dd21b4230,0x72e578232a149aff,47,384,true,true
7,true,true,true,10,a-one-tick-late,0x638400000,1,1,1,1,1,1,2,1,3,0,true,0x4a14d3a0833ffd58,0x3b33abdf8fc35080,47,384,true,true
7,true,true,true,10,a-blocked,0x638500000,1,1,1,1,1,0,-1,1,2,0,true,0x61076e769b663041,0x15ddfc26e9e5241f,37,384,true,true
7,true,true,true,10,a-stale,0x638600000,1,1,1,1,1,0,-1,1,3,1,true,0xb7dda4e0f27f068e,0x984233ff1ff18ec8,50,384,true,true
8,false,false,false,14,a-absent,0x639000000,0,1,1,1,1,0,-1,1,2,0,true,0xa958e86b82a7d909,0xf9d1472add1f23b9,28,384,true,true
8,false,false,false,14,a-one-tick-early,0x639100000,1,1,0,0,1,1,0,-1,2,0,true,0x25587ed650eb3788,0xc753816f7c80dca6,31,384,true,true
8,false,false,false,14,a-coincident-before-b,0x639200000,1,1,0,0,1,1,1,-1,2,0,true,0x4ff435fba4318a2a,0x427ef1e834f9b679,31,384,true,true
8,false,false,false,14,a-coincident-after-b,0x639300000,1,1,1,1,1,1,1,1,3,0,true,0xbafac4665b793255,0xd25020f8f6e421ee,47,384,true,true
8,false,false,false,14,a-one-tick-late,0x639400000,1,1,1,1,1,1,2,1,3,0,true,0xdcb849b484140481,0x20202d2f8e984305,47,384,true,true
8,false,false,false,14,a-blocked,0x639500000,1,1,1,1,1,0,-1,1,2,0,true,0x8cdcb9d7364eb440,0xe6fb97a357f444ce,38,384,true,true
8,false,false,false,14,a-stale,0x639600000,1,1,1,1,1,0,-1,1,3,1,true,0x71ff8b40227cce37,0x876d9d567efed401,50,384,true,true
