seed,mirror,reverse_cells,reverse_arrows,spacing,world,namespace,initial_fingerprint,after_trigger_fingerprint,trigger_firings,b_firings,closure_firings,transient_firings,output_firings,positive_arrivals,negative_arrivals,negative_tick,closure_tick,output_tick,trigger_quiescent,final_quiescent,deallocations,complete_fingerprint,permanent_fingerprint,work,storage,duplicate_exact,passed
0,false,false,false,10,b-absent-through-closure,0x641000000,0xd9b634175ec467ce,0xa75ec8f9571b141b,1,0,1,1,1,2,0,-1,2,2,true,true,0,0xd0627a1211380027,0x3594c7864c6f1c1e,46,496,true,true
0,false,false,false,10,b-tick-1-after-trigger,0x641100000,0x3b10cf468da9613e,0xc8936d453c0008b,1,1,1,0,0,2,1,1,2,-1,true,true,0,0xd3a3a44ebeb6abc5,0x11717070bd876f6e,48,496,true,true
0,false,false,false,10,b-tick-2-before-closure,0x641200000,0x96fa686379031109,0xc4832f72660a7170,1,1,1,0,0,2,1,2,2,-1,true,true,0,0x5553dc76e12fde6f,0xb6ec4913c3dda9d9,48,496,true,true
0,false,false,false,10,b-tick-2-after-closure,0x641300000,0x25503cbedc30ea9a,0x33b6bd2a8f1f3323,1,1,1,1,1,2,1,2,2,2,true,true,0,0x6ad98385e6b178a6,0x692fad6cabbfc0a7,66,496,true,true
0,false,false,false,10,b-tick-3-after-output,0x641400000,0xeadadb2739143c74,0x51acae37570ba2e1,1,1,1,1,1,2,1,3,2,2,true,true,0,0x2e2c941969adf6c4,0x2dfc349c5033cd4d,66,496,true,true
0,false,false,false,10,b-blocked,0x641500000,0xd1aa3a4d41f92e09,0xae9f020a022c4a38,1,1,1,1,1,2,0,-1,2,2,true,true,0,0xcd7d80e18ded1839,0xcbdc3078a0e69579,57,496,true,true
0,false,false,false,10,b-stale,0x641600000,0x217a8d4456c662c7,0x7dd60363a0f7918e,1,1,1,1,1,2,0,-1,2,2,true,true,1,0xccc764bfebc294e2,0xf2ea362d8a08fda8,71,496,true,true
1,true,false,false,10,b-absent-through-closure,0x642000000,0x2cba9aead327a55d,0x8cc811cce75520e8,1,0,1,1,1,2,0,-1,2,2,true,true,0,0x990947a7e86135ac,0x3f527efc9029b8dd,46,496,true,true
1,true,false,false,10,b-tick-1-after-trigger,0x642100000,0x9b68c39416168c4d,0x263cd45a7668a3b8,1,1,1,0,0,2,1,1,2,-1,true,true,0,0xae557a3007870c2e,0x3a4cab185afc3fed,47,496,true,true
1,true,false,false,10,b-tick-2-before-closure,0x642200000,0xdf526f359303f842,0xcd3ad999726f9343,1,1,1,0,0,2,1,2,2,-1,true,true,0,0xb8cba13de310981c,0xdba6a0d3c14ad582,48,496,true,true
1,true,false,false,10,b-tick-2-after-closure,0x642300000,0x5ee31a7838901245,0xfb1a905e602affbc,1,1,1,1,1,2,1,2,2,2,true,true,0,0xa4c91e4a9f397465,0xfad0f373be32a63c,66,496,true,true
1,true,false,false,10,b-tick-3-after-output,0x642400000,0x137b7ef3e52cce8b,0x620dbb7f19c6e9be,1,1,1,1,1,2,1,3,2,2,true,true,0,0xd841533ada149517,0xac8de1fc7c774ace,66,496,true,true
1,true,false,false,10,b-blocked,0x642500000,0x9a3cfd877477bd4a,0xf086518f4e03ec6b,1,1,1,1,1,2,0,-1,2,2,true,true,0,0x3d59c07d562ea732,0xdf45d3e4c8f79f6a,56,496,true,true
1,true,false,false,10,b-stale,0x642600000,0xbc51ec298016bbf0,0xc79359cec2f3d2f1,1,1,1,1,1,2,0,-1,2,2,true,true,1,0xe9893b9fceb8757d,0x9794efe7f83a8d8f,71,496,true,true
2,false,true,false,10,b-absent-through-closure,0x643000000,0xb33045df473a1d44,0xfd241f82bd51cc99,1,0,1,1,1,2,0,-1,2,2,true,true,0,0x25f6f170e7c27dc1,0xf2643f6af0e62fb4,46,496,true,true
2,false,true,false,10,b-tick-1-after-trigger,0x643100000,0xb74d70953b8c53d4,0x44a5cdee38df0789,1,1,1,0,0,2,1,1,2,-1,true,true,0,0xd988a08646f4ef9b,0x23c74141060c9de4,47,496,true,true
2,false,true,false,10,b-tick-2-before-closure,0x643200000,0xf3a610732f45f107,0x9c06f25a7b18fe6e,1,1,1,0,0,2,1,2,2,-1,true,true,0,0x853942d0d234811d,0x3c62dfda4889a837,48,496,true,true
2,false,true,false,10,b-tick-2-after-closure,0x643300000,0x5414aa16d1c6521c,0xabdc0c758f1708c5,1,1,1,1,1,2,1,2,2,2,true,true,0,0xee747ec7182c7d8,0x6b11209d4124f95,66,496,true,true
2,false,true,false,10,b-tick-3-after-output,0x643400000,0x56f0a867126f7d1e,0xcc25db9d193e2333,1,1,1,1,1,2,1,3,2,2,true,true,0,0xd6959561056f79ee,0x7dc4db832840f94b,66,496,true,true
