stage,row,namespace,positions,cell_order,identity_rotation,reverse_arrows,reverse_spikes,delay,skew,phase_pattern,first_firings,second_firings,joint_firings,joint_expected,refractory_suppressed,blocked_outputs,stale_outputs,absent_outputs,threshold2_outputs,naturally_quiescent,replay_exact,external_spikes,source_firings,convergence_firings,downstream_firings,crossings,deallocations,proposals,cells,arrows,persistent_bytes,work,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,claims,passed
GATE v1,0,0xc30000000000,-32|32|0|96,2|1|0|3,2,false,false,4,2,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1340,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,1,0xc30000100000,64|-64|0|-192,3|0|2|1,3,false,false,5,2,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,2,0xc30000200000,-8|8|0|24,0|1|2|3,0,true,false,0,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1339,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,3,0xc30000300000,16|-16|0|-48,0|3|2|1,1,true,true,1,2,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1337,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,4,0xc30000400000,-32|32|0|96,1|3|0|2,2,false,true,2,2,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,5,0xc30000500000,64|-64|0|-192,2|1|3|0,3,false,true,3,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1333,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,6,0xc30000600000,-8|8|0|24,3|1|0|2,0,true,false,4,3,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1341,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,7,0xc30000700000,16|-16|0|-48,0|1|3|2,1,true,false,5,3,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,8,0xc30000800000,-32|32|0|96,1|0|2|3,2,false,false,0,3,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1339,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,9,0xc30000900000,64|-64|0|-192,1|3|2|0,3,false,true,1,3,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1340,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
