stage,row,namespace,positions,cell_order,identity_rotation,reverse_arrows,reverse_spikes,delay,skew,phase_pattern,first_firings,second_firings,joint_firings,joint_expected,refractory_suppressed,blocked_outputs,stale_outputs,absent_outputs,threshold2_outputs,naturally_quiescent,replay_exact,external_spikes,source_firings,convergence_firings,downstream_firings,crossings,deallocations,proposals,cells,arrows,persistent_bytes,work,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,claims,passed
MICRO v1,0,0xc20000000000,64|-64|0|-192,1|0|3|2,1,true,true,2,1,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1332,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
MICRO v1,1,0xc20000100000,-8|8|0|24,2|0|1|3,2,true,true,3,1,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1329,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
MICRO v1,2,0xc20000200000,16|-16|0|-48,2|3|1|0,3,false,true,4,1,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1343,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
MICRO v1,3,0xc20000300000,-32|32|0|96,3|2|0|1,0,false,false,5,1,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1350,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
MICRO v1,4,0xc20000400000,64|-64|0|-192,0|2|3|1,1,true,false,0,1,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1338,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
MICRO v1,5,0xc20000500000,-8|8|0|24,1|2|0|3,2,true,false,1,1,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1342,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
MICRO v1,6,0xc20000600000,16|-16|0|-48,2|0|3|1,3,false,true,2,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1347,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
MICRO v1,7,0xc20000700000,-32|32|0|96,3|0|1|2,0,false,true,3,2,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1330,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
MICRO v1,8,0xc20000800000,64|-64|0|-192,3|2|1|0,1,true,true,4,2,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1340,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
MICRO v1,9,0xc20000900000,-8|8|0|24,0|3|1|2,2,true,false,5,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1348,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
