seed,scenario,entered_impulse,source_firings,traversals,carried_impulse,trace_writes,trace_closes,locus_arrivals,local_contribution,locus_firings,effects,expected_effect,heldout_effects,work,persistent_bytes,temporary_peak_bytes_lower_bound,deallocations,complete_fingerprint,permanent_fingerprint,quiescent,replay_equal,passed
2101,two-unit-firings-one-path,4,1,1,1,1,1,1,1,0,0,0,0,22,544,104,0,11156249134251661465,16359606327878762744,true,true,true
2101,one-impulse-two-one-path,2,1,1,1,1,0,1,1,0,0,0,0,15,544,80,0,6998592581651626447,6126122479855866421,true,true,true
2101,two-unit-different-paths,4,2,2,2,3,0,2,2,1,1,1,1,48,544,216,0,5976416036197925574,15893392354678372535,true,true,true
2101,different-paths-outside-window,4,2,2,2,2,0,2,2,0,0,0,0,32,544,160,0,7159001652742761458,3586848955201105777,true,true,true
2101,different-paths-inside-window,4,2,2,2,3,0,2,2,1,1,1,1,48,544,216,0,9747633006289810038,9198805006059948087,true,true,true
2101,four-firings-one-path,8,1,1,1,1,1,1,1,0,0,0,0,37,544,152,0,15970598506413634937,2773798678314402402,true,true,true
2101,repeated-a-plus-b,6,2,2,2,3,1,2,2,1,1,1,1,56,544,240,0,13325668056917760216,16273046982292674280,true,true,true
2101,a-plus-repeated-b,6,2,2,2,3,1,2,2,1,1,1,1,58,544,240,0,13835916268170715588,1647936048301975036,true,true,true
2101,three-different-paths,6,3,3,3,4,1,3,3,1,1,1,1,69,544,296,0,2193819335709830785,7149786276155937610,true,true,true
2101,mature-one-path,2,1,1,2,1,0,1,1,0,0,0,0,15,544,80,0,1592643343043166256,1316607062706352322,true,true,true
2101,fresh-different-paths,4,2,2,2,3,0,2,2,1,1,1,1,48,544,216,0,7149938904747656118,771114486310843927,true,true,true
2101,one-origin-two-paths,2,1,2,2,3,0,2,2,1,1,1,1,35,480,192,0,2662980651867341539,8007194045105594236,true,true,true
2101,two-origins-shared-path,4,3,1,1,3,0,1,1,0,0,0,0,43,544,152,0,367437999186568914,7763375978542351871,true,true,true
2111,two-unit-firings-one-path,4,1,1,1,1,1,1,1,0,0,0,0,22,544,104,0,293301349506177529,1044247236624628728,true,true,true
2111,one-impulse-two-one-path,2,1,1,1,1,0,1,1,0,0,0,0,15,544,80,0,17797955320432110683,7071831741789397993,true,true,true
2111,two-unit-different-paths,4,2,2,2,3,0,2,2,1,1,1,1,48,544,216,0,11109497810976356590,17833027681825198647,true,true,true
2111,different-paths-outside-window,4,2,2,2,2,0,2,2,0,0,0,0,32,544,160,0,8831220746259442750,7355067143464502309,true,true,true
2111,different-paths-inside-window,4,2,2,2,3,0,2,2,1,1,1,1,48,544,216,0,8138149143852145246,14437779079591175975,true,true,true
2111,four-firings-one-path,8,1,1,1,1,1,1,1,0,0,0,0,37,544,152,0,17003032721092590053,14523370184160171726,true,true,true
2111,repeated-a-plus-b,6,2,2,2,3,1,2,2,1,1,1,1,56,544,240,0,12098646849591817384,8403591870096148136,true,true,true
2111,a-plus-repeated-b,6,2,2,2,3,1,2,2,1,1,1,1,58,544,240,0,5663141035618906600,1359442078162503048,true,true,true
2111,three-different-paths,6,3,3,3,4,1,3,3,1,1,1,1,69,544,296,0,13853854847331301157,14055003846650442730,true,true,true
2111,mature-one-path,2,1,1,2,1,0,1,1,0,0,0,0,15,544,80,0,9324594636600830300,111207408818693686,true,true,true
2111,fresh-different-paths,4,2,2,2,3,0,2,2,1,1,1,1,48,544,216,0,17625219857285137022,14802411044166528759,true,true,true
2111,one-origin-two-paths,2,1,2,2,3,0,2,2,1,1,1,1,35,480,192,0,13047142163456715247,8247272260225738360,true,true,true
2111,two-origins-shared-path,4,3,1,1,3,0,1,1,0,0,0,0,43,544,152,0,13175867830269165062,2899915024528151183,true,true,true
