case_id,root,initial_phase,scenario,mechanics,a_updates,b_updates,a_initial_resistance,a_final_resistance,a_initial_coupling,a_final_coupling,a_live,b_initial_resistance,b_final_resistance,b_initial_coupling,b_final_coupling,b_live,drive_deliveries,modulatory_deliveries,fires,eligible,resistance_events,proposals,deallocations,crossings,ca_fires,physical_work,final_tick,pressure_phase,trace_hash,body_hash,quiescent
1,1300000,0,old_source_local,reference,1,1,4,7,1,2,1,4,7,1,2,1,4,1,2,3,2,0,0,0,1,7,0,0,9c738e0497f8b5f34be028d2f02cd4803d5091aae798e1e95437c3807008f557,87cb30fff54b84ea1371524398dee4056b80877e29d3caf01e001d71f4ce4c86,1
1,1300000,0,old_source_local,production,1,1,4,7,1,2,1,4,7,1,2,1,4,1,2,3,2,0,0,0,1,7,0,0,9c738e0497f8b5f34be028d2f02cd4803d5091aae798e1e95437c3807008f557,87cb30fff54b84ea1371524398dee4056b80877e29d3caf01e001d71f4ce4c86,1
2,1300000,0,c0_contact_a,reference,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,0,0,8f2cac6c0755c7574f6b89dd69c31a661e577af12ebfce29b1064a48937f0b7a,d1d437b0e07644b1a7975845715c4a33c735c803d8408d025a455487879ad8de,1
2,1300000,0,c0_contact_a,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,0,0,8f2cac6c0755c7574f6b89dd69c31a661e577af12ebfce29b1064a48937f0b7a,d1d437b0e07644b1a7975845715c4a33c735c803d8408d025a455487879ad8de,1
3,1300000,0,c1_contact_b,reference,0,1,4,4,1,1,1,4,7,1,2,1,6,1,4,5,1,0,0,0,1,8,0,0,78550a664bd6c437c166224d94a0bc6b354428bc25caeed3a562ecb4ca97e29f,d50ce135c3ff893ef7a6988f06a36535e3857e69aa484b11e101928e2a9389a6,1
3,1300000,0,c1_contact_b,production,0,1,4,4,1,1,1,4,7,1,2,1,6,1,4,5,1,0,0,0,1,8,0,0,78550a664bd6c437c166224d94a0bc6b354428bc25caeed3a562ecb4ca97e29f,d50ce135c3ff893ef7a6988f06a36535e3857e69aa484b11e101928e2a9389a6,1
4,1300000,0,c2_a_not_traversed,reference,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,2,0,0,0,0,0,4,0,0,995910feaa8458b13218fc372b0c7afbe21dfec3b9a133192960064ce9c3d181,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
4,1300000,0,c2_a_not_traversed,production,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,2,0,0,0,0,0,4,0,0,995910feaa8458b13218fc372b0c7afbe21dfec3b9a133192960064ce9c3d181,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
5,1300000,0,c3_drive_at_ca,reference,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,5,0,0,0,0,2,7,1,1,fb2318046920303671c29680fd63204eea8b78ee0b3afe6383b5be5b9133ad8e,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
5,1300000,0,c3_drive_at_ca,production,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,5,0,0,0,0,2,7,1,1,fb2318046920303671c29680fd63204eea8b78ee0b3afe6383b5be5b9133ad8e,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
