case_id,root,initial_phase,control,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
1,1500000,0,prompt_a,reference,4294967296,4294967296,4294967296,0,8,0,0,02fe740afbe2549aef07411ff49ed9745004c719316243e7b8a3fb91a69b20f6,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
1,1500000,0,prompt_a,production,4294967296,4294967296,4294967296,0,8,0,0,02fe740afbe2549aef07411ff49ed9745004c719316243e7b8a3fb91a69b20f6,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
2,1500000,0,return_b,reference,4294967296,4294967296,0,4294967296,8,0,0,bf42b2566e680ed104731bf23a3b4e4f05dae2725834ad4992f1066b1ea14e7f,30762bf2e90403fa6ebf6ea45e5652e7b4ab78db6c09a3f7908ac286970226a8,1,1,1
2,1500000,0,return_b,production,4294967296,4294967296,0,4294967296,8,0,0,bf42b2566e680ed104731bf23a3b4e4f05dae2725834ad4992f1066b1ea14e7f,30762bf2e90403fa6ebf6ea45e5652e7b4ab78db6c09a3f7908ac286970226a8,1,1,1
3,1500000,0,unrelated_activity,reference,2252540587,2252540587,0,0,7,10,0,9ced2dfa277ed1aa2fc5a7645bf83c838d9efd842508fdf2848bb624ef12adab,448a4df62b47a9eb5671a5edf32a0bbc38e34b2c9f8c1a9d360059a897b25797,1,1,1
3,1500000,0,unrelated_activity,production,2252540587,2252540587,0,0,7,10,0,9ced2dfa277ed1aa2fc5a7645bf83c838d9efd842508fdf2848bb624ef12adab,448a4df62b47a9eb5671a5edf32a0bbc38e34b2c9f8c1a9d360059a897b25797,1,1,1
4,1500000,0,repeat_a,reference,5362940587,2252540587,0,0,7,10,0,bd361082ee85f0d6bf747c0a0a1319bb7a6210087fec6c855d43a954f424047d,0c31fefcac979505738a03d0a7e7c243b45e7d894550ee8e9c120e672f80fe6e,1,1,1
4,1500000,0,repeat_a,production,5362940587,2252540587,0,0,7,10,0,bd361082ee85f0d6bf747c0a0a1319bb7a6210087fec6c855d43a954f424047d,0c31fefcac979505738a03d0a7e7c243b45e7d894550ee8e9c120e672f80fe6e,1,1,1
5,1500000,0,repeat_b_while_a_waits,reference,2252540587,5362940587,0,0,7,10,0,8a7247d4ce2438e4acb56290b821328017a5bb8ea98b7d4e55d9e6051deea838,2a5d39efc12f215a8261c78d31976820cbc280b69b473a75807582c866306ddb,1,1,1
5,1500000,0,repeat_b_while_a_waits,production,2252540587,5362940587,0,0,7,10,0,8a7247d4ce2438e4acb56290b821328017a5bb8ea98b7d4e55d9e6051deea838,2a5d39efc12f215a8261c78d31976820cbc280b69b473a75807582c866306ddb,1,1,1
