case_id,root,initial_phase,delay,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
1,1500000,0,0,reference,4294967296,4294967296,4294967296,0,8,0,0,02fe740afbe2549aef07411ff49ed9745004c719316243e7b8a3fb91a69b20f6,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
1,1500000,0,0,production,4294967296,4294967296,4294967296,0,8,0,0,02fe740afbe2549aef07411ff49ed9745004c719316243e7b8a3fb91a69b20f6,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
2,1500000,0,1,reference,4026531840,4026531840,4026531840,0,8,1,1,a0901a357959af9b24b962439e4e5908ec29c32e0b1acdb6ffe5677c28d575a8,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
2,1500000,0,1,production,4026531840,4026531840,4026531840,0,8,1,1,a0901a357959af9b24b962439e4e5908ec29c32e0b1acdb6ffe5677c28d575a8,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
3,1500000,0,2,reference,3774873600,3774873600,3774873600,0,8,2,2,12d678044de9278c9ee3e9c4bf2e9c1aa02983764609d49fdbea456693f5b031,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
3,1500000,0,2,production,3774873600,3774873600,3774873600,0,8,2,2,12d678044de9278c9ee3e9c4bf2e9c1aa02983764609d49fdbea456693f5b031,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
4,1500000,0,3,reference,3538944000,3538944000,3538944000,0,8,3,3,83ada1d5ff08bfa0c54cef912e7204acd4ac18d0e86d3a9b688bf3fcfce9c15f,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
4,1500000,0,3,production,3538944000,3538944000,3538944000,0,8,3,3,83ada1d5ff08bfa0c54cef912e7204acd4ac18d0e86d3a9b688bf3fcfce9c15f,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
5,1500000,0,4,reference,3317760000,3317760000,3317760000,0,8,4,4,48b7a406d75a36d178a2ea4ad5e2527c86d7f2d56f27bd0fd750e9bf637de51d,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
5,1500000,0,4,production,3317760000,3317760000,3317760000,0,8,4,4,48b7a406d75a36d178a2ea4ad5e2527c86d7f2d56f27bd0fd750e9bf637de51d,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
6,1500000,0,5,reference,3110400000,3110400000,3110400000,0,8,5,5,e37bf9cef075d9b6179196957529ce98d953bd1af402948fbb087a5bb59f62a2,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
6,1500000,0,5,production,3110400000,3110400000,3110400000,0,8,5,5,e37bf9cef075d9b6179196957529ce98d953bd1af402948fbb087a5bb59f62a2,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
7,1500000,0,6,reference,2916000000,2916000000,2916000000,0,8,6,6,08694f37d7cb386576dc6ef4e7d1567a9a46309f9656365eb4d2f378bb479ff2,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
7,1500000,0,6,production,2916000000,2916000000,2916000000,0,8,6,6,08694f37d7cb386576dc6ef4e7d1567a9a46309f9656365eb4d2f378bb479ff2,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
8,1500000,0,7,reference,2733750000,2733750000,2733750000,0,8,7,7,d710f2f53f0671fc3db414fb5139b1e83e93ad24a2a746d20ea1aeae0ac15d60,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
8,1500000,0,7,production,2733750000,2733750000,2733750000,0,8,7,7,d710f2f53f0671fc3db414fb5139b1e83e93ad24a2a746d20ea1aeae0ac15d60,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
9,1500000,0,8,reference,2562890625,2562890625,2562890625,0,8,8,8,a274323b54941f53c2d53fe320b9cdf801045be946c34948192b7c1836ca6603,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
9,1500000,0,8,production,2562890625,2562890625,2562890625,0,8,8,8,a274323b54941f53c2d53fe320b9cdf801045be946c34948192b7c1836ca6603,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
10,1500000,0,9,reference,2402709960,2402709960,2402709960,0,8,9,9,60b2b11022471e8caa0f80f2610947b752fbc4529a4cb819b906ef80803344ac,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
10,1500000,0,9,production,2402709960,2402709960,2402709960,0,8,9,9,60b2b11022471e8caa0f80f2610947b752fbc4529a4cb819b906ef80803344ac,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
11,1500000,0,10,reference,2252540587,2252540587,2252540587,0,8,10,0,254bcaefb07f849f7df452f4b71aa965da5553fc4294f9f4430d22bf2123c94b,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
11,1500000,0,10,production,2252540587,2252540587,2252540587,0,8,10,0,254bcaefb07f849f7df452f4b71aa965da5553fc4294f9f4430d22bf2123c94b,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
12,1500000,0,11,reference,2111756800,2111756800,2111756800,0,8,11,1,94dc2dfa87099a61c8e8c00c48fc68d2226976d90d7882a4c318ce6870ecd918,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
12,1500000,0,11,production,2111756800,2111756800,2111756800,0,8,11,1,94dc2dfa87099a61c8e8c00c48fc68d2226976d90d7882a4c318ce6870ecd918,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
