case_id,root,initial_phase,arm,world,mechanics,participation,support,distractor_support,modulation_at_contacts,predicate_pass,physical_work,drive_deliveries,modulatory_deliveries,local_updates,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
1,2100000,0,local_modulation,one_contact,reference,4026531840,4026531840,,1,1,6,4,1,1,1,1,90a961ff0727e709f9667b767dfd742f0e9913b730d2c9a634e0153640694e4f,e3eb23d35a2e1e8bbb8cc898cb1ce81565223620a13b70f8b8dd1034911c15d4,1,1
1,2100000,0,local_modulation,one_contact,production,4026531840,4026531840,,1,1,6,4,1,1,1,1,90a961ff0727e709f9667b767dfd742f0e9913b730d2c9a634e0153640694e4f,e3eb23d35a2e1e8bbb8cc898cb1ce81565223620a13b70f8b8dd1034911c15d4,1,1
2,2100000,1,local_modulation,one_contact,reference,4026531840,4026531840,,1,1,6,4,1,1,2,2,0eddfd62be318c9cf968fa538f2dd51a553efd2b327071bfefb88ad889f91f94,e3eb23d35a2e1e8bbb8cc898cb1ce81565223620a13b70f8b8dd1034911c15d4,1,1
2,2100000,1,local_modulation,one_contact,production,4026531840,4026531840,,1,1,6,4,1,1,2,2,0eddfd62be318c9cf968fa538f2dd51a553efd2b327071bfefb88ad889f91f94,e3eb23d35a2e1e8bbb8cc898cb1ce81565223620a13b70f8b8dd1034911c15d4,1,1
3,2100000,2,local_modulation,one_contact,reference,4026531840,4026531840,,1,1,6,4,1,1,3,3,8fb405d79edcc5cbea05acf61e155d942ad4761afb52578d8aedc7c1bf731123,e3eb23d35a2e1e8bbb8cc898cb1ce81565223620a13b70f8b8dd1034911c15d4,1,1
3,2100000,2,local_modulation,one_contact,production,4026531840,4026531840,,1,1,6,4,1,1,3,3,8fb405d79edcc5cbea05acf61e155d942ad4761afb52578d8aedc7c1bf731123,e3eb23d35a2e1e8bbb8cc898cb1ce81565223620a13b70f8b8dd1034911c15d4,1,1
4,2100000,3,local_modulation,one_contact,reference,4026531840,4026531840,,1,1,6,4,1,1,4,4,e0a8c077c4f74cb4f33f27a35072fa9f44a603496bddd9c315f0d68d7b35ad4d,e3eb23d35a2e1e8bbb8cc898cb1ce81565223620a13b70f8b8dd1034911c15d4,1,1
4,2100000,3,local_modulation,one_contact,production,4026531840,4026531840,,1,1,6,4,1,1,4,4,e0a8c077c4f74cb4f33f27a35072fa9f44a603496bddd9c315f0d68d7b35ad4d,e3eb23d35a2e1e8bbb8cc898cb1ce81565223620a13b70f8b8dd1034911c15d4,1,1
5,2100000,4,local_modulation,one_contact,reference,4026531840,4026531840,,1,1,6,4,1,1,5,5,537d5cee2242e1ee850e2a334d6ecaed9ecb78a96f977165dbc774f6ea23d968,e3eb23d35a2e1e8bbb8cc898cb1ce81565223620a13b70f8b8dd1034911c15d4,1,1
5,2100000,4,local_modulation,one_contact,production,4026531840,4026531840,,1,1,6,4,1,1,5,5,537d5cee2242e1ee850e2a334d6ecaed9ecb78a96f977165dbc774f6ea23d968,e3eb23d35a2e1e8bbb8cc898cb1ce81565223620a13b70f8b8dd1034911c15d4,1,1
