case_id,root,phase,family,arm,mechanics,states,measures,drive,modulation,fires,resistance_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass
1,5100000,0,cpc0_contact_locality,persistence_only,reference,1/7/1/4026531840/4026531840;1/4/1/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,1,7b5efb1d815bd18f6de819dfaf81c5898c3cc796408074a3e6a1a7c97e12677b,0f2486f5a0d786d3bfe3501a2ebb189e975b7512549f2fdcdec1031409e15e67,6e6a22f74fc3b021266434ff7ad3e4229ee689565f0693d0b72264a97ab11c26,true,true,false,true,false
1,5100000,0,cpc0_contact_locality,persistence_only,production,1/7/1/4026531840/4026531840;1/4/1/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,1,7b5efb1d815bd18f6de819dfaf81c5898c3cc796408074a3e6a1a7c97e12677b,0f2486f5a0d786d3bfe3501a2ebb189e975b7512549f2fdcdec1031409e15e67,4f761bac8aeb67af9ec95558aacae0dedc973ac42d7ba1abbaaf2314a4514f47,true,true,false,true,false
2,5100000,0,cpc0_contact_locality,efficacy_and_persistence,reference,1/7/2/4026531840/4026531840;1/4/2/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,1,645dd88c5b158d6e7e32380e52ff9688572e56491521289ba5d04a4a9b9eb55a,bdb98b61806b951eb5ea4c1209b141719d182f2d36c0d417199e856c8f349346,66325ab0ca3bba819b9aa8a26144eedfdcb66d6506f8bd44ed48edc4230a50e5,true,true,false,true,false
2,5100000,0,cpc0_contact_locality,efficacy_and_persistence,production,1/7/2/4026531840/4026531840;1/4/2/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,1,645dd88c5b158d6e7e32380e52ff9688572e56491521289ba5d04a4a9b9eb55a,bdb98b61806b951eb5ea4c1209b141719d182f2d36c0d417199e856c8f349346,45d9684be1d32d6a2734181dae803ab803c959b19fdd92385190494826f5b605,true,true,false,true,false
3,5100000,0,cpc1_temporal_participation,persistence_only,reference,1/6/1/1979772000/4026531840;1/5/1/1979772000/1979772000;1/7/1/1979772000/3110400000;1/7/1/1979772000/3110400000;1/7/1/4542662625/7136931840,4026531840|1979772000|3110400000|3110400000|7136931840,19,5,12,5,0,0,0,0,29,12,3b7e7efc0c824453945db7aaaab408ca12743f85eea4d31ae1f0eb53270aa59c,eef3ed119f6129900f0b96afdbfb05b4e71bf6064d5c75e42392192f0c318cf4,76e9781e6fb3e890ff8b516ba995c31b98f2ac6abda12a2eeb94b2ac90bfea53,true,true,false,true,false
3,5100000,0,cpc1_temporal_participation,persistence_only,production,1/6/1/1979772000/4026531840;1/5/1/1979772000/1979772000;1/7/1/1979772000/3110400000;1/7/1/1979772000/3110400000;1/7/1/4542662625/7136931840,4026531840|1979772000|3110400000|3110400000|7136931840,19,5,12,5,0,0,0,0,29,12,3b7e7efc0c824453945db7aaaab408ca12743f85eea4d31ae1f0eb53270aa59c,eef3ed119f6129900f0b96afdbfb05b4e71bf6064d5c75e42392192f0c318cf4,059b89f1bec3ed7cb29b0b7253bc728201d8b4953326552b08efbab6731fcae6,true,true,false,true,false
4,5100000,0,cpc1_temporal_participation,efficacy_and_persistence,reference,1/6/2/1979772000/4026531840;1/5/2/1979772000/1979772000;1/7/2/1979772000/3110400000;1/7/2/1979772000/3110400000;1/7/2/4542662625/7136931840,4026531840|1979772000|3110400000|3110400000|7136931840,19,5,12,5,0,0,0,0,29,12,c88e9b38226a32da18b5457e09295d11f5e9431cd2e43889ff4c2c41c807ec73,4e0147907f326901e2267ff6378859bd72da24e1e1e0c41f2199404f11d40831,2f9f01973a4e332dc0c608ba322831f0204737ffe778d352dbbe3d4c3dd95665,true,true,false,true,false
4,5100000,0,cpc1_temporal_participation,efficacy_and_persistence,production,1/6/2/1979772000/4026531840;1/5/2/1979772000/1979772000;1/7/2/1979772000/3110400000;1/7/2/1979772000/3110400000;1/7/2/4542662625/7136931840,4026531840|1979772000|3110400000|3110400000|7136931840,19,5,12,5,0,0,0,0,29,12,c88e9b38226a32da18b5457e09295d11f5e9431cd2e43889ff4c2c41c807ec73,4e0147907f326901e2267ff6378859bd72da24e1e1e0c41f2199404f11d40831,d2bc0bad649078fb625c308560aed76c91d3aa496c6b397290c001ac73f6e527,true,true,false,true,false
5,5100000,0,pqlc0_one_hop,persistence_only,reference,1/7/1/4026531840/4026531840,1|4026531840,5,2,4,2,1,0,0,0,10,1,1769241bdad4576e92b6d27c55e52874ef4047947e36f0d7d55dec82b60dfa82,a4ec211a3d1459609c215d3070a5f833502243fe7eae52dde120afbda5b8f1aa,c96f95b58ad5a98b0d1dcdf04f5d59b324d88bcee7f2c24156bba6459c185f4f,true,true,false,true,false
5,5100000,0,pqlc0_one_hop,persistence_only,production,1/7/1/4026531840/4026531840,1|4026531840,5,2,4,2,1,0,0,0,10,1,1769241bdad4576e92b6d27c55e52874ef4047947e36f0d7d55dec82b60dfa82,a4ec211a3d1459609c215d3070a5f833502243fe7eae52dde120afbda5b8f1aa,e864beee6b83eb4c992346d808dfd476793b3a444b7793c10a68673693aeaad7,true,true,false,true,false
