case_id,root,phase,family,arm,mechanics,states,measures,drive,modulation,fires,resistance_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass,case_pass
1,5300000,0,cpc0_contact_locality,persistence_only,reference,1/7/1/4026531840/4026531840;1/4/1/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,1,7b5efb1d815bd18f6de819dfaf81c5898c3cc796408074a3e6a1a7c97e12677b,5d21a241db2871bc20d007807f439ea3b70228f76a6e29f4a37a0d1813fc513c,50d283f4f6513e0705bab0fade0fc1e68183f0fc3c64fc39ee21f0d3fcb76300,true,true,true,true,true
1,5300000,0,cpc0_contact_locality,persistence_only,production,1/7/1/4026531840/4026531840;1/4/1/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,1,7b5efb1d815bd18f6de819dfaf81c5898c3cc796408074a3e6a1a7c97e12677b,5d21a241db2871bc20d007807f439ea3b70228f76a6e29f4a37a0d1813fc513c,0c64764e20c690b3122b01eb42b8c4df5480db5340206f3be6a635f05f7c7971,true,true,true,true,true
2,5300000,0,cpc0_contact_locality,efficacy_and_persistence,reference,1/7/2/4026531840/4026531840;1/4/2/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,1,645dd88c5b158d6e7e32380e52ff9688572e56491521289ba5d04a4a9b9eb55a,25bc55597d7464edc810fef74b7495f3a557acbba932620ad296d801994f84d3,0adc638336004c79dde772d002e258ff7454b8d1bda84dac09347135b2794802,true,true,true,true,true
2,5300000,0,cpc0_contact_locality,efficacy_and_persistence,production,1/7/2/4026531840/4026531840;1/4/2/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,1,645dd88c5b158d6e7e32380e52ff9688572e56491521289ba5d04a4a9b9eb55a,25bc55597d7464edc810fef74b7495f3a557acbba932620ad296d801994f84d3,532a291f0fac14666eee5ff2f6f16b6759e7cb156e904fffdb62cdab120a8f68,true,true,true,true,true
3,5300000,0,cpc1_temporal_participation,persistence_only,reference,1/6/1/1979772000/4026531840;1/5/1/1979772000/1979772000;1/7/1/1979772000/3110400000;1/7/1/1979772000/3110400000;1/7/1/4542662625/7136931840,4026531840|1979772000|3110400000|3110400000|7136931840,19,5,12,5,0,0,0,0,29,12,3b7e7efc0c824453945db7aaaab408ca12743f85eea4d31ae1f0eb53270aa59c,fb20b0e89201baaa171b1f297a5c77507d0d1d8e66cd15139cd31b4940fbd950,955ce7ca58ab809d2b1d4caef08f8a72aca72c87e0fc96f3ae091e50da1a93ae,true,true,true,true,true
3,5300000,0,cpc1_temporal_participation,persistence_only,production,1/6/1/1979772000/4026531840;1/5/1/1979772000/1979772000;1/7/1/1979772000/3110400000;1/7/1/1979772000/3110400000;1/7/1/4542662625/7136931840,4026531840|1979772000|3110400000|3110400000|7136931840,19,5,12,5,0,0,0,0,29,12,3b7e7efc0c824453945db7aaaab408ca12743f85eea4d31ae1f0eb53270aa59c,fb20b0e89201baaa171b1f297a5c77507d0d1d8e66cd15139cd31b4940fbd950,e02f101d13719e1141a5df3634a3913b6efd9d35e1e0580c44a489fbf58ab6e9,true,true,true,true,true
4,5300000,0,cpc1_temporal_participation,efficacy_and_persistence,reference,1/6/2/1979772000/4026531840;1/5/2/1979772000/1979772000;1/7/2/1979772000/3110400000;1/7/2/1979772000/3110400000;1/7/2/4542662625/7136931840,4026531840|1979772000|3110400000|3110400000|7136931840,19,5,12,5,0,0,0,0,29,12,c88e9b38226a32da18b5457e09295d11f5e9431cd2e43889ff4c2c41c807ec73,2a81415d36bfe9ac09e04c88ed64e85eac47fafadf9ba4dc510865a3a5c2f491,a60dc2766be811cac99b45bdfd55d4c30e6b222c00cbe589ce038883f6e46d25,true,true,true,true,true
4,5300000,0,cpc1_temporal_participation,efficacy_and_persistence,production,1/6/2/1979772000/4026531840;1/5/2/1979772000/1979772000;1/7/2/1979772000/3110400000;1/7/2/1979772000/3110400000;1/7/2/4542662625/7136931840,4026531840|1979772000|3110400000|3110400000|7136931840,19,5,12,5,0,0,0,0,29,12,c88e9b38226a32da18b5457e09295d11f5e9431cd2e43889ff4c2c41c807ec73,2a81415d36bfe9ac09e04c88ed64e85eac47fafadf9ba4dc510865a3a5c2f491,5b5531cc51fd26ffcdf8155ebc7a64dddb4f6b5c4f5d552fb9a5b0a71639e54a,true,true,true,true,true
5,5300000,0,pqlc0_one_hop,persistence_only,reference,1/7/1/4026531840/4026531840,1|4026531840,5,2,4,2,1,0,0,0,10,1,1769241bdad4576e92b6d27c55e52874ef4047947e36f0d7d55dec82b60dfa82,82fb0c3237301212d15a38c5a0f220c0289c9ea27be2c69a4211e0c504dd0103,6ac2d18a7cdc8d6b13e6cc8154de16fb7a5d42db1f130ffbed346fdfcb65f5c3,true,true,true,true,true
5,5300000,0,pqlc0_one_hop,persistence_only,production,1/7/1/4026531840/4026531840,1|4026531840,5,2,4,2,1,0,0,0,10,1,1769241bdad4576e92b6d27c55e52874ef4047947e36f0d7d55dec82b60dfa82,82fb0c3237301212d15a38c5a0f220c0289c9ea27be2c69a4211e0c504dd0103,22948ecf8d00fea7cf29af73e0df2a7674ee58118edc79758bc1d590d43dcd27,true,true,true,true,true
6,5300000,0,pqlc0_one_hop,efficacy_and_persistence,reference,1/7/2/4026531840/4026531840,1|4026531840,5,2,4,2,1,0,0,0,10,1,6abc422e09be03de387e97a49238b1d0bd25126b0dd6b3cb4849ed949ab76f57,bd4604d0940ebf3b52437153a33f5edae6b1d85357a12e7b40fd5b77870a0563,eb92ea4c64f954110b8a7f2bab8009fe46182235cc2b439fa8cc1b19500de73f,true,true,true,true,true
6,5300000,0,pqlc0_one_hop,efficacy_and_persistence,production,1/7/2/4026531840/4026531840,1|4026531840,5,2,4,2,1,0,0,0,10,1,6abc422e09be03de387e97a49238b1d0bd25126b0dd6b3cb4849ed949ab76f57,bd4604d0940ebf3b52437153a33f5edae6b1d85357a12e7b40fd5b77870a0563,9421e9b65c2ed37d29526645e4809d95ec891c399f5480129dce6eec11f569e1,true,true,true,true,true
7,5300000,0,pqlc1_depth_16,persistence_only,reference,1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840,16,19,16,18,16,15,0,0,0,66,1,4dfb006685670f2cdee6b6231d1ee95c6017db314cf1b8ae6432568be67a5a43,91edb008854c66ef7cefff8c16ee47463e95230b333c09ccbc04d7de00738c70,81417d72d585b1628aeb651bf1d9b90245576557c62ea3592af93aba9ec6d710,true,true,true,true,true
7,5300000,0,pqlc1_depth_16,persistence_only,production,1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840,16,19,16,18,16,15,0,0,0,66,1,4dfb006685670f2cdee6b6231d1ee95c6017db314cf1b8ae6432568be67a5a43,91edb008854c66ef7cefff8c16ee47463e95230b333c09ccbc04d7de00738c70,9e11f873b0fdf8aa6514ebb0ab352fea3252725d4c989288e4404fa773b3b596,true,true,true,true,true
8,5300000,0,pqlc1_depth_16,efficacy_and_persistence,reference,1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840,16,19,16,18,16,15,0,0,0,66,1,3fcdd65883c7a818159b25bb8687c95b701c478e135a6a7de3cd0d445ba842f4,380532ccc638974f7dc8f7194895688485ebac146f9acb1c5713921c7c175fd9,3872f66dbff9891dbc2d280b48037cc9c01eb07bc03ac1bab2982acd889c817c,true,true,true,true,true
8,5300000,0,pqlc1_depth_16,efficacy_and_persistence,production,1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840,16,19,16,18,16,15,0,0,0,66,1,3fcdd65883c7a818159b25bb8687c95b701c478e135a6a7de3cd0d445ba842f4,380532ccc638974f7dc8f7194895688485ebac146f9acb1c5713921c7c175fd9,43208ba8a1bef0a63493e5b7db983fd5e0f90344f74125699475d76f7f0fbe7e,true,true,true,true,true
