row_type,protocol,mode,claim_eligible,passed,seed,arm,correct,total,average_work,average_correspondence_work,parent_acquisition_work,compilation_work,proposed,compiled_routes,persistent_bytes,persistent_fingerprint,subthreshold_routes,shuffled_routes,anonymous_observations,temporal_relations,causal_relations,generic_lookups,generic_comparisons,compiled_activations,support_validations,dependency_comparisons,binding_writes,binding_reads,temp_installations,effect_deliveries,invalidations,generic_reopenings,status,name,diagnostic
acquisition,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,,,,,,860,988,2,2,80,953028041235218132,0,0,,,,,,,,,,,,,,,,,
acquisition,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,,,,,,860,988,2,2,80,953028041235218132,0,0,,,,,,,,,,,,,,,,,
acquisition,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,,,,,,860,988,2,2,80,953028041235218132,0,0,,,,,,,,,,,,,,,,,
acquisition,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,,,,,,860,988,2,2,80,953028041235218132,0,0,,,,,,,,,,,,,,,,,
acquisition,identity-desupply-ladder-v1/cs0a,definitive,true,true,4,,,,,,860,988,2,2,80,953028041235218132,0,0,,,,,,,,,,,,,,,,,
acquisition,identity-desupply-ladder-v1/cs0a,definitive,true,true,5,,,,,,860,988,2,2,80,953028041235218132,0,0,,,,,,,,,,,,,,,,,
acquisition,identity-desupply-ladder-v1/cs0a,definitive,true,true,6,,,,,,860,988,2,2,80,953028041235218132,0,0,,,,,,,,,,,,,,,,,
acquisition,identity-desupply-ladder-v1/cs0a,definitive,true,true,7,,,,,,860,988,2,2,80,953028041235218132,0,0,,,,,,,,,,,,,,,,,
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,generic-learned-correspondence,16,16,162,18,,,,,,953028041235218132,,,64,64,64,32,32,0,0,0,16,128,0,128,0,0,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,compiled-correspondence,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,compiled-fresh-occurrences,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,compiled-permuted-allocation,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,compiled-permuted-memory,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,compiled-changed-binding,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,compiled-changed-causal-context,16,16,154,18,,,,,,953028041235218132,,,64,64,64,32,32,0,0,0,0,128,0,0,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,invalidated-parent-generic-resumption,16,16,167,23,,,,,,953028041235218132,,,64,64,64,32,32,16,16,16,16,128,0,128,16,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,historical-compiled-return,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,subthreshold-evidence,16,16,163,19,,,,,,14695981039346656037,,,64,64,64,32,32,0,0,0,16,128,0,128,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,shuffled-consolidation-evidence,16,16,163,19,,,,,,14695981039346656037,,,64,64,64,32,32,0,0,0,16,128,0,128,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,missing-correspondence,16,16,146,10,,,,,,953028041235218132,,,32,32,32,16,16,0,0,0,0,128,0,0,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,ambiguous-correspondence,16,16,145,9,,,,,,953028041235218132,,,0,0,0,0,0,32,32,32,0,128,32,0,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,0,supplied-SAME-reference,16,16,144,0,,,,,,953028041235218132,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,generic-learned-correspondence,16,16,162,18,,,,,,953028041235218132,,,64,64,64,32,32,0,0,0,16,128,0,128,0,0,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,compiled-correspondence,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,compiled-fresh-occurrences,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,compiled-permuted-allocation,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,compiled-permuted-memory,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,compiled-changed-binding,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,compiled-changed-causal-context,16,16,154,18,,,,,,953028041235218132,,,64,64,64,32,32,0,0,0,0,128,0,0,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,invalidated-parent-generic-resumption,16,16,167,23,,,,,,953028041235218132,,,64,64,64,32,32,16,16,16,16,128,0,128,16,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,historical-compiled-return,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,subthreshold-evidence,16,16,163,19,,,,,,14695981039346656037,,,64,64,64,32,32,0,0,0,16,128,0,128,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,shuffled-consolidation-evidence,16,16,163,19,,,,,,14695981039346656037,,,64,64,64,32,32,0,0,0,16,128,0,128,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,missing-correspondence,16,16,146,10,,,,,,953028041235218132,,,32,32,32,16,16,0,0,0,0,128,0,0,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,ambiguous-correspondence,16,16,145,9,,,,,,953028041235218132,,,0,0,0,0,0,32,32,32,0,128,32,0,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,1,supplied-SAME-reference,16,16,144,0,,,,,,953028041235218132,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,generic-learned-correspondence,16,16,162,18,,,,,,953028041235218132,,,64,64,64,32,32,0,0,0,16,128,0,128,0,0,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,compiled-correspondence,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,compiled-fresh-occurrences,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,compiled-permuted-allocation,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,compiled-permuted-memory,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,compiled-changed-binding,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,compiled-changed-causal-context,16,16,154,18,,,,,,953028041235218132,,,64,64,64,32,32,0,0,0,0,128,0,0,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,invalidated-parent-generic-resumption,16,16,167,23,,,,,,953028041235218132,,,64,64,64,32,32,16,16,16,16,128,0,128,16,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,historical-compiled-return,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,subthreshold-evidence,16,16,163,19,,,,,,14695981039346656037,,,64,64,64,32,32,0,0,0,16,128,0,128,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,shuffled-consolidation-evidence,16,16,163,19,,,,,,14695981039346656037,,,64,64,64,32,32,0,0,0,16,128,0,128,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,missing-correspondence,16,16,146,10,,,,,,953028041235218132,,,32,32,32,16,16,0,0,0,0,128,0,0,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,ambiguous-correspondence,16,16,145,9,,,,,,953028041235218132,,,0,0,0,0,0,32,32,32,0,128,32,0,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,2,supplied-SAME-reference,16,16,144,0,,,,,,953028041235218132,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,generic-learned-correspondence,16,16,162,18,,,,,,953028041235218132,,,64,64,64,32,32,0,0,0,16,128,0,128,0,0,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,compiled-correspondence,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,compiled-fresh-occurrences,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,compiled-permuted-allocation,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,compiled-permuted-memory,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,compiled-changed-binding,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,compiled-changed-causal-context,16,16,154,18,,,,,,953028041235218132,,,64,64,64,32,32,0,0,0,0,128,0,0,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,invalidated-parent-generic-resumption,16,16,167,23,,,,,,953028041235218132,,,64,64,64,32,32,16,16,16,16,128,0,128,16,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,historical-compiled-return,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,subthreshold-evidence,16,16,163,19,,,,,,14695981039346656037,,,64,64,64,32,32,0,0,0,16,128,0,128,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,shuffled-consolidation-evidence,16,16,163,19,,,,,,14695981039346656037,,,64,64,64,32,32,0,0,0,16,128,0,128,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,missing-correspondence,16,16,146,10,,,,,,953028041235218132,,,32,32,32,16,16,0,0,0,0,128,0,0,0,16,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,ambiguous-correspondence,16,16,145,9,,,,,,953028041235218132,,,0,0,0,0,0,32,32,32,0,128,32,0,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,3,supplied-SAME-reference,16,16,144,0,,,,,,953028041235218132,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,4,generic-learned-correspondence,16,16,162,18,,,,,,953028041235218132,,,64,64,64,32,32,0,0,0,16,128,0,128,0,0,,,compiled_uses:0
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,4,compiled-correspondence,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
arm,identity-desupply-ladder-v1/cs0a,definitive,true,true,4,compiled-fresh-occurrences,16,16,150,6,,,,,,953028041235218132,,,0,0,0,0,0,16,16,16,16,128,16,128,0,0,,,compiled_uses:16
