seed,template,expected_action,chosen_action,correct,first_route,second_route,shared_roles,first_only_roles,second_only_roles,shared_arrows,first_only_arrows,second_only_arrows,assessed_action,changed_roles,preserved_roles,changes_route_specific,preserves_route_specific,changes_shared,preserves_shared,model_fingerprint_before,model_fingerprint_after_choice
0,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,14510900664888311659,3,0|1|2|4|5|6|7,0,2,0,2,10240919751587860895,10240919751587860895
0,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,579843455365964218,5,0|1|2|3|4|6|7,0,2,0,2,10240919751587860895,10240919751587860895
0,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,9281115048772224032,7,0|1|2|3|4|5|6,0,2,0,2,10240919751587860895,10240919751587860895
0,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,15916785179195690694,1,0|2|3|4|5|6|7,1,1,0,2,10240919751587860895,10240919751587860895
0,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,3588372884725688540,0|1|2|3|4|5|6|7,,2,0,2,0,10240919751587860895,10240919751587860895
0,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,3597592238493282602,,0|1|2|3|4|5|6|7,0,2,0,2,10240919751587860895,10240919751587860895
0,1,14510900664888311659,14510900664888311659,true,0|3|6,0|4|6,0|6,3,4,0,2,2,14510900664888311659,3,0|1|2|4|5|6|7,1,1,0,2,10240919751587860895,10240919751587860895
0,1,14510900664888311659,14510900664888311659,true,0|3|6,0|4|6,0|6,3,4,0,2,2,579843455365964218,5,0|1|2|3|4|6|7,0,2,0,2,10240919751587860895,10240919751587860895
0,1,14510900664888311659,14510900664888311659,true,0|3|6,0|4|6,0|6,3,4,0,2,2,9281115048772224032,7,0|1|2|3|4|5|6,0,2,0,2,10240919751587860895,10240919751587860895
0,1,14510900664888311659,14510900664888311659,true,0|3|6,0|4|6,0|6,3,4,0,2,2,15916785179195690694,1,0|2|3|4|5|6|7,0,2,0,2,10240919751587860895,10240919751587860895
0,1,14510900664888311659,14510900664888311659,true,0|3|6,0|4|6,0|6,3,4,0,2,2,3588372884725688540,0|1|2|3|4|5|6|7,,2,0,2,0,10240919751587860895,10240919751587860895
0,1,14510900664888311659,14510900664888311659,true,0|3|6,0|4|6,0|6,3,4,0,2,2,3597592238493282602,,0|1|2|3|4|5|6|7,0,2,0,2,10240919751587860895,10240919751587860895
0,2,579843455365964218,579843455365964218,true,0|5|6,0|2|6,0|6,5,2,0,2,2,14510900664888311659,3,0|1|2|4|5|6|7,0,2,0,2,10240919751587860895,10240919751587860895
0,2,579843455365964218,579843455365964218,true,0|5|6,0|2|6,0|6,5,2,0,2,2,579843455365964218,5,0|1|2|3|4|6|7,1,1,0,2,10240919751587860895,10240919751587860895
0,2,579843455365964218,579843455365964218,true,0|5|6,0|2|6,0|6,5,2,0,2,2,9281115048772224032,7,0|1|2|3|4|5|6,0,2,0,2,10240919751587860895,10240919751587860895
0,2,579843455365964218,579843455365964218,true,0|5|6,0|2|6,0|6,5,2,0,2,2,15916785179195690694,1,0|2|3|4|5|6|7,0,2,0,2,10240919751587860895,10240919751587860895
0,2,579843455365964218,579843455365964218,true,0|5|6,0|2|6,0|6,5,2,0,2,2,3588372884725688540,0|1|2|3|4|5|6|7,,2,0,2,0,10240919751587860895,10240919751587860895
0,2,579843455365964218,579843455365964218,true,0|5|6,0|2|6,0|6,5,2,0,2,2,3597592238493282602,,0|1|2|3|4|5|6|7,0,2,0,2,10240919751587860895,10240919751587860895
1,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,14510900664888311659,,0|1|2|3|4|5|6|7,0,2,0,2,1337872460373355935,1337872460373355935
1,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,579843455365964218,0|1|2|3|4|5|6|7,,2,0,2,0,1337872460373355935,1337872460373355935
1,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,15916785179195690694,1,0|2|3|4|5|6|7,1,1,0,2,1337872460373355935,1337872460373355935
1,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,9281115048772224032,3,0|1|2|4|5|6|7,0,2,0,2,1337872460373355935,1337872460373355935
1,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,3588372884725688540,5,0|1|2|3|4|6|7,0,2,0,2,1337872460373355935,1337872460373355935
1,0,15916785179195690694,15916785179195690694,true,0|1|6,0|2|6,0|6,1,2,0,2,2,3597592238493282602,7,0|1|2|3|4|5|6,0,2,0,2,1337872460373355935,1337872460373355935
1,1,9281115048772224032,9281115048772224032,true,0|3|6,0|4|6,0|6,3,4,0,2,2,14510900664888311659,,0|1|2|3|4|5|6|7,0,2,0,2,1337872460373355935,1337872460373355935
1,1,9281115048772224032,9281115048772224032,true,0|3|6,0|4|6,0|6,3,4,0,2,2,579843455365964218,0|1|2|3|4|5|6|7,,2,0,2,0,1337872460373355935,1337872460373355935
1,1,9281115048772224032,9281115048772224032,true,0|3|6,0|4|6,0|6,3,4,0,2,2,15916785179195690694,1,0|2|3|4|5|6|7,0,2,0,2,1337872460373355935,1337872460373355935
1,1,9281115048772224032,9281115048772224032,true,0|3|6,0|4|6,0|6,3,4,0,2,2,9281115048772224032,3,0|1|2|4|5|6|7,1,1,0,2,1337872460373355935,1337872460373355935
1,1,9281115048772224032,9281115048772224032,true,0|3|6,0|4|6,0|6,3,4,0,2,2,3588372884725688540,5,0|1|2|3|4|6|7,0,2,0,2,1337872460373355935,1337872460373355935
1,1,9281115048772224032,9281115048772224032,true,0|3|6,0|4|6,0|6,3,4,0,2,2,3597592238493282602,7,0|1|2|3|4|5|6,0,2,0,2,1337872460373355935,1337872460373355935
1,2,3588372884725688540,3588372884725688540,true,0|5|6,0|2|6,0|6,5,2,0,2,2,14510900664888311659,,0|1|2|3|4|5|6|7,0,2,0,2,1337872460373355935,1337872460373355935
1,2,3588372884725688540,3588372884725688540,true,0|5|6,0|2|6,0|6,5,2,0,2,2,579843455365964218,0|1|2|3|4|5|6|7,,2,0,2,0,1337872460373355935,1337872460373355935
1,2,3588372884725688540,3588372884725688540,true,0|5|6,0|2|6,0|6,5,2,0,2,2,15916785179195690694,1,0|2|3|4|5|6|7,0,2,0,2,1337872460373355935,1337872460373355935
