protocol,mode,claim_eligible,passed,seed,contexts,changed_lifecycles,compatible_uses,compatible_preservations,invalidations,reopenings,reopened_executions,historical_returns,ambiguous_preservations,layout_transfers,persistent_bytes,duplicate_deterministic,first_collapse
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,0,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,1,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,2,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,3,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,4,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,5,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,6,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,7,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,8,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,9,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,10,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,11,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,12,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,13,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,14,4,4,4,4,4,4,4,4,4,4,8,true,NONE
ds2-cumulative-causal-direction-definitive-v1,DEFINITIVE,true,true,15,4,4,4,4,4,4,4,4,4,4,8,true,NONE
