protocol,mode,claim_eligible,matrix_passed,cell_id,base_seed,cell_passed,duplicate_deterministic,first_collapse,acquisition_m2_work,acquisition_observations,candidate_comparisons,held_out_spans,held_out_used_learned,held_out_acquisition_observations,generic_mature_work,learned_mature_work,chunks,persistent_bytes,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,control_11,control_12
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,0,1000000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,1,1100000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,2,1200000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,3,1300000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,4,1400000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,5,1500000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,6,1600000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,7,1700000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,8,1800000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,9,1900000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,10,2000000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,11,2100000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,12,2200000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,13,2300000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,14,2400000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
ds3-cumulative-event-boundary-definitive-v2,DEFINITIVE,true,true,15,2500000,true,true,"NONE",6872,48,16,32,32,0,256,128,2,20,true,true,true,true,true,true,true,true,true,true,true,true
