protocol,mode,claim_eligible,matrix_passed,cell_id,base_seed,cell_passed,first_collapse,competence_episode,request_roles,held_out_correct,held_out_total,explicit_answers,queues_empty,request_positions,m3_learned_uses,completion_activity,selection_activations,execution_activations,update_activations,m3_physical_work,p4_nonplastic,m3_nonplastic,duplicate_deterministic,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,control_11,control_12
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,0,4000000,true,"NONE",8,1,32,32,32,32,6,80,80,40,40,8,35320,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,1,4100000,true,"NONE",8,1,32,32,32,32,6,80,80,40,40,8,35320,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,2,4200000,false,"P3 held-out functional transfer",8,1,32,32,32,32,5,80,80,40,40,8,35320,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,3,4300000,true,"NONE",8,1,32,32,32,32,6,80,80,40,40,8,35320,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,4,4400000,true,"NONE",4,1,32,32,32,32,6,72,72,36,36,4,31788,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,5,4500000,true,"NONE",8,1,32,32,32,32,6,80,80,40,40,8,35320,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,6,4600000,true,"NONE",6,1,32,32,32,32,6,76,76,38,38,6,33554,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,7,4700000,false,"P3 held-out functional transfer",8,1,32,32,32,32,5,80,80,40,40,8,35320,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,8,4800000,true,"NONE",8,1,32,32,32,32,6,80,80,40,40,8,35320,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,9,4900000,true,"NONE",8,1,32,32,32,32,6,80,80,40,40,8,35320,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,10,5000000,true,"NONE",4,1,32,32,32,32,6,72,72,36,36,4,31788,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,11,5100000,true,"NONE",6,1,32,32,32,32,6,76,76,38,38,6,33554,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,12,5200000,true,"NONE",8,1,32,32,32,32,6,80,80,40,40,8,35320,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,13,5300000,true,"NONE",6,1,32,32,32,32,6,76,76,38,38,6,33554,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,14,5400000,true,"NONE",8,1,32,32,32,32,6,80,80,40,40,8,35320,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
ds4-cumulative-request-start-definitive-v1,DEFINITIVE,true,false,15,5500000,true,"NONE",4,1,32,32,32,32,6,72,72,36,36,4,31788,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
