index,seed,recurrence,pressure,lifetimes,crossed,interleaving,loads,reuse,contradiction,m3,controls,passed
0,8000000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
1,8500000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
2,9000000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
3,9500000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
4,10000000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
5,10500000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
6,11000000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
7,11500000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
8,12000000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
9,12500000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
10,13000000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
11,13500000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
12,14000000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
13,14500000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
14,15000000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
15,15500000,true,true,"[1, 3, 6, 13, 27]",true,true,true,true,true,true,true,true
