case_id,root,creation_phase,family,mechanics,points,trace_hash,physical_work,drive,modulation,updates,proposals,deallocations,qlp,final_tick,body_hash,quiescent,equivalent_future,replay_equal,mechanics_equal,predicate_pass
1,4700000,0,unused_proposal,reference,initial@0/0:1/1/0/0/0/1;age_9@9/9:1/1/9/0/0/1;death@10/10:0/0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,10,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
1,4700000,0,unused_proposal,production,initial@0/0:1/1/0/0/0/1;age_9@9/9:1/1/9/0/0/1;death@10/10:0/0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,10,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
2,4700000,0,repeated_use_no_consequence,reference,initial@0/0:1/1/0/0/0/1;age_9@9/9:1/1/9/12571524225/0/1;death@10/10:0/0/0/0/0/0,e5175ba6ee8e8ebf072f1e4745c2037d9e81b4ee24de4439fddf3b0e23ab2581,9,8,0,0,0,1,0,10,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
2,4700000,0,repeated_use_no_consequence,production,initial@0/0:1/1/0/0/0/1;age_9@9/9:1/1/9/12571524225/0/1;death@10/10:0/0/0/0/0/0,e5175ba6ee8e8ebf072f1e4745c2037d9e81b4ee24de4439fddf3b0e23ab2581,9,8,0,0,0,1,0,10,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
3,4700000,0,one_qualified_consequence,reference,initial@0/0:1/1/0/0/0/1;before_consequence@5/5:1/1/5/4294967296/0/1;after_consequence@5/5:1/4/0/4294967296/4294967296/1;last_live@44/44:1/1/9/346608838/4294967296/1;death@45/45:0/0/0/0/0/0,ce07186bd56bc945f9dd11d38dc3a6e36e358c5d9be5d6cbfa5a865cac847cc3,6,3,1,1,0,1,0,45,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,1
3,4700000,0,one_qualified_consequence,production,initial@0/0:1/1/0/0/0/1;before_consequence@5/5:1/1/5/4294967296/0/1;after_consequence@5/5:1/4/0/4294967296/4294967296/1;last_live@44/44:1/1/9/346608838/4294967296/1;death@45/45:0/0/0/0/0/0,ce07186bd56bc945f9dd11d38dc3a6e36e358c5d9be5d6cbfa5a865cac847cc3,6,3,1,1,0,1,0,45,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,1
4,4700000,0,same_durable_state_same_future,reference,after_consequence@9/49:0/0/0/0/0/0;last_live@48/49:0/0/0/0/0/0;death@49/49:0/0/0/0/0/0,ba7157e89d7ada5d6e774bd2dfaa36ed9ffee7007b63e6f0ee1e124e34188993,6,3,1,1,0,1,0,49,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,0
4,4700000,0,same_durable_state_same_future,production,after_consequence@9/49:0/0/0/0/0/0;last_live@48/49:0/0/0/0/0/0;death@49/49:0/0/0/0/0/0,ba7157e89d7ada5d6e774bd2dfaa36ed9ffee7007b63e6f0ee1e124e34188993,6,3,1,1,0,1,0,49,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,0
5,4700000,0,wrong_path_modulation,reference,initial@0/0:1/1/0/0/0/1;before_wrong_return@5/5:1/1/5/4294967296/0/1;after_wrong_return@5/5:1/1/5/4294967296/0/1;death@10/10:0/0/0/0/0/0,d64956b88d243d302350f5f24ff3f4b26606c71abdbb59880eafd07afe373450,5,3,1,0,0,1,0,10,95cd5298f886267e105829bc1eafdb7121c74f271a1f59f9d8939cec634aeb5b,1,1,1,1,1
5,4700000,0,wrong_path_modulation,production,initial@0/0:1/1/0/0/0/1;before_wrong_return@5/5:1/1/5/4294967296/0/1;after_wrong_return@5/5:1/1/5/4294967296/0/1;death@10/10:0/0/0/0/0/0,d64956b88d243d302350f5f24ff3f4b26606c71abdbb59880eafd07afe373450,5,3,1,0,0,1,0,10,95cd5298f886267e105829bc1eafdb7121c74f271a1f59f9d8939cec634aeb5b,1,1,1,1,1
6,4700000,0,late_consequence_no_resurrection,reference,initial@0/0:1/1/0/0/0/1;dead_before_return@10/10:0/0/0/0/0/0;after_late_return@11/11:0/0/0/0/0/0,f8e9613a53e88d55e4c2447e965a6766198a9bcdff36bbbbb28abf6a20b40745,5,3,1,0,0,1,0,11,0f21dfd9090e2a0afe7312b56cff5e3b2fd1f9dbc5c69d5d015924fae1d27138,1,1,1,1,1
6,4700000,0,late_consequence_no_resurrection,production,initial@0/0:1/1/0/0/0/1;dead_before_return@10/10:0/0/0/0/0/0;after_late_return@11/11:0/0/0/0/0/0,f8e9613a53e88d55e4c2447e965a6766198a9bcdff36bbbbb28abf6a20b40745,5,3,1,0,0,1,0,11,0f21dfd9090e2a0afe7312b56cff5e3b2fd1f9dbc5c69d5d015924fae1d27138,1,1,1,1,1
7,4700000,0,repeated_supported_consequence,reference,initial@0/0:1/1/0/0/0/1;after_first@5/5:1/4/0/4294967296/4294967296/1;after_second@6/6:1/7/0/8321499136/12616466432/1;last_live@75/75:1/1/9/96876761/12616466432/1;death@76/76:0/0/0/0/0/0,fdc59fbc66ed27d39392ff69cd0704e80e160c07da3a4ff94b398839f3be71ea,11,6,2,2,0,1,0,76,82c58c7a364e470678826a53a5147c47621e44c14a6435674e365078c224f8da,1,1,1,1,1
7,4700000,0,repeated_supported_consequence,production,initial@0/0:1/1/0/0/0/1;after_first@5/5:1/4/0/4294967296/4294967296/1;after_second@6/6:1/7/0/8321499136/12616466432/1;last_live@75/75:1/1/9/96876761/12616466432/1;death@76/76:0/0/0/0/0/0,fdc59fbc66ed27d39392ff69cd0704e80e160c07da3a4ff94b398839f3be71ea,11,6,2,2,0,1,0,76,82c58c7a364e470678826a53a5147c47621e44c14a6435674e365078c224f8da,1,1,1,1,1
8,4700000,1,unused_proposal,reference,initial@0/1:1/1/0/0/0/1;age_9@9/10:1/1/9/0/0/1;death@10/11:0/0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,11,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
