case_id,root,creation_phase,family,mechanics,points,trace_hash,physical_work,drive,modulation,updates,proposals,deallocations,qlp,final_tick,body_hash,quiescent,partition_equal,target_fires,predicate_pass
1,4100000,0,phase_free_weak_lifetime,reference,0@0:1/1/0/0/1;1@1:1/1/1/0/1;9@9:1/1/9/0/1;10@10:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,10,ca0eb2b6ef5405acfbd83237a5e0cf254d3a0ebb573fe7bde7ad3ade327043a3,1,1,0,1
1,4100000,0,phase_free_weak_lifetime,production,0@0:1/1/0/0/1;1@1:1/1/1/0/1;9@9:1/1/9/0/1;10@10:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,10,ca0eb2b6ef5405acfbd83237a5e0cf254d3a0ebb573fe7bde7ad3ade327043a3,1,1,0,1
2,4100000,0,resistance_scales_lifetime,reference,0@0:1/1/0/0/1|1/2/0/0/1|1/4/0/0/1;9@9:1/1/9/0/1|1/2/9/0/1|1/4/9/0/1;10@10:0/0/0/0/0|1/1/0/0/1|1/3/0/0/1;19@19:0/0/0/0/0|1/1/9/0/1|1/3/9/0/1;20@20:0/0/0/0/0|0/0/0/0/0|1/2/0/0/1;39@39:0/0/0/0/0|0/0/0/0/0|1/1/9/0/1;40@40:0/0/0/0/0|0/0/0/0/0|0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,0,0,0,0,3,0,40,ea143fb65b8e808f0e4f6cf53e14f96df611a6a85507afb63d90a0080e176c1f,1,1,0,1
2,4100000,0,resistance_scales_lifetime,production,0@0:1/1/0/0/1|1/2/0/0/1|1/4/0/0/1;9@9:1/1/9/0/1|1/2/9/0/1|1/4/9/0/1;10@10:0/0/0/0/0|1/1/0/0/1|1/3/0/0/1;19@19:0/0/0/0/0|1/1/9/0/1|1/3/9/0/1;20@20:0/0/0/0/0|0/0/0/0/0|1/2/0/0/1;39@39:0/0/0/0/0|0/0/0/0/0|1/1/9/0/1;40@40:0/0/0/0/0|0/0/0/0/0|0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,0,0,0,0,3,0,40,ea143fb65b8e808f0e4f6cf53e14f96df611a6a85507afb63d90a0080e176c1f,1,1,0,1
3,4100000,0,traversal_cannot_alter_forgetting,reference,0@0:1/4/0/0/1|1/4/0/0/1;9@9:1/4/9/12571524225/1|1/4/9/0/1;39@39:1/1/9/1813536193/1|1/1/9/0/1;40@40:0/0/0/0/0|0/0/0/0/0,e5175ba6ee8e8ebf072f1e4745c2037d9e81b4ee24de4439fddf3b0e23ab2581,10,8,0,0,0,2,0,40,967a702e461eca95d49f2cd86aed8a592b406c65027e978d20e909e410af79a4,1,1,0,1
3,4100000,0,traversal_cannot_alter_forgetting,production,0@0:1/4/0/0/1|1/4/0/0/1;9@9:1/4/9/12571524225/1|1/4/9/0/1;39@39:1/1/9/1813536193/1|1/1/9/0/1;40@40:0/0/0/0/0|0/0/0/0/0,e5175ba6ee8e8ebf072f1e4745c2037d9e81b4ee24de4439fddf3b0e23ab2581,10,8,0,0,0,2,0,40,967a702e461eca95d49f2cd86aed8a592b406c65027e978d20e909e410af79a4,1,1,0,1
4,4100000,0,host_time_partition_invariance,reference,0@0:1/4/0/0/1;37@37:1/1/7/0/1;40@40:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,40,ca0eb2b6ef5405acfbd83237a5e0cf254d3a0ebb573fe7bde7ad3ade327043a3,1,1,0,1
4,4100000,0,host_time_partition_invariance,production,0@0:1/4/0/0/1;37@37:1/1/7/0/1;40@40:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,40,ca0eb2b6ef5405acfbd83237a5e0cf254d3a0ebb573fe7bde7ad3ade327043a3,1,1,0,1
5,4100000,0,local_death_blocks_stale_delivery,reference,0@0:1/1/0/0/1;15@15:0/0/0/0/0,7f7265aee160ba0011c08f3d336b880f40087c3e300f875f1615883fc76ac409,2,1,0,0,0,1,0,15,b833e7fcd85f162d86748e6ce8bc565c56295c372a32df7208d608ec1ab8b8ce,1,1,0,1
5,4100000,0,local_death_blocks_stale_delivery,production,0@0:1/1/0/0/1;15@15:0/0/0/0/0,7f7265aee160ba0011c08f3d336b880f40087c3e300f875f1615883fc76ac409,2,1,0,0,0,1,0,15,b833e7fcd85f162d86748e6ce8bc565c56295c372a32df7208d608ec1ab8b8ce,1,1,0,1
