row_type,protocol,mode,claim_eligible,passed,seed,scale,depth,population,generation,process,context,parent_work,child_work,acquisition_work,installation_work,incremental_bytes,maintenance_work,price_micros,gain_micros,break_even_uses,observable_equal,computationally_useful,economically_justified,structurally_retained,proposed,retained,removed_arrow_firings,asset_instance_id,content_fingerprint,structural_depth,justified_depth,realized_useful_depth,right_censored,fallback_distance,recovery_work,status,name,diagnostic
scale,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S0,8,16,,,,,,,,,,,,,,,,,0,0,,,,0,0,0,false,,,,,functional:0;computational:0;economic:0;over:0;under:0;precision:1000000;recall:1000000;agreement:1000000
scale,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S1,32,64,,,,,,,,,,,,,,,,,4,3,,,,3,3,3,false,,,,,functional:3;computational:3;economic:3;over:0;under:0;precision:1000000;recall:1000000;agreement:1000000
edge,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S1,,,1,,,144,102,586,0,114,0,0,42000000,14,true,true,true,true,2,2,16,17765524585504018038,17912189724154816137,,,,,,,,,
edge,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S1,,,1,,,144,102,586,0,114,0,1,41999886,14,true,true,true,true,2,2,16,17765524585504018038,17912189724154816137,,,,,,,,,
edge,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S1,,,1,,,144,102,586,0,114,0,10,41998860,14,true,true,true,true,2,2,16,17765524585504018038,17912189724154816137,,,,,,,,,
edge,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S1,,,1,,,144,102,586,0,114,0,100,41988600,14,true,true,true,true,2,2,16,17765524585504018038,17912189724154816137,,,,,,,,,
edge,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S1,,,1,,,144,102,586,0,114,0,1000,41886000,14,true,true,true,true,2,2,16,17765524585504018038,17912189724154816137,,,,,,,,,
edge,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S1,,,2,,,102,65,383,0,58,0,0,37000000,11,true,true,true,true,1,1,8,17766477862085487750,18075933389931408255,,,,,,,,,
edge,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S1,,,2,,,102,65,383,0,58,0,1,36999942,11,true,true,true,true,1,1,8,17766477862085487750,18075933389931408255,,,,,,,,,
edge,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S1,,,2,,,102,65,383,0,58,0,10,36999420,11,true,true,true,true,1,1,8,17766477862085487750,18075933389931408255,,,,,,,,,
edge,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S1,,,2,,,102,65,383,0,58,0,100,36994200,11,true,true,true,true,1,1,8,17766477862085487750,18075933389931408255,,,,,,,,,
edge,full-fractal-scaling-ffs0-v1,definitive,true,true,0,S1,,,2,,,102,65,383,0,58,0,1000,36942000,11,true,true,true,true,1,1,8,17766477862085487750,18075933389931408255,,,,,,,,,
