row_type,protocol,mode,claim_eligible,passed,seed,scale,depth,population,generation,process,context,parent_work,child_work,acquisition_work,installation_work,incremental_bytes,maintenance_work,price_micros,gain_micros,break_even_uses,observable_equal,computationally_useful,economically_justified,structurally_retained,proposed,retained,removed_arrow_firings,asset_instance_id,content_fingerprint,structural_depth,justified_depth,realized_useful_depth,right_censored,collapse_point,learned_motifs,identity_acquisition_work,identity_bytes,generic_runtime,learned_identity_runtime,supplied_same_runtime,same_less_runtime,mature_delta_vs_supplied,identity_break_even_uses,fallback_distance,recovery_work,status,name,diagnostic
scale,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S0,8,16,,,,,,,,,,,,,,,,,0,0,,,,0,0,0,false,compaction,2,860,26,96,18,36,54,18,21,,,,,functional:0;computational:0;economic:0;over:0;under:0
identity,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S0,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2,860,26,96,18,36,54,18,,,,EXPENSIVE,,
scale,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S1,32,64,,,,,,,,,,,,,,,,,4,3,,,,3,3,3,false,none,2,860,26,312,18,52,70,18,6,,,,,functional:3;computational:3;economic:3;over:0;under:0
edge,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S1,,,1,,,162,120,640,0,114,0,0,42000000,16,true,true,true,true,2,2,16,330964528045985398,474251966976255625,,,,,,,,,,,,,,,,,,,
edge,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S1,,,1,,,162,120,640,0,114,0,1,41999886,16,true,true,true,true,2,2,16,330964528045985398,474251966976255625,,,,,,,,,,,,,,,,,,,
edge,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S1,,,1,,,162,120,640,0,114,0,10,41998860,16,true,true,true,true,2,2,16,330964528045985398,474251966976255625,,,,,,,,,,,,,,,,,,,
edge,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S1,,,1,,,162,120,640,0,114,0,100,41988600,16,true,true,true,true,2,2,16,330964528045985398,474251966976255625,,,,,,,,,,,,,,,,,,,
edge,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S1,,,1,,,162,120,640,0,114,0,1000,41886000,16,true,true,true,true,2,2,16,330964528045985398,474251966976255625,,,,,,,,,,,,,,,,,,,
edge,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S1,,,2,,,120,83,437,0,58,0,0,37000000,12,true,true,true,true,1,1,8,331917804627455110,6907006314052578175,,,,,,,,,,,,,,,,,,,
edge,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S1,,,2,,,120,83,437,0,58,0,1,36999942,12,true,true,true,true,1,1,8,331917804627455110,6907006314052578175,,,,,,,,,,,,,,,,,,,
edge,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S1,,,2,,,120,83,437,0,58,0,10,36999420,12,true,true,true,true,1,1,8,331917804627455110,6907006314052578175,,,,,,,,,,,,,,,,,,,
edge,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S1,,,2,,,120,83,437,0,58,0,100,36994200,12,true,true,true,true,1,1,8,331917804627455110,6907006314052578175,,,,,,,,,,,,,,,,,,,
edge,ffs-same0-learned-correspondence-v1,definitive,true,true,0,S1,,,2,,,120,83,437,0,58,0,1000,36942000,12,true,true,true,true,1,1,8,331917804627455110,6907006314052578175,,,,,,,,,,,,,,,,,,,
