arm,seed,suite,scenario,namespace,updates_a,updates_b,resistance_a,resistance_b,coupling_a,coupling_b,live_a,live_b,crossings_a,crossings_b,generations,work,accepts,path_edges,firings,deallocations,bytes,fingerprint,permanent,quiescent,clauses,replay,passed
C,5201,dense,unrelated-nearby-no-lawful-return,2009104365125632,0,0,1,1,1,1,true,true,1,0,a1|b1,175,0,0,5,0,2784,15370037264759733071,2815504163720364753,true,true|true|true|true|true|true|true|true,true,true
C,5201,dense,lawful-return-in-dense-world,2009104366174208,1,0,4,1,2,1,true,true,1,0,a1|b1,176,1,0,5,0,2784,5658761963110964746,14219133834774327439,true,true|true|true|true|true|true|true|true,true,true
C,5201,dense,other-candidate-return,2009104367222784,0,0,1,1,1,1,true,true,1,0,a1|b1,173,0,0,5,0,2784,7742608277135903064,18261007402208798609,true,true|true|true|true|true|true|true|true,true,true
C,5201,dense,both-traverse-one-return,2009104368271360,1,0,4,1,2,1,true,true,1,1,a1|b1,324,1,0,9,0,2784,12176675028674648815,7583207113990989135,true,true|true|true|true|true|true|true|true,true,true
C,5201,dense,both-traverse-both-return,2009104369319936,1,1,4,4,2,2,true,true,1,1,a1|b1,374,2,0,10,0,2784,11058143449097436764,7581836959414763969,true,true|true|true|true|true|true|true|true,true,true
C,5201,dense,cross-and-distractors-no-return,2009104370368512,0,0,1,1,1,1,true,true,2,1,a1|b1,1256,0,0,25,0,2784,17103643242933883602,11020517426203426449,true,true|true|true|true|true|true|true|true,true,true
C,5201,dense,lawful-return-with-all-distractors,2009104371417088,1,0,4,1,2,1,true,true,2,1,a1|b1,1259,1,0,25,0,2784,17744757572220731084,9340172048696493359,true,true|true|true|true|true|true|true|true,true,true
C,5201,dense,return-without-candidate,2009104372465664,0,0,1,1,1,1,true,true,0,0,a1|b1,35,0,0,1,0,2784,2843723703898067147,11165315037505056465,true,true|true|true|true|true|true|true|true,true,true
C,5201,dense,late-lawful-return,2009104373514240,0,0,0,1,1,1,false,true,1,0,a2|b1,177,0,0,5,1,2784,7182018037682801002,16578203690570798490,true,true|true|true|true|true|true|true|true,true,true
C,5201,dense,adjacent-renewed-upstream,2009104374562816,0,0,1,1,1,1,true,true,2,0,a1|b1,276,0,0,8,0,2784,9535772527161497953,13114569395976584721,true,true|true|true|true|true|true|true|true,true,true
C,5201,px0,acquisition,2009104381902848,0,0,12,0,2,1,true,false,4,0,a1|b2,528,4,0,20,1,992,14067297302464072358,18029687823477371408,true,true|true|true|true|true|true|true|true,true,true
C,5201,px0,probation,2009104382951424,0,0,0,0,2,1,false,false,1,0,a2|b2,109,1,0,5,2,992,5482024354236803429,16627479373317068954,true,true|true|true|true|true|true|true|true,true,true
C,5201,px0,stable-return-specificity,2009104384000000,0,0,4,1,2,1,true,true,1,1,a1|b1,180,1,0,9,0,992,16545254965118573700,13985494598213179552,true,true|true|true|true|true|true|true|true,true,true
C,5201,px0,forgetting,2009104385048576,0,0,0,0,2,1,false,false,4,0,a2|b2,546,4,0,20,2,992,2440289209708382023,2671006590480768633,true,true|true|true|true|true|true|true|true,true,true
C,5201,px0,fresh-reproposal,2009104386097152,0,0,1,0,1,0,true,false,4,0,old2|fresh6,85,0,0,6,1,560,15603377225648974966,6736005178912820068,true,true|true|true|true|true|true|true|true,true,true
C,5201,px0,reacquisition,2009104387145728,0,0,11,0,2,0,true,false,11,0,old2|fresh6,280,4,0,16,1,560,8085394389682920282,13527364117786348792,true,true|true|true|true|true|true|true|true,true,true
C,5201,px1,support-a,2009104398680064,1,0,7,1,2,1,true,true,2,0,a1|b1,216,2,0,10,0,992,18444281622051851120,5409302445070149190,true,true|true|true|true|true|true|true|true,true,true
C,5201,px1,support-b,2009104399728640,0,1,1,7,1,2,true,true,0,2,a1|b1,216,2,0,10,0,992,5319290249884739588,2561882260280329726,true,true|true|true|true|true|true|true|true,true,true
C,5201,px1,no-support,2009104400777216,0,0,1,1,1,1,true,true,0,0,a1|b1,0,0,0,0,0,992,17629345956471084876,13634773925213741388,true,true|true|true|true|true|true|true|true,true,true
C,5201,px1,participation-return-blocked,2009104401825792,0,0,0,1,1,1,false,true,1,0,a2|b1,136,0,0,7,1,992,1574558406577608960,4521203392462021951,true,true|true|true|true|true|true|true|true,true,true
C,5201,px1,return-without-participation,2009104402874368,0,0,1,1,1,1,true,true,0,0,a1|b1,41,0,0,2,0,992,14893361192609798481,3424065749807345067,true,true|true|true|true|true|true|true|true,true,true
C,5201,px1,joint-participation,2009104403922944,1,1,7,7,2,2,true,true,2,2,a1|b1,518,4,0,20,0,992,2746364361256445841,1532372556817234020,true,true|true|true|true|true|true|true|true,true,true
C,5201,px2,forward-traversal-return,2009104415457280,1,0,7,1,2,1,true,true,2,0,a1|b1,216,2,0,10,0,992,16327888609709639718,2719587020837944296,true,true|true|true|true|true|true|true|true,true,true
C,5201,px2,reverse-traversal-return,2009104416505856,0,1,1,7,1,2,true,true,0,2,a1|b1,216,2,0,10,0,992,14300542294004351338,13933228986773565880,true,true|true|true|true|true|true|true|true,true,true
C,5201,px2,correlation-without-traversal,2009104417554432,0,0,0,0,1,1,false,false,0,0,a2|b2,370,0,0,12,2,992,17000863138920913045,16901763750709161210,true,true|true|true|true|true|true|true|true,true,true
C,5201,px2,forward-return-blocked,2009104418603008,0,0,0,1,1,1,false,true,1,0,a2|b1,136,0,0,7,1,992,4726454657008704790,1466433063596709337,true,true|true|true|true|true|true|true|true,true,true
C,5201,px2,joint-traversal-return,2009104419651584,1,1,7,7,2,2,true,true,2,2,a1|b1,518,4,0,20,0,992,8063456401888600203,16839212145174036586,true,true|true|true|true|true|true|true|true,true,true
C,5201,px2,forward-with-wrong-way-observation,2009104420700160,1,0,6,0,2,1,true,false,2,0,a1|b2,452,2,0,16,1,992,3129490432849191411,5300685414135636092,true,true|true|true|true|true|true|true|true,true,true
C,5201,px2,reverse-with-wrong-way-observation,2009104421748736,0,1,0,6,1,2,false,true,0,2,a2|b1,452,2,0,16,1,992,6213305251190642787,4070501859314221400,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,unrelated-nearby-no-lawful-return,2009106512609280,0,0,1,1,1,1,true,true,1,0,a1|b1,175,0,0,5,0,2784,9385345880766629455,8342121238715724241,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,lawful-return-in-dense-world,2009106513657856,1,0,4,1,2,1,true,true,1,0,a1|b1,176,1,0,5,0,2784,3338000381602103562,11098912590495853967,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,other-candidate-return,2009106514706432,0,0,1,1,1,1,true,true,1,0,a1|b1,173,0,0,5,0,2784,2800063911429594712,3779763368064040593,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,both-traverse-one-return,2009106515755008,1,0,4,1,2,1,true,true,1,1,a1|b1,324,1,0,9,0,2784,12593527460390004463,9885082056069192783,true,true|true|true|true|true|true|true|true,true,true
