section,name,episode,successful_seeds,total_seeds,first_success_episode,proposals,spikes,candidates,stable_arrows,lookup_correct,feedback_correct,continuation_correct,finish_correct,heldout_correct,heldout_total
isolated,P0a lookup,0,8,8,7.750,91,0,1,1,false,false,false,false,0,0
isolated,P0b feedback,0,8,8,11.125,92,0,1,1,false,false,false,false,0,0
isolated,P0c self-trigger,0,8,8,14.000,94,0,1,1,false,false,false,false,0,0
isolated,P0d finish,0,8,8,10.250,92,0,1,1,false,false,false,false,0,0
condition,real terminal feedback,0,8,8,Some(256.0),Some(340.25),Some(47635.0),4.000,0,false,false,false,false,512,512
condition,shuffled terminal feedback,0,0,8,Some(256.0),Some(340.25),Some(47635.0),88.625,0,false,false,false,false,0,512
condition,random feedback,0,0,8,Some(309.0),Some(165.0),Some(61691.875),89.750,0,false,false,false,false,0,512
condition,activity only,0,1,8,Some(1.0),Some(90.0),Some(31.0),65.250,0,false,false,false,false,64,512
trajectory,real terminal feedback,1,0,0,,0,0,90,0,false,false,false,false,0,0
trajectory,real terminal feedback,10,0,0,,0,0,88,0,false,false,false,false,0,0
trajectory,real terminal feedback,100,0,0,,0,0,89,0,false,false,false,false,0,0
trajectory,real terminal feedback,1000,0,0,,0,0,88,0,false,false,false,false,0,0
trajectory,real terminal feedback,1153,0,0,,0,0,90,0,true,false,false,false,0,0
trajectory,real terminal feedback,3742,0,0,,0,0,4,4,true,true,true,true,0,0
trajectory,real terminal feedback,10000,0,0,,0,0,4,4,true,true,true,true,0,0
trajectory,real terminal feedback,50000,0,0,,0,0,4,4,true,true,true,true,0,0
