case_id,family,initial_phase,initial_resistance,delay,mechanics,trajectory,eligibility_events,pressure_ticks,eligible_pressure_observed,eligible_pressure_unchanged,ineligible_pressure_observed,ineligible_pressure_reduced,event_live_before,event_eligible_before,event_participation_before,event_support_before,event_resistance_before,event_support_after,event_resistance_after,renewal_attempted_live,maximum_resistance,final_live,final_resistance,final_coupling,final_participation,final_support,physical_work,drive_deliveries,modulatory_deliveries,local_updates,proposals,deallocations,final_tick,final_pressure_phase,trace_hash,body_hash,naturally_quiescent
1,dormant,0,1,none,reference,initial@0/1/1/1/0/0/0;settled@1/1/1/1/0/0/0;settled@2/1/1/1/0/0/0;settled@3/1/1/1/0/0/0;settled@4/1/1/1/0/0/0;settled@5/1/1/1/0/0/0;settled@6/1/1/1/0/0/0;settled@7/1/1/1/0/0/0;settled@8/1/1/1/0/0/0;settled@9/1/1/1/0/0/0;settled@10/0/0/1/0/0/0;settled@11/0/0/1/0/0/0;settled@12/0/0/1/0/0/0;settled@13/0/0/1/0/0/0;settled@14/0/0/1/0/0/0;settled@15/0/0/1/0/0/0;settled@16/0/0/1/0/0/0;settled@17/0/0/1/0/0/0;settled@18/0/0/1/0/0/0;settled@19/0/0/1/0/0/0;settled@20/0/0/1/0/0/0;settled@21/0/0/1/0/0/0;settled@22/0/0/1/0/0/0;settled@23/0/0/1/0/0/0;settled@24/0/0/1/0/0/0;settled@25/0/0/1/0/0/0;settled@26/0/0/1/0/0/0;settled@27/0/0/1/0/0/0;settled@28/0/0/1/0/0/0;settled@29/0/0/1/0/0/0;settled@30/0/0/1/0/0/0;settled@31/0/0/1/0/0/0;settled@32/0/0/1/0/0/0;settled@33/0/0/1/0/0/0;settled@34/0/0/1/0/0/0;settled@35/0/0/1/0/0/0;settled@36/0/0/1/0/0/0;settled@37/0/0/1/0/0/0;settled@38/0/0/1/0/0/0;settled@39/0/0/1/0/0/0;settled@40/0/0/1/0/0/0;settled@41/0/0/1/0/0/0;settled@42/0/0/1/0/0/0;settled@43/0/0/1/0/0/0;settled@44/0/0/1/0/0/0;settled@45/0/0/1/0/0/0;settled@46/0/0/1/0/0/0;settled@47/0/0/1/0/0/0;settled@48/0/0/1/0/0/0;settled@49/0/0/1/0/0/0;settled@50/0/0/1/0/0/0;settled@51/0/0/1/0/0/0;settled@52/0/0/1/0/0/0;settled@53/0/0/1/0/0/0;settled@54/0/0/1/0/0/0;settled@55/0/0/1/0/0/0;settled@56/0/0/1/0/0/0;settled@57/0/0/1/0/0/0;settled@58/0/0/1/0/0/0;settled@59/0/0/1/0/0/0;settled@60/0/0/1/0/0/0,,10|20|30|40|50|60,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,60,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0dd410b622b886f00c20c008ab7274c134356f57cef88c358c2e5da9085c2620,1
1,dormant,0,1,none,production,initial@0/1/1/1/0/0/0;settled@1/1/1/1/0/0/0;settled@2/1/1/1/0/0/0;settled@3/1/1/1/0/0/0;settled@4/1/1/1/0/0/0;settled@5/1/1/1/0/0/0;settled@6/1/1/1/0/0/0;settled@7/1/1/1/0/0/0;settled@8/1/1/1/0/0/0;settled@9/1/1/1/0/0/0;settled@10/0/0/1/0/0/0;settled@11/0/0/1/0/0/0;settled@12/0/0/1/0/0/0;settled@13/0/0/1/0/0/0;settled@14/0/0/1/0/0/0;settled@15/0/0/1/0/0/0;settled@16/0/0/1/0/0/0;settled@17/0/0/1/0/0/0;settled@18/0/0/1/0/0/0;settled@19/0/0/1/0/0/0;settled@20/0/0/1/0/0/0;settled@21/0/0/1/0/0/0;settled@22/0/0/1/0/0/0;settled@23/0/0/1/0/0/0;settled@24/0/0/1/0/0/0;settled@25/0/0/1/0/0/0;settled@26/0/0/1/0/0/0;settled@27/0/0/1/0/0/0;settled@28/0/0/1/0/0/0;settled@29/0/0/1/0/0/0;settled@30/0/0/1/0/0/0;settled@31/0/0/1/0/0/0;settled@32/0/0/1/0/0/0;settled@33/0/0/1/0/0/0;settled@34/0/0/1/0/0/0;settled@35/0/0/1/0/0/0;settled@36/0/0/1/0/0/0;settled@37/0/0/1/0/0/0;settled@38/0/0/1/0/0/0;settled@39/0/0/1/0/0/0;settled@40/0/0/1/0/0/0;settled@41/0/0/1/0/0/0;settled@42/0/0/1/0/0/0;settled@43/0/0/1/0/0/0;settled@44/0/0/1/0/0/0;settled@45/0/0/1/0/0/0;settled@46/0/0/1/0/0/0;settled@47/0/0/1/0/0/0;settled@48/0/0/1/0/0/0;settled@49/0/0/1/0/0/0;settled@50/0/0/1/0/0/0;settled@51/0/0/1/0/0/0;settled@52/0/0/1/0/0/0;settled@53/0/0/1/0/0/0;settled@54/0/0/1/0/0/0;settled@55/0/0/1/0/0/0;settled@56/0/0/1/0/0/0;settled@57/0/0/1/0/0/0;settled@58/0/0/1/0/0/0;settled@59/0/0/1/0/0/0;settled@60/0/0/1/0/0/0,,10|20|30|40|50|60,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,60,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0dd410b622b886f00c20c008ab7274c134356f57cef88c358c2e5da9085c2620,1
2,used_no_consequence,0,1,none,reference,initial@0/1/1/1/0/0/0;after_initial@0/1/1/1/1/4294967296/0;settled@1/1/1/1/1/4026531840/0;settled@2/1/1/1/1/3774873600/0;settled@3/1/1/1/1/3538944000/0;settled@4/1/1/1/1/3317760000/0;settled@5/0/0/1/0/0/0;settled@6/0/0/1/0/0/0;settled@7/0/0/1/0/0/0;settled@8/0/0/1/0/0/0;settled@9/0/0/1/0/0/0;settled@10/0/0/1/0/0/0;settled@11/0/0/1/0/0/0;settled@12/0/0/1/0/0/0;settled@13/0/0/1/0/0/0;settled@14/0/0/1/0/0/0;settled@15/0/0/1/0/0/0;settled@16/0/0/1/0/0/0;settled@17/0/0/1/0/0/0;settled@18/0/0/1/0/0/0;settled@19/0/0/1/0/0/0;settled@20/0/0/1/0/0/0;settled@21/0/0/1/0/0/0;settled@22/0/0/1/0/0/0;settled@23/0/0/1/0/0/0;settled@24/0/0/1/0/0/0;settled@25/0/0/1/0/0/0;settled@26/0/0/1/0/0/0;settled@27/0/0/1/0/0/0;settled@28/0/0/1/0/0/0;settled@29/0/0/1/0/0/0;settled@30/0/0/1/0/0/0;settled@31/0/0/1/0/0/0;settled@32/0/0/1/0/0/0;settled@33/0/0/1/0/0/0;settled@34/0/0/1/0/0/0;settled@35/0/0/1/0/0/0;settled@36/0/0/1/0/0/0;settled@37/0/0/1/0/0/0;settled@38/0/0/1/0/0/0;settled@39/0/0/1/0/0/0;settled@40/0/0/1/0/0/0;settled@41/0/0/1/0/0/0;settled@42/0/0/1/0/0/0;settled@43/0/0/1/0/0/0;settled@44/0/0/1/0/0/0;settled@45/0/0/1/0/0/0;settled@46/0/0/1/0/0/0;settled@47/0/0/1/0/0/0;settled@48/0/0/1/0/0/0;settled@49/0/0/1/0/0/0;settled@50/0/0/1/0/0/0;settled@51/0/0/1/0/0/0;settled@52/0/0/1/0/0/0;settled@53/0/0/1/0/0/0;settled@54/0/0/1/0/0/0;settled@55/0/0/1/0/0/0;settled@56/0/0/1/0/0/0;settled@57/0/0/1/0/0/0;settled@58/0/0/1/0/0/0;settled@59/0/0/1/0/0/0;settled@60/0/0/1/0/0/0,0:4,10|20|30|40|50|60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,3,0,0,0,1,60,0,a991019d29370a0346f1e9d98a34d32d0dd99a2dbcb17c97573b26af1abe4bff,bad982f5aa298436f159b0b7bf3799e1df2df47468cadcef7d3e3f5ec631eda7,1
2,used_no_consequence,0,1,none,production,initial@0/1/1/1/0/0/0;after_initial@0/1/1/1/1/4294967296/0;settled@1/1/1/1/1/4026531840/0;settled@2/1/1/1/1/3774873600/0;settled@3/1/1/1/1/3538944000/0;settled@4/1/1/1/1/3317760000/0;settled@5/0/0/1/0/0/0;settled@6/0/0/1/0/0/0;settled@7/0/0/1/0/0/0;settled@8/0/0/1/0/0/0;settled@9/0/0/1/0/0/0;settled@10/0/0/1/0/0/0;settled@11/0/0/1/0/0/0;settled@12/0/0/1/0/0/0;settled@13/0/0/1/0/0/0;settled@14/0/0/1/0/0/0;settled@15/0/0/1/0/0/0;settled@16/0/0/1/0/0/0;settled@17/0/0/1/0/0/0;settled@18/0/0/1/0/0/0;settled@19/0/0/1/0/0/0;settled@20/0/0/1/0/0/0;settled@21/0/0/1/0/0/0;settled@22/0/0/1/0/0/0;settled@23/0/0/1/0/0/0;settled@24/0/0/1/0/0/0;settled@25/0/0/1/0/0/0;settled@26/0/0/1/0/0/0;settled@27/0/0/1/0/0/0;settled@28/0/0/1/0/0/0;settled@29/0/0/1/0/0/0;settled@30/0/0/1/0/0/0;settled@31/0/0/1/0/0/0;settled@32/0/0/1/0/0/0;settled@33/0/0/1/0/0/0;settled@34/0/0/1/0/0/0;settled@35/0/0/1/0/0/0;settled@36/0/0/1/0/0/0;settled@37/0/0/1/0/0/0;settled@38/0/0/1/0/0/0;settled@39/0/0/1/0/0/0;settled@40/0/0/1/0/0/0;settled@41/0/0/1/0/0/0;settled@42/0/0/1/0/0/0;settled@43/0/0/1/0/0/0;settled@44/0/0/1/0/0/0;settled@45/0/0/1/0/0/0;settled@46/0/0/1/0/0/0;settled@47/0/0/1/0/0/0;settled@48/0/0/1/0/0/0;settled@49/0/0/1/0/0/0;settled@50/0/0/1/0/0/0;settled@51/0/0/1/0/0/0;settled@52/0/0/1/0/0/0;settled@53/0/0/1/0/0/0;settled@54/0/0/1/0/0/0;settled@55/0/0/1/0/0/0;settled@56/0/0/1/0/0/0;settled@57/0/0/1/0/0/0;settled@58/0/0/1/0/0/0;settled@59/0/0/1/0/0/0;settled@60/0/0/1/0/0/0,0:4,10|20|30|40|50|60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,3,0,0,0,1,60,0,a991019d29370a0346f1e9d98a34d32d0dd99a2dbcb17c97573b26af1abe4bff,bad982f5aa298436f159b0b7bf3799e1df2df47468cadcef7d3e3f5ec631eda7,1
3,timed_consequence,0,1,0,reference,initial@0/1/1/1/0/0/0;after_initial@0/1/1/1/1/4294967296/0;before_event@0/1/1/1/1/4294967296/0;after_event@0/1/1/1/0/4294967296/4294967296;settled@1/1/1/1/0/4026531840/4294967296;settled@2/1/1/1/0/3774873600/4294967296;settled@3/1/1/1/0/3538944000/4294967296;settled@4/1/1/1/0/3317760000/4294967296;settled@5/1/1/1/0/3110400000/4294967296;settled@6/1/1/1/0/2916000000/4294967296;settled@7/1/1/1/0/2733750000/4294967296;settled@8/1/1/1/0/2562890625/4294967296;settled@9/1/1/1/0/2402709960/4294967296;settled@10/0/0/1/0/0/0;settled@11/0/0/1/0/0/0;settled@12/0/0/1/0/0/0;settled@13/0/0/1/0/0/0;settled@14/0/0/1/0/0/0;settled@15/0/0/1/0/0/0;settled@16/0/0/1/0/0/0;settled@17/0/0/1/0/0/0;settled@18/0/0/1/0/0/0;settled@19/0/0/1/0/0/0;settled@20/0/0/1/0/0/0;settled@21/0/0/1/0/0/0;settled@22/0/0/1/0/0/0;settled@23/0/0/1/0/0/0;settled@24/0/0/1/0/0/0;settled@25/0/0/1/0/0/0;settled@26/0/0/1/0/0/0;settled@27/0/0/1/0/0/0;settled@28/0/0/1/0/0/0;settled@29/0/0/1/0/0/0;settled@30/0/0/1/0/0/0;settled@31/0/0/1/0/0/0;settled@32/0/0/1/0/0/0;settled@33/0/0/1/0/0/0;settled@34/0/0/1/0/0/0;settled@35/0/0/1/0/0/0;settled@36/0/0/1/0/0/0;settled@37/0/0/1/0/0/0;settled@38/0/0/1/0/0/0;settled@39/0/0/1/0/0/0;settled@40/0/0/1/0/0/0;settled@41/0/0/1/0/0/0;settled@42/0/0/1/0/0/0;settled@43/0/0/1/0/0/0;settled@44/0/0/1/0/0/0;settled@45/0/0/1/0/0/0;settled@46/0/0/1/0/0/0;settled@47/0/0/1/0/0/0;settled@48/0/0/1/0/0/0;settled@49/0/0/1/0/0/0;settled@50/0/0/1/0/0/0;settled@51/0/0/1/0/0/0;settled@52/0/0/1/0/0/0;settled@53/0/0/1/0/0/0;settled@54/0/0/1/0/0/0;settled@55/0/0/1/0/0/0;settled@56/0/0/1/0/0/0;settled@57/0/0/1/0/0/0;settled@58/0/0/1/0/0/0;settled@59/0/0/1/0/0/0;settled@60/0/0/1/0/0/0,0:4,10|20|30|40|50|60,0,0,1,1,1,1,4294967296,0,1,4294967296,1,0,1,0,0,1,0,0,7,4,1,1,0,1,60,0,93b5bedd66c0151a6e21c0dbdf9e24c43229cf7977e33fb798933c1bb54aeeb8,efada3fcd503ae52c2321b81f6b8d1a8298598c42cc1064bc97cd72a70c33ee8,1
3,timed_consequence,0,1,0,production,initial@0/1/1/1/0/0/0;after_initial@0/1/1/1/1/4294967296/0;before_event@0/1/1/1/1/4294967296/0;after_event@0/1/1/1/0/4294967296/4294967296;settled@1/1/1/1/0/4026531840/4294967296;settled@2/1/1/1/0/3774873600/4294967296;settled@3/1/1/1/0/3538944000/4294967296;settled@4/1/1/1/0/3317760000/4294967296;settled@5/1/1/1/0/3110400000/4294967296;settled@6/1/1/1/0/2916000000/4294967296;settled@7/1/1/1/0/2733750000/4294967296;settled@8/1/1/1/0/2562890625/4294967296;settled@9/1/1/1/0/2402709960/4294967296;settled@10/0/0/1/0/0/0;settled@11/0/0/1/0/0/0;settled@12/0/0/1/0/0/0;settled@13/0/0/1/0/0/0;settled@14/0/0/1/0/0/0;settled@15/0/0/1/0/0/0;settled@16/0/0/1/0/0/0;settled@17/0/0/1/0/0/0;settled@18/0/0/1/0/0/0;settled@19/0/0/1/0/0/0;settled@20/0/0/1/0/0/0;settled@21/0/0/1/0/0/0;settled@22/0/0/1/0/0/0;settled@23/0/0/1/0/0/0;settled@24/0/0/1/0/0/0;settled@25/0/0/1/0/0/0;settled@26/0/0/1/0/0/0;settled@27/0/0/1/0/0/0;settled@28/0/0/1/0/0/0;settled@29/0/0/1/0/0/0;settled@30/0/0/1/0/0/0;settled@31/0/0/1/0/0/0;settled@32/0/0/1/0/0/0;settled@33/0/0/1/0/0/0;settled@34/0/0/1/0/0/0;settled@35/0/0/1/0/0/0;settled@36/0/0/1/0/0/0;settled@37/0/0/1/0/0/0;settled@38/0/0/1/0/0/0;settled@39/0/0/1/0/0/0;settled@40/0/0/1/0/0/0;settled@41/0/0/1/0/0/0;settled@42/0/0/1/0/0/0;settled@43/0/0/1/0/0/0;settled@44/0/0/1/0/0/0;settled@45/0/0/1/0/0/0;settled@46/0/0/1/0/0/0;settled@47/0/0/1/0/0/0;settled@48/0/0/1/0/0/0;settled@49/0/0/1/0/0/0;settled@50/0/0/1/0/0/0;settled@51/0/0/1/0/0/0;settled@52/0/0/1/0/0/0;settled@53/0/0/1/0/0/0;settled@54/0/0/1/0/0/0;settled@55/0/0/1/0/0/0;settled@56/0/0/1/0/0/0;settled@57/0/0/1/0/0/0;settled@58/0/0/1/0/0/0;settled@59/0/0/1/0/0/0;settled@60/0/0/1/0/0/0,0:4,10|20|30|40|50|60,0,0,1,1,1,1,4294967296,0,1,4294967296,1,0,1,0,0,1,0,0,7,4,1,1,0,1,60,0,93b5bedd66c0151a6e21c0dbdf9e24c43229cf7977e33fb798933c1bb54aeeb8,efada3fcd503ae52c2321b81f6b8d1a8298598c42cc1064bc97cd72a70c33ee8,1
4,unrelated_activity,0,1,0,reference,initial@0/1/1/1/0/0/0;after_initial@0/1/1/1/1/4294967296/0;before_event@0/1/1/1/1/4294967296/0;after_event@0/1/1/1/1/4294967296/0;settled@1/1/1/1/1/4026531840/0;settled@2/1/1/1/1/3774873600/0;settled@3/1/1/1/1/3538944000/0;settled@4/1/1/1/1/3317760000/0;settled@5/0/0/1/0/0/0;settled@6/0/0/1/0/0/0;settled@7/0/0/1/0/0/0;settled@8/0/0/1/0/0/0;settled@9/0/0/1/0/0/0;settled@10/0/0/1/0/0/0;settled@11/0/0/1/0/0/0;settled@12/0/0/1/0/0/0;settled@13/0/0/1/0/0/0;settled@14/0/0/1/0/0/0;settled@15/0/0/1/0/0/0;settled@16/0/0/1/0/0/0;settled@17/0/0/1/0/0/0;settled@18/0/0/1/0/0/0;settled@19/0/0/1/0/0/0;settled@20/0/0/1/0/0/0;settled@21/0/0/1/0/0/0;settled@22/0/0/1/0/0/0;settled@23/0/0/1/0/0/0;settled@24/0/0/1/0/0/0;settled@25/0/0/1/0/0/0;settled@26/0/0/1/0/0/0;settled@27/0/0/1/0/0/0;settled@28/0/0/1/0/0/0;settled@29/0/0/1/0/0/0;settled@30/0/0/1/0/0/0;settled@31/0/0/1/0/0/0;settled@32/0/0/1/0/0/0;settled@33/0/0/1/0/0/0;settled@34/0/0/1/0/0/0;settled@35/0/0/1/0/0/0;settled@36/0/0/1/0/0/0;settled@37/0/0/1/0/0/0;settled@38/0/0/1/0/0/0;settled@39/0/0/1/0/0/0;settled@40/0/0/1/0/0/0;settled@41/0/0/1/0/0/0;settled@42/0/0/1/0/0/0;settled@43/0/0/1/0/0/0;settled@44/0/0/1/0/0/0;settled@45/0/0/1/0/0/0;settled@46/0/0/1/0/0/0;settled@47/0/0/1/0/0/0;settled@48/0/0/1/0/0/0;settled@49/0/0/1/0/0/0;settled@50/0/0/1/0/0/0;settled@51/0/0/1/0/0/0;settled@52/0/0/1/0/0/0;settled@53/0/0/1/0/0/0;settled@54/0/0/1/0/0/0;settled@55/0/0/1/0/0/0;settled@56/0/0/1/0/0/0;settled@57/0/0/1/0/0/0;settled@58/0/0/1/0/0/0;settled@59/0/0/1/0/0/0;settled@60/0/0/1/0/0/0,0:4,10|20|30|40|50|60,0,0,0,0,1,1,4294967296,0,1,0,1,0,1,0,0,1,0,0,6,5,0,0,0,1,60,0,4ed3de0cd0bf1f5c8e13b536f1fe6da893b7ac4716dbae441b5868d22105ba23,99ae51c5898f09e66fb5db2a1eb787fab0157071f76bc34de82120180a2d8bf4,1
4,unrelated_activity,0,1,0,production,initial@0/1/1/1/0/0/0;after_initial@0/1/1/1/1/4294967296/0;before_event@0/1/1/1/1/4294967296/0;after_event@0/1/1/1/1/4294967296/0;settled@1/1/1/1/1/4026531840/0;settled@2/1/1/1/1/3774873600/0;settled@3/1/1/1/1/3538944000/0;settled@4/1/1/1/1/3317760000/0;settled@5/0/0/1/0/0/0;settled@6/0/0/1/0/0/0;settled@7/0/0/1/0/0/0;settled@8/0/0/1/0/0/0;settled@9/0/0/1/0/0/0;settled@10/0/0/1/0/0/0;settled@11/0/0/1/0/0/0;settled@12/0/0/1/0/0/0;settled@13/0/0/1/0/0/0;settled@14/0/0/1/0/0/0;settled@15/0/0/1/0/0/0;settled@16/0/0/1/0/0/0;settled@17/0/0/1/0/0/0;settled@18/0/0/1/0/0/0;settled@19/0/0/1/0/0/0;settled@20/0/0/1/0/0/0;settled@21/0/0/1/0/0/0;settled@22/0/0/1/0/0/0;settled@23/0/0/1/0/0/0;settled@24/0/0/1/0/0/0;settled@25/0/0/1/0/0/0;settled@26/0/0/1/0/0/0;settled@27/0/0/1/0/0/0;settled@28/0/0/1/0/0/0;settled@29/0/0/1/0/0/0;settled@30/0/0/1/0/0/0;settled@31/0/0/1/0/0/0;settled@32/0/0/1/0/0/0;settled@33/0/0/1/0/0/0;settled@34/0/0/1/0/0/0;settled@35/0/0/1/0/0/0;settled@36/0/0/1/0/0/0;settled@37/0/0/1/0/0/0;settled@38/0/0/1/0/0/0;settled@39/0/0/1/0/0/0;settled@40/0/0/1/0/0/0;settled@41/0/0/1/0/0/0;settled@42/0/0/1/0/0/0;settled@43/0/0/1/0/0/0;settled@44/0/0/1/0/0/0;settled@45/0/0/1/0/0/0;settled@46/0/0/1/0/0/0;settled@47/0/0/1/0/0/0;settled@48/0/0/1/0/0/0;settled@49/0/0/1/0/0/0;settled@50/0/0/1/0/0/0;settled@51/0/0/1/0/0/0;settled@52/0/0/1/0/0/0;settled@53/0/0/1/0/0/0;settled@54/0/0/1/0/0/0;settled@55/0/0/1/0/0/0;settled@56/0/0/1/0/0/0;settled@57/0/0/1/0/0/0;settled@58/0/0/1/0/0/0;settled@59/0/0/1/0/0/0;settled@60/0/0/1/0/0/0,0:4,10|20|30|40|50|60,0,0,0,0,1,1,4294967296,0,1,0,1,0,1,0,0,1,0,0,6,5,0,0,0,1,60,0,4ed3de0cd0bf1f5c8e13b536f1fe6da893b7ac4716dbae441b5868d22105ba23,99ae51c5898f09e66fb5db2a1eb787fab0157071f76bc34de82120180a2d8bf4,1
5,timed_consequence,0,1,1,reference,initial@0/1/1/1/0/0/0;after_initial@0/1/1/1/1/4294967296/0;settled@1/1/1/1/1/4026531840/0;before_event@1/1/1/1/1/4026531840/0;after_event@1/1/1/1/0/4026531840/4026531840;settled@2/1/1/1/0/3774873600/4026531840;settled@3/1/1/1/0/3538944000/4026531840;settled@4/1/1/1/0/3317760000/4026531840;settled@5/1/1/1/0/3110400000/4026531840;settled@6/1/1/1/0/2916000000/4026531840;settled@7/1/1/1/0/2733750000/4026531840;settled@8/1/1/1/0/2562890625/4026531840;settled@9/1/1/1/0/2402709960/4026531840;settled@10/0/0/1/0/0/0;settled@11/0/0/1/0/0/0;settled@12/0/0/1/0/0/0;settled@13/0/0/1/0/0/0;settled@14/0/0/1/0/0/0;settled@15/0/0/1/0/0/0;settled@16/0/0/1/0/0/0;settled@17/0/0/1/0/0/0;settled@18/0/0/1/0/0/0;settled@19/0/0/1/0/0/0;settled@20/0/0/1/0/0/0;settled@21/0/0/1/0/0/0;settled@22/0/0/1/0/0/0;settled@23/0/0/1/0/0/0;settled@24/0/0/1/0/0/0;settled@25/0/0/1/0/0/0;settled@26/0/0/1/0/0/0;settled@27/0/0/1/0/0/0;settled@28/0/0/1/0/0/0;settled@29/0/0/1/0/0/0;settled@30/0/0/1/0/0/0;settled@31/0/0/1/0/0/0;settled@32/0/0/1/0/0/0;settled@33/0/0/1/0/0/0;settled@34/0/0/1/0/0/0;settled@35/0/0/1/0/0/0;settled@36/0/0/1/0/0/0;settled@37/0/0/1/0/0/0;settled@38/0/0/1/0/0/0;settled@39/0/0/1/0/0/0;settled@40/0/0/1/0/0/0;settled@41/0/0/1/0/0/0;settled@42/0/0/1/0/0/0;settled@43/0/0/1/0/0/0;settled@44/0/0/1/0/0/0;settled@45/0/0/1/0/0/0;settled@46/0/0/1/0/0/0;settled@47/0/0/1/0/0/0;settled@48/0/0/1/0/0/0;settled@49/0/0/1/0/0/0;settled@50/0/0/1/0/0/0;settled@51/0/0/1/0/0/0;settled@52/0/0/1/0/0/0;settled@53/0/0/1/0/0/0;settled@54/0/0/1/0/0/0;settled@55/0/0/1/0/0/0;settled@56/0/0/1/0/0/0;settled@57/0/0/1/0/0/0;settled@58/0/0/1/0/0/0;settled@59/0/0/1/0/0/0;settled@60/0/0/1/0/0/0,0:4,10|20|30|40|50|60,0,0,1,1,1,1,4026531840,0,1,4026531840,1,0,1,0,0,1,0,0,7,4,1,1,0,1,60,0,4652f67b2e16c8df81a2c6afdda3a5c6d5432c371f9933ba1c8dfc2b3b3ad6a3,18477fd7d648989ac81552ac7111f3d9ff98f6b37478e2d6c98eeba0182e682a,1
5,timed_consequence,0,1,1,production,initial@0/1/1/1/0/0/0;after_initial@0/1/1/1/1/4294967296/0;settled@1/1/1/1/1/4026531840/0;before_event@1/1/1/1/1/4026531840/0;after_event@1/1/1/1/0/4026531840/4026531840;settled@2/1/1/1/0/3774873600/4026531840;settled@3/1/1/1/0/3538944000/4026531840;settled@4/1/1/1/0/3317760000/4026531840;settled@5/1/1/1/0/3110400000/4026531840;settled@6/1/1/1/0/2916000000/4026531840;settled@7/1/1/1/0/2733750000/4026531840;settled@8/1/1/1/0/2562890625/4026531840;settled@9/1/1/1/0/2402709960/4026531840;settled@10/0/0/1/0/0/0;settled@11/0/0/1/0/0/0;settled@12/0/0/1/0/0/0;settled@13/0/0/1/0/0/0;settled@14/0/0/1/0/0/0;settled@15/0/0/1/0/0/0;settled@16/0/0/1/0/0/0;settled@17/0/0/1/0/0/0;settled@18/0/0/1/0/0/0;settled@19/0/0/1/0/0/0;settled@20/0/0/1/0/0/0;settled@21/0/0/1/0/0/0;settled@22/0/0/1/0/0/0;settled@23/0/0/1/0/0/0;settled@24/0/0/1/0/0/0;settled@25/0/0/1/0/0/0;settled@26/0/0/1/0/0/0;settled@27/0/0/1/0/0/0;settled@28/0/0/1/0/0/0;settled@29/0/0/1/0/0/0;settled@30/0/0/1/0/0/0;settled@31/0/0/1/0/0/0;settled@32/0/0/1/0/0/0;settled@33/0/0/1/0/0/0;settled@34/0/0/1/0/0/0;settled@35/0/0/1/0/0/0;settled@36/0/0/1/0/0/0;settled@37/0/0/1/0/0/0;settled@38/0/0/1/0/0/0;settled@39/0/0/1/0/0/0;settled@40/0/0/1/0/0/0;settled@41/0/0/1/0/0/0;settled@42/0/0/1/0/0/0;settled@43/0/0/1/0/0/0;settled@44/0/0/1/0/0/0;settled@45/0/0/1/0/0/0;settled@46/0/0/1/0/0/0;settled@47/0/0/1/0/0/0;settled@48/0/0/1/0/0/0;settled@49/0/0/1/0/0/0;settled@50/0/0/1/0/0/0;settled@51/0/0/1/0/0/0;settled@52/0/0/1/0/0/0;settled@53/0/0/1/0/0/0;settled@54/0/0/1/0/0/0;settled@55/0/0/1/0/0/0;settled@56/0/0/1/0/0/0;settled@57/0/0/1/0/0/0;settled@58/0/0/1/0/0/0;settled@59/0/0/1/0/0/0;settled@60/0/0/1/0/0/0,0:4,10|20|30|40|50|60,0,0,1,1,1,1,4026531840,0,1,4026531840,1,0,1,0,0,1,0,0,7,4,1,1,0,1,60,0,4652f67b2e16c8df81a2c6afdda3a5c6d5432c371f9933ba1c8dfc2b3b3ad6a3,18477fd7d648989ac81552ac7111f3d9ff98f6b37478e2d6c98eeba0182e682a,1
