case_id,family,initial_phase,root_ordinal,mechanics,points,trace_hash,physical_work,drive_deliveries,modulatory_deliveries,local_updates,proposals,deallocations,qlp_traversals,final_tick,final_pressure_phase,body_hash,naturally_quiescent,time_partition_equal
1,never_used,0,0,reference,initial@0:1/1/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_pressure@10:0/0/1/-1/0/0/0|1/99/1/-1/0/0/0|1/99/1/-1/0/0/0;final@60:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,60,0,bca0fd15c41ed979d52db3fb9263fb70c1e5ec65cc97d632b103c83b3fc508a5,1,1
1,never_used,0,0,production,initial@0:1/1/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_pressure@10:0/0/1/-1/0/0/0|1/99/1/-1/0/0/0|1/99/1/-1/0/0/0;final@60:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,60,0,bca0fd15c41ed979d52db3fb9263fb70c1e5ec65cc97d632b103c83b3fc508a5,1,1
2,recently_used,0,0,reference,initial@0:1/1/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_use@9:1/1/1/13/4294967296/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_pressure@10:1/1/1/13/0/0/268435456|1/99/1/-1/0/0/0|1/99/1/-1/0/0/0;final@60:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0,171665990869fc0dfe73c1ff1aa1d32d689e6663edb909506dcd1027dab67636,3,2,0,0,0,1,0,60,0,524f047013d8c76f2ba70222380da8ec016319408e00953692b39d6b9fcbb693,1,1
2,recently_used,0,0,production,initial@0:1/1/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_use@9:1/1/1/13/4294967296/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_pressure@10:1/1/1/13/0/0/268435456|1/99/1/-1/0/0/0|1/99/1/-1/0/0/0;final@60:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0,171665990869fc0dfe73c1ff1aa1d32d689e6663edb909506dcd1027dab67636,3,2,0,0,0,1,0,60,0,524f047013d8c76f2ba70222380da8ec016319408e00953692b39d6b9fcbb693,1,1
3,same_age_magnitude,0,0,reference,initial@0:1/8/1/-1/0/0/0|1/8/1/-1/0/0/0|1/8/1/-1/0/0/0;before_pressure@29:1/6/1/-1/2562890625/0/0|1/7/1/-1/2938059318/0/0|1/7/1/-1/4198185727/0/0;after_pressure@30:1/6/1/-1/0/0/1892257336|1/7/1/-1/0/0/1540536686|1/7/1/-1/0/0/359168177;final@70:1/2/1/-1/0/0/1892257336|1/3/1/-1/0/0/1540536686|1/3/1/-1/0/0/359168177,5c763631b35ef8a9ad3b1ad856f35a7a6a37f4d3fb95b7d2e8d29939bdf092a0,16,16,0,0,0,0,0,70,0,666385ae163d496d7d9cbf55dbce0c6d0343be5f113c730b7d22939bc0fe035b,1,1
3,same_age_magnitude,0,0,production,initial@0:1/8/1/-1/0/0/0|1/8/1/-1/0/0/0|1/8/1/-1/0/0/0;before_pressure@29:1/6/1/-1/2562890625/0/0|1/7/1/-1/2938059318/0/0|1/7/1/-1/4198185727/0/0;after_pressure@30:1/6/1/-1/0/0/1892257336|1/7/1/-1/0/0/1540536686|1/7/1/-1/0/0/359168177;final@70:1/2/1/-1/0/0/1892257336|1/3/1/-1/0/0/1540536686|1/3/1/-1/0/0/359168177,5c763631b35ef8a9ad3b1ad856f35a7a6a37f4d3fb95b7d2e8d29939bdf092a0,16,16,0,0,0,0,0,70,0,666385ae163d496d7d9cbf55dbce0c6d0343be5f113c730b7d22939bc0fe035b,1,1
4,use_no_consequence,0,0,reference,initial@0:1/3/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_active@40:1/2/1/41/8210642547/0/0|1/96/1/-1/0/0/0|1/96/1/-1/0/0/0;final@90:0/0/1/-1/0/0/0|1/91/1/-1/0/0/0|1/91/1/-1/0/0/0,5d0c90bea53c9ce75341df3a872e2108025923189b597299264393159ef4a74f,19,18,0,0,0,1,0,90,0,6dd5a29259ffdab542dc16842150598aac471fbd464c77a545048aa52ba7677c,1,1
4,use_no_consequence,0,0,production,initial@0:1/3/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_active@40:1/2/1/41/8210642547/0/0|1/96/1/-1/0/0/0|1/96/1/-1/0/0/0;final@90:0/0/1/-1/0/0/0|1/91/1/-1/0/0/0|1/91/1/-1/0/0/0,5d0c90bea53c9ce75341df3a872e2108025923189b597299264393159ef4a74f,19,18,0,0,0,1,0,90,0,6dd5a29259ffdab542dc16842150598aac471fbd464c77a545048aa52ba7677c,1,1
5,timely_consequence,0,0,reference,initial@0:1/2/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_pressure@20:1/1/1/22/3018850304/0/0|1/98/1/-1/0/0/0|1/98/1/-1/0/0/0;after_consequence@21:1/3/1/-1/2830172160/2830172160/0|1/98/1/-1/0/0/0|1/98/1/-1/0/0/0;final@60:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0,02989becd7d9ca6982f4a357ccd758e0a59640132cbd20b99ddb26997b8e24ac,8,5,1,1,0,1,0,60,0,b05c04542ce283afbd850f49ce79ed4fc11673b9fe942c11186ee5229d201807,1,1
5,timely_consequence,0,0,production,initial@0:1/2/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_pressure@20:1/1/1/22/3018850304/0/0|1/98/1/-1/0/0/0|1/98/1/-1/0/0/0;after_consequence@21:1/3/1/-1/2830172160/2830172160/0|1/98/1/-1/0/0/0|1/98/1/-1/0/0/0;final@60:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0,02989becd7d9ca6982f4a357ccd758e0a59640132cbd20b99ddb26997b8e24ac,8,5,1,1,0,1,0,60,0,b05c04542ce283afbd850f49ce79ed4fc11673b9fe942c11186ee5229d201807,1,1
