case_id,root,initial_phase,variant,family,depth,break_index,mechanics,expected_support,participation,support,triggers,predicate_pass,qlp_events,source_fires,physical_work,drive_deliveries,modulatory_deliveries,local_updates,proposals,deallocations,qlp_work,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
1,2700000,0,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,1,1,d2e266795f1903b25b1979b3383058124f2df6fb3f059b393469defe9a5dc94e,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
1,2700000,0,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,1,1,d2e266795f1903b25b1979b3383058124f2df6fb3f059b393469defe9a5dc94e,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
2,2700000,1,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,2,2,8dfc6dfb5bd1f1bf0cf4765b6f6120ff48ea3389a1091777fe7f086125146ced,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
2,2700000,1,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,2,2,8dfc6dfb5bd1f1bf0cf4765b6f6120ff48ea3389a1091777fe7f086125146ced,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
3,2700000,2,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,3,3,0189a9e52a2a3a0720a6e92ea31748a8201b1874b24281a90e98ef359d9caa6a,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
3,2700000,2,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,3,3,0189a9e52a2a3a0720a6e92ea31748a8201b1874b24281a90e98ef359d9caa6a,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
4,2700000,3,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,4,4,76d7c4b90d8be58f002b02d5e3952b6b01231f55596e16f32617131dd1d98be4,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
4,2700000,3,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,4,4,76d7c4b90d8be58f002b02d5e3952b6b01231f55596e16f32617131dd1d98be4,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
5,2700000,4,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,5,5,b8f569715876c1c94b81ef6320c97a7b6c8899f170fb9fc72565ba4324787aab,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
5,2700000,4,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,5,5,b8f569715876c1c94b81ef6320c97a7b6c8899f170fb9fc72565ba4324787aab,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
6,2700000,5,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,6,6,7bdb1fedbf554e9bdae793826c2f7be1b3bfb160cd91bf841886751633af5b47,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
6,2700000,5,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,6,6,7bdb1fedbf554e9bdae793826c2f7be1b3bfb160cd91bf841886751633af5b47,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
7,2700000,6,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,7,7,5f00acc59f574837ae33d34e8425b0d266f2c5ea26d8ae63ee69382127502136,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
7,2700000,6,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,7,7,5f00acc59f574837ae33d34e8425b0d266f2c5ea26d8ae63ee69382127502136,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
8,2700000,7,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,8,8,4c68375d250ab1fe6a2f88bbef3502983a158f4b16cb5755f4140c6fc2e60f38,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
8,2700000,7,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,8,8,4c68375d250ab1fe6a2f88bbef3502983a158f4b16cb5755f4140c6fc2e60f38,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
9,2700000,8,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,9,9,cf2ed404e89e16bbeeee4681465821ec3e07ea3bc6f4662c2043fa26177842ec,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
9,2700000,8,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,9,9,cf2ed404e89e16bbeeee4681465821ec3e07ea3bc6f4662c2043fa26177842ec,65f4cad5b722cd54d05d893a36d5950670bcdf74016e3499be38ab0b5a7958f5,1,1
10,2700000,9,complete_d1,complete,1,none,reference,1,0,0,,0,0,3,5,4,1,0,0,0,0,10,0,9b523e3f0240caa2d9dc968e894b3bf4866b940abb549c215daaaa14a4f0772c,68823d37ae1db405828d11a5d8e03d633cba9753381258f516e744191e61d2ea,1,1
10,2700000,9,complete_d1,complete,1,none,production,1,0,0,,0,0,3,5,4,1,0,0,0,0,10,0,9b523e3f0240caa2d9dc968e894b3bf4866b940abb549c215daaaa14a4f0772c,68823d37ae1db405828d11a5d8e03d633cba9753381258f516e744191e61d2ea,1,1
11,2800000,0,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,1,1,d2e266795f1903b25b1979b3383058124f2df6fb3f059b393469defe9a5dc94e,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
11,2800000,0,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,1,1,d2e266795f1903b25b1979b3383058124f2df6fb3f059b393469defe9a5dc94e,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
12,2800000,1,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,2,2,8dfc6dfb5bd1f1bf0cf4765b6f6120ff48ea3389a1091777fe7f086125146ced,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
12,2800000,1,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,2,2,8dfc6dfb5bd1f1bf0cf4765b6f6120ff48ea3389a1091777fe7f086125146ced,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
13,2800000,2,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,3,3,0189a9e52a2a3a0720a6e92ea31748a8201b1874b24281a90e98ef359d9caa6a,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
13,2800000,2,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,3,3,0189a9e52a2a3a0720a6e92ea31748a8201b1874b24281a90e98ef359d9caa6a,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
14,2800000,3,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,4,4,76d7c4b90d8be58f002b02d5e3952b6b01231f55596e16f32617131dd1d98be4,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
14,2800000,3,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,4,4,76d7c4b90d8be58f002b02d5e3952b6b01231f55596e16f32617131dd1d98be4,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
15,2800000,4,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,5,5,b8f569715876c1c94b81ef6320c97a7b6c8899f170fb9fc72565ba4324787aab,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
15,2800000,4,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,5,5,b8f569715876c1c94b81ef6320c97a7b6c8899f170fb9fc72565ba4324787aab,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
16,2800000,5,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,6,6,7bdb1fedbf554e9bdae793826c2f7be1b3bfb160cd91bf841886751633af5b47,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
16,2800000,5,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,6,6,7bdb1fedbf554e9bdae793826c2f7be1b3bfb160cd91bf841886751633af5b47,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
17,2800000,6,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,7,7,5f00acc59f574837ae33d34e8425b0d266f2c5ea26d8ae63ee69382127502136,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
17,2800000,6,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,7,7,5f00acc59f574837ae33d34e8425b0d266f2c5ea26d8ae63ee69382127502136,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
18,2800000,7,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,8,8,4c68375d250ab1fe6a2f88bbef3502983a158f4b16cb5755f4140c6fc2e60f38,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
18,2800000,7,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,8,8,4c68375d250ab1fe6a2f88bbef3502983a158f4b16cb5755f4140c6fc2e60f38,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
