case_id,root,initial_phase,world,mechanics,participation,support,triggers,predicate_pass,qlp_events,source_fires,physical_work,drive_deliveries,modulatory_deliveries,local_updates,qlp_work,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
1,2500000,0,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,1,1,dc48a39ec41c065a8028e421a98562f02337031143967be54daeb0c690eeecb3,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
1,2500000,0,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,1,1,dc48a39ec41c065a8028e421a98562f02337031143967be54daeb0c690eeecb3,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
2,2500000,1,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,2,2,b3df839aca8a6940b4cd9e45c8d34c65e3379f79f6b79a14d761b49ccd3c730c,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
2,2500000,1,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,2,2,b3df839aca8a6940b4cd9e45c8d34c65e3379f79f6b79a14d761b49ccd3c730c,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
3,2500000,2,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,3,3,ce0befef8451255990538b00f3d28a01eff5cdbd90dbe0668c2bf69de32b7a58,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
3,2500000,2,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,3,3,ce0befef8451255990538b00f3d28a01eff5cdbd90dbe0668c2bf69de32b7a58,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
4,2500000,3,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,4,4,bb3f3ddee9ba38b12f3e9692a6d8b4921ca83509dee69ed21d80e7aa281268a2,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
4,2500000,3,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,4,4,bb3f3ddee9ba38b12f3e9692a6d8b4921ca83509dee69ed21d80e7aa281268a2,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
5,2500000,4,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,5,5,945988c5b3b0499e70ce02f93a52bc39248043f6a01a28b3b95c36c8089dd7af,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
5,2500000,4,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,5,5,945988c5b3b0499e70ce02f93a52bc39248043f6a01a28b3b95c36c8089dd7af,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
6,2500000,5,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,6,6,6454765bdb7655f974a13ab2b2e144ded7bb409166c5a4a5b2e271421f1871cf,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
6,2500000,5,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,6,6,6454765bdb7655f974a13ab2b2e144ded7bb409166c5a4a5b2e271421f1871cf,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
7,2500000,6,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,11,5,2,3,1,7,7,a3031118f27b60fb50b3421acaaae3ab81972e3b2cd176d55800bbd58f144c7a,bdb4fb345981ef1a53c92dc6c44b8061f6fb867601602689a73342043aecc224,1,1
