case_id,root,initial_phase,variant,family,depth,break_index,mechanics,expected_support,participation,support,triggers,predicate_pass,qlp_events,source_fires,physical_work,drive_deliveries,modulatory_deliveries,local_updates,proposals,deallocations,qlp_work,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
1,2700000,0,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,1,1,90a961ff0727e709f9667b767dfd742f0e9913b730d2c9a634e0153640694e4f,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
1,2700000,0,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,1,1,90a961ff0727e709f9667b767dfd742f0e9913b730d2c9a634e0153640694e4f,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
2,2700000,1,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,2,2,0eddfd62be318c9cf968fa538f2dd51a553efd2b327071bfefb88ad889f91f94,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
2,2700000,1,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,2,2,0eddfd62be318c9cf968fa538f2dd51a553efd2b327071bfefb88ad889f91f94,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
3,2700000,2,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,3,3,8fb405d79edcc5cbea05acf61e155d942ad4761afb52578d8aedc7c1bf731123,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
3,2700000,2,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,3,3,8fb405d79edcc5cbea05acf61e155d942ad4761afb52578d8aedc7c1bf731123,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
4,2700000,3,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,4,4,e0a8c077c4f74cb4f33f27a35072fa9f44a603496bddd9c315f0d68d7b35ad4d,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
4,2700000,3,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,4,4,e0a8c077c4f74cb4f33f27a35072fa9f44a603496bddd9c315f0d68d7b35ad4d,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
5,2700000,4,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,5,5,537d5cee2242e1ee850e2a334d6ecaed9ecb78a96f977165dbc774f6ea23d968,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
5,2700000,4,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,5,5,537d5cee2242e1ee850e2a334d6ecaed9ecb78a96f977165dbc774f6ea23d968,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
6,2700000,5,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,6,6,948213412ad0fd1a72f0f83c8e73fd2096955a6770b6933d1177943e1c1ff186,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
6,2700000,5,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,6,6,948213412ad0fd1a72f0f83c8e73fd2096955a6770b6933d1177943e1c1ff186,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
7,2700000,6,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,7,7,2fc2cf5df0bbc96ffc5e626cac8a158610367348d606b474441374674ee6b834,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
7,2700000,6,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,7,7,2fc2cf5df0bbc96ffc5e626cac8a158610367348d606b474441374674ee6b834,9a964c8eb883cbe52852bf5cb5c26a25f7658dfadca1d0d3723cd55716b58d57,1,1
