world,configuration,elapsed_median_ns,queue_ops,comparisons,scans,allocations,bytes_touched,peak_resident_bytes,adjacency_accesses,frontier_samples,active_frontier_total,active_frontier_max,eligible_frontier_total,eligible_frontier_max,batches,batched_items,batch_max,batch_histogram,batch_fallback_zero_delay
many_cells_sparse,A_AoS_Scalar,537175,48,240,392,131,3747136,889352,16,32,0,0,376,16,0,0,0,"0|0|0|0|0|0|0",0
many_cells_sparse,B_AoS_Batched,483822,18,0,392,101,3712576,889352,16,32,0,0,376,16,2,32,16,"0|0|0|0|2|0|0",0
many_cells_sparse,C_SoA_Scalar,987301,48,240,392,131,3747136,877064,16,32,0,0,376,16,0,0,0,"0|0|0|0|0|0|0",0
many_cells_sparse,D_SoA_Batched,955762,18,0,392,101,3712576,877064,16,32,0,0,376,16,2,32,16,"0|0|0|0|2|0|0",0
dense_layers,A_AoS_Scalar,6211072,1600,99936,546852,2837,54012128,209208,768,832,74292,192,471792,768,0,0,0,"0|0|0|0|0|0|0",0
dense_layers,B_AoS_Batched,5258706,781,0,546852,2018,39621344,209208,768,832,74292,192,471792,768,13,832,64,"0|0|0|0|0|0|13",0
dense_layers,C_SoA_Scalar,16395868,1600,99936,546852,2837,54012128,206904,768,832,74292,192,471792,768,0,0,0,"0|0|0|0|0|0|0",0
dense_layers,D_SoA_Batched,14112808,781,0,546852,2018,39621344,206904,768,832,74292,192,471792,768,13,832,64,"0|0|0|0|0|0|13",0
long_delays,A_AoS_Scalar,2010836,768,33536,68728,2623,17328704,145064,256,512,1144,8,32896,256,0,0,0,"0|0|0|0|0|0|0",0
long_delays,B_AoS_Batched,1341405,292,0,36472,1647,10177088,136696,256,512,1144,8,32896,256,36,512,64,"0|0|0|32|0|0|4",0
long_delays,C_SoA_Scalar,3975554,768,33536,68728,2623,17328704,144040,256,512,1144,8,32896,256,0,0,0,"0|0|0|0|0|0|0",0
long_delays,D_SoA_Batched,2850676,292,0,36472,1647,10177088,135672,256,512,1144,8,32896,256,36,512,64,"0|0|0|32|0|0|4",0
many_same_tick,A_AoS_Scalar,50518901,3072,1047552,2097152,8201,411820032,534328,1024,2048,523776,1023,1572352,1024,0,0,0,"0|0|0|0|0|0|0",0
many_same_tick,B_AoS_Batched,39867662,1056,0,2097152,6185,260972544,534328,1024,2048,523776,1023,1572352,1024,32,2048,64,"0|0|0|0|0|0|32",0
many_same_tick,C_SoA_Scalar,112729510,3072,1047552,2097152,8201,411820032,530232,1024,2048,523776,1023,1572352,1024,0,0,0,"0|0|0|0|0|0|0",0
many_same_tick,D_SoA_Batched,87253411,1056,0,2097152,6185,260972544,530232,1024,2048,523776,1023,1572352,1024,32,2048,64,"0|0|0|0|0|0|32",0
high_fanout,A_AoS_Scalar,236156707,8200,8386588,18761472,12339,2529963328,916152,4096,4104,1965824,512,16791552,4096,0,0,0,"0|0|0|0|0|0|0",0
high_fanout,B_AoS_Batched,165453546,4161,0,18761472,8300,1322294656,916152,4096,4104,1965824,512,16791552,4096,65,4104,64,"0|0|0|1|0|0|64",0
high_fanout,C_SoA_Scalar,687290999,8200,8386588,18761472,12339,2529963328,906936,4096,4104,1965824,512,16791552,4096,0,0,0,"0|0|0|0|0|0|0",0
high_fanout,D_SoA_Batched,468115652,4161,0,18761472,8300,1322294656,906936,4096,4104,1965824,512,16791552,4096,65,4104,64,"0|0|0|1|0|0|64",0
heavy_modulation,A_AoS_Scalar,15099725,2560,392448,918784,6672,152791040,366392,1536,1536,0,0,917248,1024,0,0,0,"0|0|0|0|0|0|0",0
heavy_modulation,B_AoS_Batched,11208619,1048,0,918784,5160,96278528,366392,1536,1536,0,0,917248,1024,24,1536,64,"0|0|0|0|0|0|24",0
heavy_modulation,C_SoA_Scalar,39089359,2560,392448,918784,6672,152791040,363320,1536,1536,0,0,917248,1024,0,0,0,"0|0|0|0|0|0|0",0
heavy_modulation,D_SoA_Batched,29680796,1048,0,918784,5160,96278528,363320,1536,1536,0,0,917248,1024,24,1536,64,"0|0|0|0|0|0|24",0
mostly_dormant,A_AoS_Scalar,121663,68,502,1104,120,632480,1774936,32,36,0,0,1072,32,0,0,0,"0|0|0|0|0|0|0",0
mostly_dormant,B_AoS_Batched,86560,34,0,1104,86,560192,1774936,32,36,0,0,1072,32,2,36,32,"0|0|1|0|0|1|0",0
mostly_dormant,C_SoA_Scalar,200505,68,502,1104,120,632480,1740120,32,36,0,0,1072,32,0,0,0,"0|0|0|0|0|0|0",0
mostly_dormant,D_SoA_Batched,154377,34,0,1104,86,560192,1740120,32,36,0,0,1072,32,2,36,32,"0|0|1|0|0|1|0",0
zero_delay_fallback,A_AoS_Scalar,13199010,1536,261632,524288,4096,101056512,231224,512,1024,261632,511,262144,512,0,0,0,"0|0|0|0|0|0|0",0
zero_delay_fallback,B_AoS_Batched,13138105,1536,261632,524288,4096,101056512,231224,512,1024,261632,511,262144,512,0,0,0,"0|0|0|0|0|0|0",1024
zero_delay_fallback,C_SoA_Scalar,28525017,1536,261632,524288,4096,101056512,229176,512,1024,261632,511,262144,512,0,0,0,"0|0|0|0|0|0|0",0
zero_delay_fallback,D_SoA_Batched,28640686,1536,261632,524288,4096,101056512,229176,512,1024,261632,511,262144,512,0,0,0,"0|0|0|0|0|0|0",1024
