index,namespace,initial,current,spacing,stride,distractor_load,incidental_form,reverse_allocation,mirrored_layout,device_order,stable_opportunities,stable_completed,sparse_opportunities,sparse_completed,stable_final_resistance,sparse_final_resistance,first_b_execution_context,b_executable_contexts,final_b_effects,final_a_effects,first_deallocation_context,stable_deallocation_delay,sparse_deallocation_delay,proposals,deallocations,queue_comparisons,work,diagnostic_probe_work,complete_fingerprint,permanent_fingerprint,prefix_ok,duplicate_exact,naturally_quiescent
0,0x140000000,0,1,13,24,32,0,false,false,3-2-1-0,35,35,8,6,61,0,0,35,1,0,0,610,10,516,514,15713,190097,119212,4318873580244992470,14126972232477286879,true,true,true
1,0x140080000,1,2,13,24,32,1,false,true,2-3-0-1,35,35,8,6,61,0,0,35,1,0,0,610,10,508,506,15671,194302,127971,7359517005319249434,17802643715748137632,true,true,true
2,0x140100000,2,0,13,24,32,2,true,false,3-2-1-0,35,35,8,7,61,0,0,35,1,0,0,610,10,502,498,15908,188642,123293,8600573233376003118,17432450200712918360,true,true,true
3,0x140180000,0,1,13,24,32,3,true,true,2-3-0-1,35,35,8,6,61,0,0,35,1,0,0,610,10,508,506,15797,184446,119852,7985989542241980794,15782568513700851446,true,true,true
4,0x140200000,1,2,13,24,36,1,false,false,0-3-2-1,35,35,8,6,61,0,0,35,1,0,0,610,10,559,557,17483,211032,138742,4462433091123022812,4863322703452255967,true,true,true
5,0x140280000,2,0,13,24,36,2,false,true,3-0-1-2,35,35,8,7,61,0,0,35,1,0,0,610,10,553,549,17732,204766,133577,1044751222238513784,5341077054880191757,true,true,true
6,0x140300000,0,1,13,24,36,3,true,false,0-3-2-1,35,35,8,6,61,0,0,35,1,0,0,610,10,559,557,17636,199399,129585,9348746926563111811,376369237302392128,true,true,true
7,0x140380000,1,2,13,24,36,0,true,true,3-0-1-2,35,35,8,6,61,0,0,35,1,0,0,610,10,567,565,17492,205657,128935,1125285259037029633,15412553017562458217,true,true,true
8,0x140400000,2,0,13,24,44,2,false,false,1-0-3-2,35,35,8,7,61,0,0,35,1,0,0,610,10,638,634,21124,231623,150724,17204450553310422269,12409285779294737843,true,true,true
9,0x140480000,0,1,13,24,44,3,false,true,0-1-2-3,35,35,8,6,61,0,0,35,1,0,0,610,10,644,642,21023,225001,145817,6729302420204119809,3857283752770436093,true,true,true
10,0x140500000,1,2,13,24,44,0,true,false,1-0-3-2,35,35,8,6,61,0,0,35,1,0,0,610,10,652,650,20885,232270,145143,5563526875993570305,12190136696187696884,true,true,true
11,0x140580000,2,0,13,24,44,1,true,true,0-1-2-3,35,35,8,6,61,0,0,35,1,0,0,610,10,644,642,20966,238926,156692,5357814517278957827,18325012148070163486,true,true,true
