cell,context,form,stable_opportunity,stable_completed,stable_completed_cumulative,sparse_opportunity,sparse_completed,sparse_completed_cumulative,stable_resistance,sparse_resistance,stable_live_arrows,sparse_live_arrows,b_probe_effect,a_probe_effect,b_executable_contexts,deallocations,queue_comparisons,work
0,0,0,1,1,1,1,1,1,4,4,2,2,1,1,1,2,689,1961
0,1,1,1,1,2,0,0,1,5,2,2,2,1,1,2,26,175,1680
0,2,2,1,1,3,0,0,1,7,1,2,2,1,0,3,2,147,1611
0,3,3,1,1,4,0,0,1,9,1,2,2,1,0,4,4,703,2811
0,4,0,1,1,5,1,1,2,10,0,2,0,1,0,5,48,733,3345
0,5,1,1,1,6,0,0,2,12,1,2,2,1,0,6,2,150,2372
0,6,2,1,1,7,0,0,2,14,1,2,2,1,0,7,4,147,2424
0,7,3,1,1,8,0,0,2,15,0,2,0,1,0,8,28,703,3820
0,8,0,1,1,9,1,0,2,17,0,2,0,1,0,9,24,694,3693
0,9,1,1,1,10,0,0,2,19,1,2,2,1,0,10,2,150,3182
0,10,2,1,1,11,0,0,2,21,1,2,2,1,0,11,4,147,3236
0,11,3,1,1,12,0,0,2,22,0,2,0,1,0,12,30,700,4499
0,12,0,1,1,13,1,1,3,24,4,2,2,1,1,13,0,707,5054
0,13,1,1,1,14,0,0,3,26,3,2,2,1,1,14,24,175,4083
0,14,2,1,1,15,0,0,3,27,0,2,0,1,0,15,6,172,4104
0,15,3,1,1,16,0,0,3,29,1,2,2,1,0,16,0,703,5556
0,16,0,1,1,17,1,1,4,31,4,2,2,1,1,17,24,733,6018
0,17,1,1,1,18,0,0,4,32,2,2,2,1,1,18,24,198,5210
0,18,2,1,1,19,0,0,4,34,0,2,0,1,0,19,4,130,4088
0,19,3,1,1,20,0,0,4,36,1,2,2,1,0,20,0,703,6385
0,20,0,1,1,21,1,1,5,38,4,2,2,1,1,21,24,733,6850
0,21,1,1,1,22,0,0,5,39,2,2,2,1,1,22,24,178,5589
0,22,2,1,1,23,0,0,5,41,1,2,2,1,0,23,2,147,5502
0,23,3,1,1,24,0,0,5,43,1,2,2,1,0,24,4,703,7259
0,24,0,1,1,25,1,1,6,44,0,2,0,1,0,25,48,733,7793
0,25,1,1,1,26,0,0,6,46,1,2,2,1,0,26,2,150,6264
0,26,2,1,1,27,0,0,6,48,1,2,2,1,0,27,4,147,6316
0,27,3,1,1,28,0,0,6,49,0,2,0,1,0,28,28,703,8268
0,28,0,1,1,29,1,0,6,51,0,2,0,1,0,29,24,694,7585
0,29,1,1,1,30,0,0,6,53,1,2,2,1,0,30,2,150,7074
0,30,2,1,1,31,0,0,6,55,1,2,2,1,0,31,4,147,7128
0,31,3,1,1,32,0,0,6,56,0,2,0,1,0,32,30,700,8669
0,32,1,1,1,33,0,0,6,58,1,2,2,1,0,33,0,150,7545
0,33,2,1,1,34,0,0,6,60,1,2,2,1,0,34,4,147,7604
0,34,3,1,1,35,0,0,6,61,0,2,0,1,0,35,30,703,9740
1,0,0,1,1,1,0,0,0,4,1,2,2,1,0,1,2,689,1960
1,1,1,1,1,2,1,0,0,5,0,2,0,1,0,2,48,730,2706
1,2,2,1,1,3,0,0,0,7,1,2,2,1,0,3,2,145,1923
1,3,3,1,1,4,0,0,0,9,1,2,2,1,0,4,4,145,1977
1,4,0,1,1,5,0,0,0,10,0,2,0,1,0,5,30,705,3287
1,5,1,1,1,6,1,1,1,12,4,2,2,1,1,6,0,705,3614
1,6,2,1,1,7,0,0,1,14,3,2,2,1,1,7,24,168,2821
1,7,3,1,1,8,0,0,1,15,0,2,0,1,0,8,6,168,2845
1,8,0,1,1,9,0,0,1,17,0,2,0,1,0,9,26,640,3410
1,9,1,1,1,10,1,1,2,19,4,2,2,1,1,10,0,705,4507
1,10,2,1,1,11,0,0,2,21,3,2,2,1,1,11,24,168,3605
1,11,3,1,1,12,0,0,2,22,0,2,0,1,0,12,6,148,3593
1,12,0,1,1,13,0,0,2,24,1,2,2,1,0,13,0,705,4989
1,13,1,1,1,14,1,1,3,26,4,2,2,1,1,14,24,735,5473
1,14,2,1,1,15,0,0,3,27,2,2,2,1,1,15,24,195,4696
1,15,3,1,1,16,0,0,3,29,1,2,2,1,0,16,2,145,4300
1,16,0,1,1,17,0,0,3,31,1,2,2,1,0,17,4,705,5862
1,17,1,1,1,18,1,1,4,32,3,2,2,1,1,18,46,735,6416
1,18,2,1,1,19,0,0,4,34,2,2,2,1,1,19,2,155,4695
