arm,stage,ordinal,tick,target_physical,impulse,fired
fresh-short-two-direct,renewal-0,0,300,155189258,1,false
fresh-short-two-direct,renewal-0,1,300,155189259,1,false
fresh-short-two-direct,renewal-0,2,300,155189298,1,true
fresh-short-two-direct,renewal-0,3,300,155189299,1,true
fresh-short-two-direct,renewal-0,4,300,155189309,1,true
fresh-short-two-direct,renewal-0,5,300,155189258,1,true
fresh-short-two-direct,renewal-0,6,300,155189259,1,true
fresh-short-two-direct,renewal-0,7,301,155189268,1,false
fresh-short-two-direct,renewal-0,8,301,155189269,1,false
fresh-short-two-direct,renewal-0,9,301,155189268,1,true
fresh-short-two-direct,renewal-0,10,301,155189269,1,true
fresh-short-two-direct,renewal-0,11,302,155189278,1,false
fresh-short-two-direct,renewal-0,12,302,155189279,1,false
fresh-short-two-direct,renewal-0,13,302,155189288,1,false
fresh-short-two-direct,renewal-0,14,302,155189289,1,false
fresh-short-two-direct,renewal-0,15,302,155189289,1,true
fresh-short-two-direct,renewal-0,16,303,155189259,1,false
fresh-short-two-direct,renewal-1,0,308,155189258,1,false
fresh-short-two-direct,renewal-1,1,308,155189259,1,false
fresh-short-two-direct,renewal-1,2,308,155189298,1,true
fresh-short-two-direct,renewal-1,3,308,155189299,1,true
fresh-short-two-direct,renewal-1,4,308,155189309,1,true
fresh-short-two-direct,renewal-1,5,308,155189258,1,true
fresh-short-two-direct,renewal-1,6,308,155189259,1,true
fresh-short-two-direct,renewal-1,7,309,155189268,1,false
fresh-short-two-direct,renewal-1,8,309,155189269,2,true
fresh-short-two-direct,renewal-1,9,309,155189268,1,true
fresh-short-two-direct,renewal-1,10,309,155189269,1,false
fresh-short-two-direct,renewal-1,11,310,155189279,2,true
fresh-short-two-direct,renewal-1,12,310,155189288,1,false
fresh-short-two-direct,renewal-1,13,310,155189289,1,false
fresh-short-two-direct,renewal-1,14,310,155189348,1,false
fresh-short-two-direct,renewal-1,15,310,155189289,1,true
fresh-short-two-direct,renewal-1,16,311,155189259,1,false
fresh-short-two-direct,renewal-1,17,312,155189349,1,true
fresh-short-two-direct,renewal-1,18,312,155189350,1,true
fresh-short-two-direct,renewal-2,0,316,155189258,1,false
fresh-short-two-direct,renewal-2,1,316,155189259,1,false
fresh-short-two-direct,renewal-2,2,316,155189298,1,true
fresh-short-two-direct,renewal-2,3,316,155189299,1,true
fresh-short-two-direct,renewal-2,4,316,155189309,1,true
fresh-short-two-direct,renewal-2,5,316,155189258,1,true
fresh-short-two-direct,renewal-2,6,316,155189259,1,true
fresh-short-two-direct,renewal-2,7,317,155189268,1,false
fresh-short-two-direct,renewal-2,8,317,155189269,2,true
fresh-short-two-direct,renewal-2,9,317,155189268,1,true
fresh-short-two-direct,renewal-2,10,317,155189269,1,false
fresh-short-two-direct,renewal-2,11,318,155189278,1,false
fresh-short-two-direct,renewal-2,12,318,155189279,2,true
fresh-short-two-direct,renewal-2,13,318,155189288,1,false
fresh-short-two-direct,renewal-2,14,318,155189289,1,false
fresh-short-two-direct,renewal-2,15,318,155189348,1,false
fresh-short-two-direct,renewal-2,16,318,155189289,1,true
fresh-short-two-direct,renewal-2,17,319,155189259,1,false
fresh-short-two-direct,renewal-2,18,320,155189349,1,true
fresh-short-two-direct,renewal-2,19,320,155189350,1,true
fresh-short-two-direct,renewal-3,0,324,155189258,1,false
fresh-short-two-direct,renewal-3,1,324,155189259,1,false
fresh-short-two-direct,renewal-3,2,324,155189298,1,true
fresh-short-two-direct,renewal-3,3,324,155189299,1,true
fresh-short-two-direct,renewal-3,4,324,155189309,1,true
fresh-short-two-direct,renewal-3,5,324,155189258,1,true
fresh-short-two-direct,renewal-3,6,324,155189259,1,true
fresh-short-two-direct,renewal-3,7,325,155189268,1,false
fresh-short-two-direct,renewal-3,8,325,155189269,2,true
fresh-short-two-direct,renewal-3,9,325,155189268,1,true
fresh-short-two-direct,renewal-3,10,325,155189269,1,false
fresh-short-two-direct,renewal-3,11,326,155189278,1,false
fresh-short-two-direct,renewal-3,12,326,155189279,2,true
fresh-short-two-direct,renewal-3,13,326,155189288,1,false
fresh-short-two-direct,renewal-3,14,326,155189289,1,false
fresh-short-two-direct,renewal-3,15,326,155189348,1,false
fresh-short-two-direct,renewal-3,16,326,155189289,1,true
fresh-short-two-direct,renewal-3,17,327,155189259,1,false
fresh-short-two-direct,renewal-3,18,328,155189349,1,true
fresh-short-two-direct,renewal-3,19,328,155189350,1,true
fresh-short-two-direct,renewal-4,0,332,155189258,1,false
fresh-short-two-direct,renewal-4,1,332,155189259,1,false
fresh-short-two-direct,renewal-4,2,332,155189298,1,true
fresh-short-two-direct,renewal-4,3,332,155189299,1,true
fresh-short-two-direct,renewal-4,4,332,155189309,1,true
fresh-short-two-direct,renewal-4,5,332,155189258,1,true
fresh-short-two-direct,renewal-4,6,332,155189259,1,true
fresh-short-two-direct,renewal-4,7,333,155189268,1,false
fresh-short-two-direct,renewal-4,8,333,155189269,2,true
fresh-short-two-direct,renewal-4,9,333,155189268,1,true
fresh-short-two-direct,renewal-4,10,333,155189269,1,false
fresh-short-two-direct,renewal-4,11,334,155189278,1,false
fresh-short-two-direct,renewal-4,12,334,155189279,2,true
fresh-short-two-direct,renewal-4,13,334,155189288,1,false
fresh-short-two-direct,renewal-4,14,334,155189289,1,false
fresh-short-two-direct,renewal-4,15,334,155189348,1,false
fresh-short-two-direct,renewal-4,16,334,155189289,1,true
fresh-short-two-direct,renewal-4,17,335,155189259,1,false
fresh-short-two-direct,renewal-4,18,336,155189349,1,true
fresh-short-two-direct,renewal-4,19,336,155189350,1,true
fresh-short-two-direct,current-held-out,0,340,155189259,1,false
fresh-short-two-direct,current-held-out,1,340,155189299,1,true
fresh-short-two-direct,current-held-out,2,340,155189309,1,true
fresh-short-two-direct,current-held-out,3,340,155189259,1,true
fresh-short-two-direct,current-held-out,4,341,155189269,2,true
fresh-short-two-direct,current-held-out,5,341,155189269,1,false
fresh-short-two-direct,current-held-out,6,342,155189279,2,true
fresh-short-two-direct,current-held-out,7,342,155189289,1,false
fresh-short-two-direct,current-held-out,8,342,155189348,1,false
fresh-short-two-direct,current-held-out,9,342,155189289,1,true
fresh-short-two-direct,current-held-out,10,343,155189259,1,false
fresh-short-two-direct,current-held-out,11,344,155189349,1,true
fresh-short-two-direct,current-held-out,12,344,155189350,1,true
fresh-short-two-direct,unsupported-held-out,0,348,155189258,1,false
fresh-short-two-direct,unsupported-held-out,1,348,155189298,1,true
fresh-short-two-direct,unsupported-held-out,2,348,155189258,1,true
fresh-short-two-direct,unsupported-held-out,3,349,155189268,1,false
fresh-short-two-direct,unsupported-held-out,4,349,155189268,1,true
fresh-short-two-direct,unsupported-held-out,5,350,155189288,1,false
fresh-threshold-three-mirror,renewal-0,0,300,155451402,1,false
fresh-threshold-three-mirror,renewal-0,1,300,155451403,1,false
fresh-threshold-three-mirror,renewal-0,2,300,155451404,1,false
fresh-threshold-three-mirror,renewal-0,3,300,155451442,1,true
fresh-threshold-three-mirror,renewal-0,4,300,155451443,1,true
fresh-threshold-three-mirror,renewal-0,5,300,155451444,1,true
fresh-threshold-three-mirror,renewal-0,6,300,155451454,1,true
fresh-threshold-three-mirror,renewal-0,7,300,155451402,1,true
fresh-threshold-three-mirror,renewal-0,8,300,155451403,1,true
fresh-threshold-three-mirror,renewal-0,9,300,155451404,1,true
fresh-threshold-three-mirror,renewal-0,10,301,155451412,1,false
fresh-threshold-three-mirror,renewal-0,11,301,155451413,1,false
fresh-threshold-three-mirror,renewal-0,12,301,155451414,1,false
fresh-threshold-three-mirror,renewal-0,13,301,155451412,1,true
fresh-threshold-three-mirror,renewal-0,14,301,155451413,1,true
fresh-threshold-three-mirror,renewal-0,15,301,155451414,1,true
fresh-threshold-three-mirror,renewal-0,16,302,155451422,1,false
fresh-threshold-three-mirror,renewal-0,17,302,155451423,1,false
fresh-threshold-three-mirror,renewal-0,18,302,155451424,1,false
fresh-threshold-three-mirror,renewal-0,19,302,155451432,1,false
fresh-threshold-three-mirror,renewal-0,20,302,155451433,1,false
fresh-threshold-three-mirror,renewal-0,21,302,155451434,1,false
fresh-threshold-three-mirror,renewal-0,22,302,155451434,1,true
fresh-threshold-three-mirror,renewal-0,23,303,155451404,1,false
fresh-threshold-three-mirror,renewal-1,0,310,155451402,1,false
fresh-threshold-three-mirror,renewal-1,1,310,155451403,1,false
fresh-threshold-three-mirror,renewal-1,2,310,155451404,1,false
fresh-threshold-three-mirror,renewal-1,3,310,155451442,1,true
fresh-threshold-three-mirror,renewal-1,4,310,155451443,1,true
fresh-threshold-three-mirror,renewal-1,5,310,155451444,1,true
