arm,stage,ordinal,tick,target_physical,impulse,fired
fresh-short-two-direct,renewal-0,0,32,152043530,1,false
fresh-short-two-direct,renewal-0,1,32,152043570,1,true
fresh-short-two-direct,renewal-0,2,32,152043580,1,true
fresh-short-two-direct,renewal-0,3,32,152043530,1,true
fresh-short-two-direct,renewal-0,4,33,152043540,2,true
fresh-short-two-direct,renewal-0,5,33,152043540,1,false
fresh-short-two-direct,renewal-0,6,34,152043550,2,true
fresh-short-two-direct,renewal-0,7,34,152043560,1,false
fresh-short-two-direct,renewal-0,8,34,152043620,1,false
fresh-short-two-direct,renewal-0,9,34,152043560,1,true
fresh-short-two-direct,renewal-0,10,35,152043530,1,false
fresh-short-two-direct,renewal-0,11,36,152043621,1,true
fresh-short-two-direct,renewal-0,12,36,152043622,1,true
fresh-short-two-direct,renewal-1,0,308,152043530,1,false
fresh-short-two-direct,renewal-1,1,308,152043531,1,false
fresh-short-two-direct,renewal-1,2,308,152043570,1,true
fresh-short-two-direct,renewal-1,3,308,152043571,1,true
fresh-short-two-direct,renewal-1,4,308,152043581,1,true
fresh-short-two-direct,renewal-1,5,308,152043530,1,true
fresh-short-two-direct,renewal-1,6,308,152043531,1,true
fresh-short-two-direct,renewal-1,7,309,152043540,2,true
fresh-short-two-direct,renewal-1,8,309,152043541,2,true
fresh-short-two-direct,renewal-1,9,309,152043540,1,false
fresh-short-two-direct,renewal-1,10,309,152043541,1,false
fresh-short-two-direct,renewal-1,11,310,152043550,2,true
fresh-short-two-direct,renewal-1,12,310,152043551,2,true
fresh-short-two-direct,renewal-1,13,310,152043560,2,true
fresh-short-two-direct,renewal-1,14,310,152043560,1,false
fresh-short-two-direct,renewal-1,15,310,152043561,1,false
fresh-short-two-direct,renewal-1,16,310,152043620,1,false
fresh-short-two-direct,renewal-1,17,310,152043620,1,true
fresh-short-two-direct,renewal-1,18,310,152043561,1,true
fresh-short-two-direct,renewal-1,19,311,152043530,1,false
fresh-short-two-direct,renewal-1,20,311,152043531,1,false
fresh-short-two-direct,renewal-1,21,311,152043621,-4,false
fresh-short-two-direct,renewal-1,22,312,152043621,1,false
fresh-short-two-direct,renewal-1,23,312,152043621,1,false
fresh-short-two-direct,renewal-2,0,316,152043530,1,false
fresh-short-two-direct,renewal-2,1,316,152043531,1,false
fresh-short-two-direct,renewal-2,2,316,152043570,1,true
fresh-short-two-direct,renewal-2,3,316,152043571,1,true
fresh-short-two-direct,renewal-2,4,316,152043581,1,true
fresh-short-two-direct,renewal-2,5,316,152043530,1,true
fresh-short-two-direct,renewal-2,6,316,152043531,1,true
fresh-short-two-direct,renewal-2,7,317,152043540,2,true
fresh-short-two-direct,renewal-2,8,317,152043541,2,true
fresh-short-two-direct,renewal-2,9,317,152043540,1,false
fresh-short-two-direct,renewal-2,10,317,152043541,1,false
fresh-short-two-direct,renewal-2,11,318,152043550,2,true
fresh-short-two-direct,renewal-2,12,318,152043551,2,true
fresh-short-two-direct,renewal-2,13,318,152043560,2,true
fresh-short-two-direct,renewal-2,14,318,152043560,1,false
fresh-short-two-direct,renewal-2,15,318,152043561,1,false
fresh-short-two-direct,renewal-2,16,318,152043620,1,false
fresh-short-two-direct,renewal-2,17,318,152043620,1,true
fresh-short-two-direct,renewal-2,18,318,152043561,1,true
fresh-short-two-direct,renewal-2,19,319,152043530,1,false
fresh-short-two-direct,renewal-2,20,319,152043531,1,false
fresh-short-two-direct,renewal-2,21,319,152043621,-4,false
fresh-short-two-direct,renewal-2,22,320,152043621,1,false
fresh-short-two-direct,renewal-2,23,320,152043621,1,false
fresh-short-two-direct,renewal-3,0,324,152043530,1,false
fresh-short-two-direct,renewal-3,1,324,152043531,1,false
fresh-short-two-direct,renewal-3,2,324,152043570,1,true
fresh-short-two-direct,renewal-3,3,324,152043571,1,true
fresh-short-two-direct,renewal-3,4,324,152043581,1,true
