index,namespace,initial_route,reacquired_route,spacing,active_opportunities,reverse_allocation,mirrored_layout,initial_effects,survival_effects,reacquired_effects,historical_effects,sparse_effects,stable_dense_effects,swapped_stable_effects,swapped_sparse_effects,return_free_effects,absent_effects,ambiguous_effects,proposals,deallocations,work,persistent_bytes,old_arrow_count,fresh_arrow_count,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,passed
0,0x120000000,0,1,10,3,false,false,1,1,1,0,0,1,1,0,0,0,0,395,382,198851,10800,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1,0x120100000,1,2,11,3,true,false,1,1,1,0,0,1,1,0,0,0,0,472,460,217191,13200,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,0x120200000,2,0,12,3,false,true,1,1,1,0,0,1,1,0,0,0,0,568,554,245186,15792,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,0x120300000,0,1,13,3,true,true,1,1,1,0,0,1,1,0,0,0,0,680,664,269066,19184,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
4,0x120400000,1,2,14,3,false,false,1,1,1,0,0,1,1,0,0,0,0,986,988,357530,27248,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,0x120500000,2,0,15,3,true,false,1,1,1,0,0,1,1,0,0,0,0,1261,1245,437950,34864,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6,0x120600000,0,1,16,3,false,true,1,1,1,0,0,1,1,0,0,0,0,1486,1478,493676,40816,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7,0x120700000,1,2,17,3,true,true,1,1,1,0,0,1,1,0,0,0,0,1786,1770,562293,48752,2,2,true,true,true,true,true,true,false,true,true,true,true,true,true,false
8,0x120800000,2,0,10,3,false,false,1,1,1,0,0,1,1,0,0,0,0,395,382,198851,10800,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
9,0x120900000,0,1,11,3,true,false,1,1,1,0,0,1,1,0,0,0,0,472,460,217199,13200,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,0x120a00000,1,2,12,3,false,true,1,1,1,0,0,1,1,0,0,0,0,568,554,245186,15792,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
11,0x120b00000,2,0,13,3,true,true,1,1,1,0,0,1,1,0,0,0,0,680,664,269051,19184,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
12,0x120c00000,0,1,14,3,false,false,1,1,1,0,0,1,1,0,0,0,0,986,988,357534,27248,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
13,0x120d00000,1,2,15,3,true,false,1,1,1,0,0,1,1,0,0,0,0,1261,1245,437950,34864,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
14,0x120e00000,2,0,16,3,false,true,1,1,1,0,0,1,1,0,0,0,0,1486,1478,493676,40816,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true
15,0x120f00000,0,1,17,3,true,true,1,1,1,0,0,1,1,0,0,0,0,1786,1770,562307,48752,2,2,true,true,true,true,true,true,false,true,true,true,true,true,true,false
