index,namespace,initial_route,reacquired_route,spacing,stride,distractor_load,incidental_form,reverse_allocation,mirrored_layout,initial_effects,survival_effects,stale_effects,stable_opportunities,stable_completed,sparse_opportunities,sparse_completed,first_mature_context,executable_contexts,stable_resistance,sparse_resistance,stable_deallocation_delay,sparse_deallocation_delay,stable_effects,sparse_effects,sparse_eventually_dead,return_free_proposals,return_free_returns,return_free_effects,return_free_dead,recurrent_dense_stable_returns,recurrent_dense_sparse_returns,stable_dense_effects,explicit_dense_effects,dense_simultaneous_effects,swapped_stable_returns,swapped_sparse_returns,swapped_stable_effects,swapped_sparse_effects,absent_effects,ambiguous_effects,ambiguous_live_alternatives,replay_exact,naturally_quiescent,proposals,deallocations,queue_comparisons,work,diagnostic_work,persistent_bytes,complete_fingerprint,permanent_fingerprint,old_arrow_count,fresh_arrow_count,old_still_dead,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,passed
0,0x16000000,0,1,10,12,0,0,false,false,1,1,0,35,35,8,8,0,35,72,1,710,10,1,0,true,32,0,0,true,24,24,1,1,0,35,8,1,0,0,0,2,true,true,397,382,23110,199135,31401,10800,705149119374850871,5026234534465570657,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1,0x16100000,1,2,11,16,32,1,true,false,1,1,0,35,35,8,6,0,35,68,0,680,10,1,0,true,32,0,0,true,24,20,1,1,0,35,7,1,0,0,0,2,true,true,1454,1440,46925,488825,84640,39280,3866499126314466208,14131347258504102262,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,0x16200000,2,0,12,20,48,2,false,true,1,1,0,35,35,8,6,0,35,65,1,640,10,1,0,true,32,0,0,true,24,19,1,1,0,35,7,1,0,0,0,2,true,true,1991,1975,68782,640769,108661,53680,10393593702171875109,1332690631281716649,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,0x16300000,0,1,13,24,16,3,true,true,1,1,0,35,35,8,6,0,35,61,0,610,10,1,0,true,32,0,0,true,24,19,1,1,0,35,7,1,0,0,0,2,true,true,976,958,32513,345457,58549,26864,6987633536652010179,2999544357147163247,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
4,0x16400000,1,2,14,25,44,0,false,false,1,1,0,35,35,8,6,0,35,58,1,570,10,1,0,true,32,0,0,true,24,20,1,1,0,35,6,1,0,0,0,2,true,true,1870,1888,61920,608635,103183,50864,7849272385290628330,11444570722226944201,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,0x16500000,2,0,15,27,4,1,true,false,1,1,0,35,35,8,8,1,34,53,0,520,10,1,0,true,32,0,0,true,24,24,1,1,0,35,8,1,0,0,0,2,true,true,626,608,24184,260810,43451,17840,16466214843792798529,1581457845659853250,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6,0x16600000,0,1,16,28,36,2,false,true,1,1,0,35,35,8,6,1,34,50,1,490,10,1,0,true,32,0,0,true,24,19,1,1,0,35,6,1,0,0,0,2,true,true,1635,1625,52321,535462,91654,44656,9048966930590400272,6094200745208017332,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7,0x16700000,1,2,17,12,0,3,true,true,1,1,0,35,34,8,6,1,34,46,0,450,10,1,0,true,32,0,0,true,24,19,1,1,0,35,6,1,0,0,0,2,true,true,465,447,21833,214358,35098,13616,5847541701825171857,10333316366645858815,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
8,0x16800000,2,0,18,16,32,0,false,false,1,1,0,35,35,8,7,0,35,45,1,440,10,1,0,true,32,0,0,true,24,19,1,1,0,35,7,1,0,0,0,2,true,true,1482,1488,46978,495977,83821,40688,9785116825707326470,966085159977176496,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
9,0x16900000,0,1,19,20,48,1,true,false,1,1,0,35,35,8,7,0,35,41,0,400,10,1,0,true,32,0,0,true,24,19,1,1,0,35,7,1,0,0,0,2,true,true,2031,2017,68055,652695,113462,55088,18200997668293813578,13473251573587334425,2,2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
