cell,name,passed,effects,selected_resistance,rejected_resistance,unused_resistance,work
0,physical-acquisition,true,0,2,0,0,672
0,fresh-origin-held-out,true,1,5,0,0,132
0,changed-physical-neighborhood-invalidates,true,0,3,0,0,25
0,historical-physical-neighborhood-reuse,true,1,5,0,0,132
0,equal-support-ambiguous,true,0,5,5,0,246
0,duplicate-exact,true,1,6,0,0,132
1,physical-acquisition,true,0,2,0,0,666
1,fresh-origin-held-out,true,1,5,0,0,132
1,changed-physical-neighborhood-invalidates,true,0,3,0,0,25
1,historical-physical-neighborhood-reuse,true,1,5,0,0,132
1,equal-support-ambiguous,true,0,5,5,0,246
1,duplicate-exact,true,1,6,0,0,132
