kind,arm,stable,incidental,stable_returns,incidental_returns,stable_devices_used,stable_max_resistance,incidental_final_max_resistance,stable_effects,incidental_effects,incidental_eventually_dead,duplicate_exact,naturally_quiescent,contexts,work,persistent_bytes,passed
specificity,gate-00,0,1,27,6,4,56,1,1,0,true,true,true,27,28425,7088,true
specificity,gate-01,1,0,31,6,4,61,1,1,0,true,true,true,31,40102,9744,true
specificity,gate-02,2,0,35,7,4,65,1,1,0,true,true,true,35,55922,12592,true
specificity,gate-03,0,2,39,8,4,68,0,1,0,true,true,true,39,76079,17008,true
specificity,gate-04,1,2,43,8,4,71,1,1,0,true,true,true,43,130611,27632,true
specificity,gate-05,2,1,27,6,4,43,1,1,0,true,true,true,27,93779,30832,true
specificity,gate-06,0,1,31,5,4,46,1,1,0,true,true,true,31,41711,9984,true
specificity,gate-07,1,0,35,6,4,48,1,1,0,true,true,true,35,53526,12256,true
specificity,gate-08,2,0,39,7,4,49,0,1,0,true,true,true,39,73536,15888,true
specificity,gate-09,0,2,43,8,4,50,1,1,0,true,true,true,43,115058,23536,true
specificity,gate-10,1,2,27,6,4,30,1,1,0,true,true,true,27,74169,24752,true
specificity,gate-11,2,1,35,6,4,34,0,1,0,true,true,true,35,159798,44784,true
recurring,recurring-route-0-direct,0,1,24,19,0,0,0,1,1,false,true,true,24,42925,0,true
recurring,recurring-route-1-mirrored,0,1,19,24,0,0,0,1,1,false,true,true,24,42925,0,true
absent,absent-return-direct,0,1,0,0,0,0,0,0,0,false,true,true,24,5960,0,true
absent,absent-return-mirror,0,1,0,0,0,0,0,0,0,false,true,true,24,5960,0,true
switch,stability-switch-continuous,0,1,96,329,0,0,0,0,1,false,true,true,24,5105083,0,true
