seed,stratum,scenario,correspondence_resistance,continuation_resistance,training_branch_firings,training_outlet_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_extra_source_firings,heldout_branch_firings,heldout_outlet_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_extra_source_firings,postgap_extra_source_firings,heldout_quiescent,postgap_quiescent,correspondence_acquired,maturation_exact,postgap_exact,training_quiescent,duplicate_exact,work,fingerprint,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,passed
0,S0,support-a,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,10533531581657674038,true,true,true,true,true,true,true,true,true,true,true,true,true,true
0,S0,support-b,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,4159790584294419758,true,true,true,true,true,true,true,true,true,true,true,true,true,true
0,S0,no-support,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,10733765693639778295,true,true,true,true,true,true,true,true,true,true,true,true,true,true
0,S0,blocked-return,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,15695503547822011781,true,true,true,true,true,true,true,true,true,true,true,true,true,true
0,S0,return-without-effect,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,6972681128103475546,true,true,true,true,true,true,true,true,true,true,true,true,true,true
0,S0,joint,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,1159644757666995080,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1,S1,support-a,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,11918890345514751264,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1,S1,support-b,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,8083628066247463452,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1,S1,no-support,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,1642633770278542089,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1,S1,blocked-return,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,4311500753412429203,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1,S1,return-without-effect,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,17297773752827265284,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1,S1,joint,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,14043003715699385570,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,S2,support-a,23|23,18|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6778,12738023876536944797,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,S2,support-b,23|23,0|18,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6770,10698011194534301843,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,S2,no-support,23|23,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4419,16198057634564114878,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,S2,blocked-return,23|23,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5183,4628277376367271126,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,S2,return-without-effect,23|23,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4929,17829878887487550730,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,S2,joint,23|23,18|18,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9044,2790123591809693754,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,S3,support-a,23|23,18|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6778,14721458125878568155,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,S3,support-b,23|23,0|18,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6770,3128491470757817409,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,S3,no-support,23|23,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4419,12195149122560770564,true,true,true,true,true,true,true,true,true,true,true,true,true,true
