stratum,scenario,correspondence_resistance,continuation_resistance,training_branch_firings,training_outlet_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_extra_source_firings,heldout_branch_firings,heldout_outlet_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_extra_source_firings,postgap_extra_source_firings,heldout_quiescent,postgap_quiescent,correspondence_acquired,maturation_exact,postgap_exact,training_quiescent,duplicate_exact,work,fingerprint,passed
S0,support-a,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,17105107099122548454,true
S0,support-b,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,13317204837269497854,true
S0,no-support,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,13109736432343507223,true
S0,blocked-return,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,8539917506820468021,true
S0,return-without-effect,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,12664678358500313530,true
S0,joint,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,12059482448363754680,true
S1,support-a,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,10153187042034359576,true
S1,support-b,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,13102922019158534412,true
S1,no-support,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,7371394830994513225,true
S1,blocked-return,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,14843886653702874763,true
S1,return-without-effect,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,6280191228082624932,true
S1,joint,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,14133314380504875670,true
S2,support-a,23|23,18|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6778,5649115683198385613,true
S2,support-b,23|23,0|18,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6770,10514274364206953651,true
S2,no-support,23|23,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4419,346378289466439950,true
S2,blocked-return,23|23,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5183,16287667453711147974,true
