stratum,schedule,schedule_first,forward_count,reverse_count,first_mature,first_deallocation,final_live,final_resistance,heldout_effects,postgap_effects,source_refiring,quiescent,work,fingerprint,duplicate_exact
G0,forward-block,0,12,12,0|-1,-1|1,1|0,5|0,1|0,1|0,0,true,20976,15861261934987231982,true
G0,reverse-block,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20964,15782405313583582396,true
G0,forward-alternating,0,12,12,0|-1,-1|1,1|0,5|0,1|0,1|0,0,true,20976,10138296849563718646,true
G0,reverse-alternating,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20964,9029140477761911976,true
G0,rotation-0,0,12,12,0|-1,-1|1,1|0,5|0,1|0,1|0,0,true,20976,5964137509387532094,true
G0,rotation-1,0,12,12,0|-1,5|1,0|0,0|0,0|0,0|0,0,true,19370,17625606925094069191,true
G0,rotation-2,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20964,5453418470762002226,true
G0,rotation-3,0,12,12,0|-1,3|1,0|0,0|0,0|0,0|0,0,true,19200,2028267784227027739,true
G0,rotation-4,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20964,13942220609017966098,true
G0,rotation-5,1,12,12,-1|0,1|3,0|0,0|0,0|0,0|0,0,true,19199,7694099045461435521,true
G1,forward-block,0,12,12,0|-1,-1|1,1|0,5|0,1|0,1|0,0,true,20848,2966100540113248188,true
G1,reverse-block,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20836,5862675031956159826,true
G1,forward-alternating,0,12,12,0|-1,-1|1,1|0,5|0,1|0,1|0,0,true,20848,14205664243542324428,true
G1,reverse-alternating,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20836,12708248183782621738,true
G1,rotation-0,0,12,12,0|-1,-1|1,1|0,5|0,1|0,1|0,0,true,20848,6966640981232017720,true
G1,rotation-1,0,12,12,0|-1,5|1,0|0,0|0,0|0,0|0,0,true,19294,13386947662770207272,true
G1,rotation-2,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20836,13307928198783017444,true
G1,rotation-3,0,12,12,0|-1,3|1,0|0,0|0,0|0,0|0,0,true,19138,739647494724337373,true
G1,rotation-4,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20836,16818236392690564772,true
G1,rotation-5,1,12,12,-1|0,1|3,0|0,0|0,0|0,0|0,0,true,19137,13733224419013628503,true
G2,forward-block,0,12,12,0|-1,-1|1,1|0,5|0,1|0,1|0,0,true,20826,5490007542587215356,true
G2,reverse-block,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20814,14395031074987842206,true
G2,forward-alternating,0,12,12,0|-1,-1|1,1|0,5|0,1|0,1|0,0,true,20826,15782616788792017208,true
G2,reverse-alternating,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20814,10896048297589838750,true
G2,rotation-0,0,12,12,0|-1,-1|1,1|0,5|0,1|0,1|0,0,true,20826,13436929225414896344,true
G2,rotation-1,0,12,12,0|-1,5|1,0|0,0|0,0|0,0|0,0,true,19292,7012181527331063620,true
G2,rotation-2,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20814,15526574728398565180,true
G2,rotation-3,0,12,12,0|-1,3|1,0|0,0|0,0|0,0|0,0,true,19138,5622223007668736773,true
G2,rotation-4,1,12,12,-1|0,1|-1,0|1,0|5,0|1,0|1,0,true,20814,6305825770444786972,true
G2,rotation-5,1,12,12,-1|0,1|3,0|0,0|0,0|0,0|0,0,true,19137,3397579092285226219,true
G3,forward-block,0,12,12,0|-1,-1|1,1|0,4|0,1|0,1|0,0,true,20855,9852218164804920340,true
G3,reverse-block,1,12,12,-1|0,1|-1,0|1,0|4,0|1,0|1,0,true,20843,17547906492630517540,true
G3,forward-alternating,0,12,12,0|-1,-1|1,1|0,4|0,1|0,1|0,0,true,20855,11081818055721032384,true
G3,reverse-alternating,1,12,12,-1|0,1|-1,0|1,0|4,0|1,0|1,0,true,20843,9630085731608928792,true
G3,rotation-0,0,12,12,0|-1,-1|1,1|0,4|0,1|0,1|0,0,true,20855,10208600058149295816,true
G3,rotation-1,0,12,12,0|-1,5|1,0|0,0|0,0|0,0|0,0,true,19320,6293839144600262841,true
G3,rotation-2,1,12,12,-1|0,1|-1,0|1,0|4,0|1,0|1,0,true,20843,16096095472353270886,true
G3,rotation-3,0,12,12,0|-1,3|1,0|0,0|0,0|0,0|0,0,true,19166,3174579666167876008,true
G3,rotation-4,1,12,12,-1|0,1|-1,0|1,0|4,0|1,0|1,0,true,20843,17544769004171823506,true
G3,rotation-5,1,12,12,-1|0,1|3,0|0,0|0,0|0,0|0,0,true,19165,6902362794274091802,true
