stratum,schedule,experience,participant,continuation_firings,trace_firings,local_returns,live_before,live_after,resistance_before,resistance_after,return_gain,pressure_spent,quiescent
G0,forward-block,0,0,1|0,1|1,1|1,true|true,true|true,3|3,4|1,3|0,2|2,true
G0,forward-block,1,0,1|0,1|1,1|1,true|true,true|false,4|1,6|0,3|0,1|1,true
G0,forward-block,2,0,1|0,1|1,1|1,true|false,true|false,6|0,7|0,3|0,2|0,true
G0,forward-block,3,0,1|0,1|1,1|1,true|false,true|false,7|0,9|0,3|0,1|0,true
G0,forward-block,4,0,1|0,1|1,1|1,true|false,true|false,9|0,11|0,3|0,1|0,true
G0,forward-block,5,0,1|0,1|1,1|1,true|false,true|false,11|0,12|0,3|0,2|0,true
G0,forward-block,6,0,1|0,1|1,1|1,true|false,true|false,12|0,14|0,3|0,1|0,true
G0,forward-block,7,0,1|0,1|1,1|1,true|false,true|false,14|0,15|0,3|0,2|0,true
G0,forward-block,8,0,1|0,1|1,1|1,true|false,true|false,15|0,17|0,3|0,1|0,true
G0,forward-block,9,0,1|0,1|1,1|1,true|false,true|false,17|0,19|0,3|0,1|0,true
G0,forward-block,10,0,1|0,1|1,1|1,true|false,true|false,19|0,20|0,3|0,2|0,true
G0,forward-block,11,0,1|0,1|1,1|1,true|false,true|false,20|0,22|0,3|0,1|0,true
G0,forward-block,12,1,0|1,1|0,1|0,true|false,true|false,22|0,20|0,0|0,2|0,true
G0,forward-block,13,1,0|1,1|0,1|0,true|false,true|false,20|0,19|0,0|0,1|0,true
G0,forward-block,14,1,0|1,1|0,1|0,true|false,true|false,19|0,18|0,0|0,1|0,true
G0,forward-block,15,1,0|1,1|0,1|0,true|false,true|false,18|0,16|0,0|0,2|0,true
G0,forward-block,16,1,0|1,1|0,1|0,true|false,true|false,16|0,15|0,0|0,1|0,true
G0,forward-block,17,1,0|1,1|0,1|0,true|false,true|false,15|0,13|0,0|0,2|0,true
G0,forward-block,18,1,0|1,1|0,1|0,true|false,true|false,13|0,12|0,0|0,1|0,true
G0,forward-block,19,1,0|1,1|0,1|0,true|false,true|false,12|0,11|0,0|0,1|0,true
G0,forward-block,20,1,0|1,1|0,1|0,true|false,true|false,11|0,9|0,0|0,2|0,true
G0,forward-block,21,1,0|1,1|0,1|0,true|false,true|false,9|0,8|0,0|0,1|0,true
G0,forward-block,22,1,0|1,1|0,1|0,true|false,true|false,8|0,6|0,0|0,2|0,true
G0,forward-block,23,1,0|1,1|0,1|0,true|false,true|false,6|0,5|0,0|0,1|0,true
G0,reverse-block,0,1,0|1,1|1,1|1,true|true,true|true,3|3,1|4,0|3,2|2,true
G0,reverse-block,1,1,0|1,1|1,1|1,true|true,false|true,1|4,0|6,0|3,1|1,true
G0,reverse-block,2,1,0|1,1|1,1|1,false|true,false|true,0|6,0|7,0|3,0|2,true
G0,reverse-block,3,1,0|1,1|1,1|1,false|true,false|true,0|7,0|9,0|3,0|1,true
G0,reverse-block,4,1,0|1,1|1,1|1,false|true,false|true,0|9,0|11,0|3,0|1,true
G0,reverse-block,5,1,0|1,1|1,1|1,false|true,false|true,0|11,0|12,0|3,0|2,true
G0,reverse-block,6,1,0|1,1|1,1|1,false|true,false|true,0|12,0|14,0|3,0|1,true
G0,reverse-block,7,1,0|1,1|1,1|1,false|true,false|true,0|14,0|15,0|3,0|2,true
G0,reverse-block,8,1,0|1,1|1,1|1,false|true,false|true,0|15,0|17,0|3,0|1,true
G0,reverse-block,9,1,0|1,1|1,1|1,false|true,false|true,0|17,0|19,0|3,0|1,true
G0,reverse-block,10,1,0|1,1|1,1|1,false|true,false|true,0|19,0|20,0|3,0|2,true
G0,reverse-block,11,1,0|1,1|1,1|1,false|true,false|true,0|20,0|22,0|3,0|1,true
G0,reverse-block,12,0,1|0,0|1,0|1,false|true,false|true,0|22,0|20,0|0,0|2,true
G0,reverse-block,13,0,1|0,0|1,0|1,false|true,false|true,0|20,0|19,0|0,0|1,true
G0,reverse-block,14,0,1|0,0|1,0|1,false|true,false|true,0|19,0|18,0|0,0|1,true
G0,reverse-block,15,0,1|0,0|1,0|1,false|true,false|true,0|18,0|16,0|0,0|2,true
G0,reverse-block,16,0,1|0,0|1,0|1,false|true,false|true,0|16,0|15,0|0,0|1,true
G0,reverse-block,17,0,1|0,0|1,0|1,false|true,false|true,0|15,0|13,0|0,0|2,true
G0,reverse-block,18,0,1|0,0|1,0|1,false|true,false|true,0|13,0|12,0|0,0|1,true
G0,reverse-block,19,0,1|0,0|1,0|1,false|true,false|true,0|12,0|11,0|0,0|1,true
G0,reverse-block,20,0,1|0,0|1,0|1,false|true,false|true,0|11,0|9,0|0,0|2,true
G0,reverse-block,21,0,1|0,0|1,0|1,false|true,false|true,0|9,0|8,0|0,0|1,true
G0,reverse-block,22,0,1|0,0|1,0|1,false|true,false|true,0|8,0|6,0|0,0|2,true
G0,reverse-block,23,0,1|0,0|1,0|1,false|true,false|true,0|6,0|5,0|0,0|1,true
G0,forward-alternating,0,0,1|0,1|1,1|1,true|true,true|true,3|3,4|1,3|0,2|2,true
G0,forward-alternating,1,1,0|1,1|0,1|0,true|true,true|false,4|1,3|0,0|0,1|1,true
G0,forward-alternating,2,0,1|0,1|1,1|1,true|false,true|false,3|0,4|0,3|0,2|0,true
G0,forward-alternating,3,1,0|1,1|0,1|0,true|false,true|false,4|0,3|0,0|0,1|0,true
G0,forward-alternating,4,0,1|0,1|1,1|1,true|false,true|false,3|0,5|0,3|0,1|0,true
G0,forward-alternating,5,1,0|1,1|0,1|0,true|false,true|false,5|0,3|0,0|0,2|0,true
G0,forward-alternating,6,0,1|0,1|1,1|1,true|false,true|false,3|0,5|0,3|0,1|0,true
G0,forward-alternating,7,1,0|1,1|0,1|0,true|false,true|false,5|0,3|0,0|0,2|0,true
G0,forward-alternating,8,0,1|0,1|1,1|1,true|false,true|false,3|0,5|0,3|0,1|0,true
G0,forward-alternating,9,1,0|1,1|0,1|0,true|false,true|false,5|0,4|0,0|0,1|0,true
G0,forward-alternating,10,0,1|0,1|1,1|1,true|false,true|false,4|0,5|0,3|0,2|0,true
G0,forward-alternating,11,1,0|1,1|0,1|0,true|false,true|false,5|0,4|0,0|0,1|0,true
G0,forward-alternating,12,0,1|0,1|1,1|1,true|false,true|false,4|0,5|0,3|0,2|0,true
