stratum,mirror,wait,old_side,new_side,initial_effects,old_direction_stale,old_correspondence_stale,stale_effects,fresh_correspondence,fresh_direction_ids,proposal_tick,first_use_tick,preuse_live,preuse_resistance,first_continuation_firings,first_candidate_traversed,first_consequence_firings,first_trace_firings,first_local_returns,postfirst_resistance,final_live,final_resistance,heldout_effects,postgap_effects,source_refiring,quiescent,work,fingerprint,duplicate_exact
G0,forward-to-reverse,0,0,1,1|0,true,true,0|0,1|1,true,1250,1250,true|true,3|3,0|1,false|true,1|1,1|1,1|1,3|6,0|1,0|43,0|1,0|1,0,true,47989,6425722752204875947,true
G0,forward-to-reverse,5,0,1,1|0,true,true,0|0,1|1,true,1250,1255,true|true,3|3,0|1,false|true,1|1,1|1,1|1,2|5,0|1,0|42,0|1,0|1,0,true,48014,16477457626271311902,true
G0,forward-to-reverse,10,0,1,1|0,true,true,0|0,1|1,true,1250,1260,true|true,2|2,0|1,false|true,1|1,1|1,1|1,2|5,0|1,0|42,0|1,0|1,0,true,48014,16731303017423622656,true
G0,forward-to-reverse,20,0,1,1|0,true,true,0|0,1|1,true,1250,1270,true|true,1|1,0|1,false|true,1|1,1|1,1|1,1|4,0|1,0|41,0|1,0|1,0,true,48013,5496707322496556183,true
G0,forward-to-reverse,30,0,1,1|0,true,true,0|0,1|1,true,1250,1280,false|false,0|0,0|1,false|false,1|0,1|0,1|0,0|0,0|0,0|0,0|0,0|0,0,true,43759,12960468480963588133,true
G0,reverse-to-forward,0,1,0,0|1,true,true,0|0,1|1,true,1250,1250,true|true,3|3,1|0,true|false,1|1,1|1,1|1,6|3,1|0,43|0,1|0,1|0,0,true,48013,4148089486048219261,true
G0,reverse-to-forward,5,1,0,0|1,true,true,0|0,1|1,true,1250,1255,true|true,3|3,1|0,true|false,1|1,1|1,1|1,5|2,1|0,42|0,1|0,1|0,0,true,48038,2282204747772053712,true
G0,reverse-to-forward,10,1,0,0|1,true,true,0|0,1|1,true,1250,1260,true|true,2|2,1|0,true|false,1|1,1|1,1|1,5|2,1|0,42|0,1|0,1|0,0,true,48038,12467676655456950134,true
G0,reverse-to-forward,20,1,0,0|1,true,true,0|0,1|1,true,1250,1270,true|true,1|1,1|0,true|false,1|1,1|1,1|1,4|1,1|0,41|0,1|0,1|0,0,true,48037,6683188619117201257,true
G0,reverse-to-forward,30,1,0,0|1,true,true,0|0,1|1,true,1250,1280,false|false,0|0,1|0,false|false,0|1,0|1,0|1,0|0,0|0,0|0,0|0,0|0,0,true,43759,2103433065138013267,true
G1,forward-to-reverse,0,0,1,1|0,true,true,0|0,1|1,true,1250,1250,true|true,3|3,0|1,false|true,1|1,1|1,1|1,3|6,0|1,0|43,0|1,0|1,0,true,47582,5853471116663237999,true
G1,forward-to-reverse,5,0,1,1|0,true,true,0|0,1|1,true,1250,1255,true|true,3|3,0|1,false|true,1|1,1|1,1|1,2|5,0|1,0|42,0|1,0|1,0,true,47607,7780568822282872118,true
G1,forward-to-reverse,10,0,1,1|0,true,true,0|0,1|1,true,1250,1260,true|true,2|2,0|1,false|true,1|1,1|1,1|1,2|5,0|1,0|42,0|1,0|1,0,true,47607,1219083725512328224,true
G1,forward-to-reverse,20,0,1,1|0,true,true,0|0,1|1,true,1250,1270,true|true,1|1,0|1,false|true,1|1,1|1,1|1,1|4,0|1,0|41,0|1,0|1,0,true,47606,9918997277412281659,true
G1,forward-to-reverse,30,0,1,1|0,true,true,0|0,1|1,true,1250,1280,false|false,0|0,0|1,false|false,1|0,1|0,1|0,0|0,0|0,0|0,0|0,0|0,0,true,43496,8297512251874709579,true
