seed,stratum,scenario,namespace,schedule_class,arrival_order,first_use_delay,o1_first_observed_dead_wait,correspondence_resistance,directional_live_paths,directional_min_resistance,directional_max_resistance,training_continuation_firings,training_consequence_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_effects,training_distractor_firings,training_source_refiring,heldout_continuation_firings,heldout_consequence_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_source_refiring,postgap_source_refiring,training_quiescent,heldout_quiescent,postgap_quiescent,work,fingerprint,duplicate_exact,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,passed
0,G0,forward-participation,0x542000000,forward*24,normal,18,30,46|46,1|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,22873,7031096426974253754,true,true,true,true,true,true,true,true,true,true,true,true
0,G0,reverse-participation,0x543000000,reverse*24,normal,18,30,46|46,0|1,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,0,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,22873,6362753487880037484,true,true,true,true,true,true,true,true,true,true,true,true
0,G0,correlation-only,0x544000000,no-traversal*24,normal,18,30,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,21187,12360144543026291718,true,true,true,true,true,true,true,true,true,true,true,true
0,G0,participation-without-return,0x545000000,forward*24,normal,18,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,16174,9475983528325195467,true,true,true,true,true,true,true,true,true,true,true,true
0,G0,joint-participation,0x546000000,joint*24,normal,18,30,46|46,1|1,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,0,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,24814,484216994370936826,true,true,true,true,true,true,true,true,true,true,true,true
0,G0,adversarial-correlation-forward-traversal,0x547000000,forward*24,normal,18,30,46|46,1|0,41|0,41|0,24|0,24|72,96|144,24|72,24|72,24|72,0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,35070,2365907419931542271,true,true,true,true,true,true,true,true,true,true,true,true
0,G0,adversarial-correlation-reverse-traversal,0x548000000,reverse*24,normal,18,30,46|46,0|1,0|41,0|41,0|24,72|24,144|96,72|24,72|24,72|24,0,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,35118,13379530539284285765,true,true,true,true,true,true,true,true,true,true,true,true
1,G1,forward-participation,0x552000000,forward*24,reverse,19,30,46|46,2|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,192,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,52031,5212244394248895078,true,true,true,true,true,true,true,true,true,true,true,true
1,G1,reverse-participation,0x553000000,reverse*24,reverse,19,30,46|46,0|2,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,192,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,52031,16716690916063000154,true,true,true,true,true,true,true,true,true,true,true,true
1,G1,correlation-only,0x554000000,no-traversal*24,reverse,19,30,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,192,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,49259,11096082779324491053,true,true,true,true,true,true,true,true,true,true,true,true
1,G1,participation-without-return,0x555000000,forward*24,reverse,19,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,192,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,43121,8572357066621145557,true,true,true,true,true,true,true,true,true,true,true,true
1,G1,joint-participation,0x556000000,joint*24,reverse,19,30,46|46,2|2,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,192,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,55154,677329852609933840,true,true,true,true,true,true,true,true,true,true,true,true
1,G1,adversarial-correlation-forward-traversal,0x557000000,forward*24,reverse,19,30,45|45,2|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,192,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,67478,8556314273524256151,true,true,true,true,true,true,true,true,true,true,true,true
1,G1,adversarial-correlation-reverse-traversal,0x558000000,reverse*24,reverse,19,30,45|45,0|2,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,192,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,67526,18014112495499422909,true,true,true,true,true,true,true,true,true,true,true,true
2,G2,forward-participation,0x562000000,forward*24,normal,20,30,46|46,3|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,576,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,143951,13657206512477190654,true,true,true,true,true,true,true,true,true,true,true,true
2,G2,reverse-participation,0x563000000,reverse*24,normal,20,30,46|46,0|3,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,576,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,143951,13929009535890224374,true,true,true,true,true,true,true,true,true,true,true,true
2,G2,correlation-only,0x564000000,no-traversal*24,normal,20,30,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,139637,16111559914286572806,true,true,true,true,true,true,true,true,true,true,true,true
2,G2,participation-without-return,0x565000000,forward*24,normal,20,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,131051,17832168062408036111,true,true,true,true,true,true,true,true,true,true,true,true
2,G2,joint-participation,0x566000000,joint*24,normal,20,30,46|46,3|3,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,576,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,148760,5372995957959460433,true,true,true,true,true,true,true,true,true,true,true,true
2,G2,adversarial-correlation-forward-traversal,0x567000000,forward*24,normal,20,30,45|45,3|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,576,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,165341,12049165654788018291,true,true,true,true,true,true,true,true,true,true,true,true
2,G2,adversarial-correlation-reverse-traversal,0x568000000,reverse*24,normal,20,30,45|45,0|3,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,576,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,165389,16113632524529183355,true,true,true,true,true,true,true,true,true,true,true,true
3,G3,forward-participation,0x572000000,forward*24,reverse,21,30,45|45,4|0,40|0,40|0,24|0,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,365565,1135982534640266489,true,true,true,true,true,true,true,true,true,true,true,true
3,G3,reverse-participation,0x573000000,reverse*24,reverse,21,30,45|45,0|4,0|40,0|40,0|24,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,365565,15446929622802465193,true,true,true,true,true,true,true,true,true,true,true,true
3,G3,correlation-only,0x574000000,no-traversal*24,reverse,21,30,45|45,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,359009,15675239380130299020,true,true,true,true,true,true,true,true,true,true,true,true
3,G3,participation-without-return,0x575000000,forward*24,reverse,21,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,346768,3816682454323811656,true,true,true,true,true,true,true,true,true,true,true,true
3,G3,joint-participation,0x576000000,joint*24,reverse,21,30,45|45,4|4,40|40,40|40,24|24,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,372808,13392434964503340849,true,true,true,true,true,true,true,true,true,true,true,true
