stratum,scenario,correspondence_resistance,directional_live_paths,directional_min_resistance,directional_max_resistance,training_continuation_firings,training_consequence_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_effects,training_distractor_firings,training_extra_arrival_firings,heldout_continuation_firings,heldout_consequence_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_extra_arrival_firings,postgap_extra_arrival_firings,training_quiescent,heldout_quiescent,postgap_quiescent,lifecycle_first_effects,lifecycle_first_extra_arrival_firings,lifecycle_first_quiescent,lifecycle_old_direction_live,lifecycle_old_direction_stale,lifecycle_old_correspondence_live,lifecycle_old_correspondence_stale,lifecycle_stale_effects,lifecycle_stale_extra_arrival_firings,lifecycle_stale_quiescent,lifecycle_fresh_correspondence,lifecycle_fresh_direction_ids,work,fingerprint,duplicate_exact,passed
G0,forward-participation,46|46,1|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,22873,3082567777547592426,true,true
G0,reverse-participation,46|46,0|1,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,0,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,22873,14080440452581751044,true,true
G0,correlation-only,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,21187,13761107588440343566,true,true
G0,joint-participation,46|46,1|1,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,0,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,24814,7998818331202903276,true,true
G0,participation-without-return,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,16174,12697494121939813125,true,true
G0,adversarial-correlation-forward-traversal,46|46,1|0,41|0,41|0,24|0,24|72,96|144,24|72,24|72,24|72,0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,35070,14222812761843766631,true,true
G0,adversarial-correlation-reverse-traversal,46|46,0|1,0|41,0|41,0|24,72|24,144|96,72|24,72|24,72|24,0,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,35118,4528965291841415661,true,true
G0,interleaved-forward-first,46|46,1|0,5|0,5|0,12|12,24|12,48|36,24|12,24|12,24|12,0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,20976,13550465606357261762,true,false
G0,interleaved-reverse-first,46|46,0|1,0|5,0|5,12|12,12|24,36|48,12|24,12|24,12|24,0,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,20964,1647664754633437360,true,false
G0,lifecycle-forward-to-reverse,44|44,0|0,0|0,0|0,0|24,24|0,48|24,24|0,24|0,24|0,0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,1|0,0,true,0|0,true,0|0,true,0|0,0,true,1|1,true,43339,1731567649563263470,true,false
