stratum,scenario,correspondence_resistance,directional_resistance,training_continuation_firings,training_consequence_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_effects,training_extra_arrival_firings,heldout_continuation_firings,heldout_consequence_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_extra_arrival_firings,postgap_extra_arrival_firings,training_quiescent,heldout_quiescent,postgap_quiescent,work,fingerprint,duplicate_exact,passed
S0,forward-participation,22|22,17|0,8|0,8|8,16|16,8|8,8|8,8|8,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,8801,2371904315561522078,true,true
S0,reverse-participation,22|22,0|17,0|8,8|8,16|16,8|8,8|8,8|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,8801,8748577998344016412,true,true
S0,correlation-only,22|22,0|0,0|0,8|8,16|16,8|8,8|8,8|8,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,8243,7268016758585887635,true,true
S0,joint-participation,22|22,17|17,8|8,8|8,16|16,8|8,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,9438,14152183573899920141,true,true
S0,participation-without-return,22|22,0|0,8|0,1|8,1|8,0|0,0|0,1|8,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,6590,8167651501760662007,true,true
S1,forward-participation,22|22,17|0,8|0,8|8,16|16,8|8,8|8,8|8,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,8801,3112369302115005010,true,true
S1,reverse-participation,22|22,0|17,0|8,8|8,16|16,8|8,8|8,8|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,8801,3811548793272503684,true,true
S1,correlation-only,22|22,0|0,0|0,8|8,16|16,8|8,8|8,8|8,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,8243,16787146828742447823,true,true
S1,joint-participation,22|22,17|17,8|8,8|8,16|16,8|8,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,9438,5865101619091450021,true,true
S1,participation-without-return,22|22,0|0,8|0,1|8,1|8,0|0,0|0,1|8,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,6590,6458242650223070487,true,true
S2,forward-participation,23|23,18|0,8|0,8|8,16|16,8|8,8|8,8|8,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,8772,5224965435834862997,true,true
S2,reverse-participation,23|23,0|18,0|8,8|8,16|16,8|8,8|8,8|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,8772,7905693237682469717,true,true
S2,correlation-only,23|23,0|0,0|0,8|8,16|16,8|8,8|8,8|8,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,8215,3100742853844927251,true,true
S2,joint-participation,23|23,18|18,8|8,8|8,16|16,8|8,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,9408,116331813831022455,true,true
S2,participation-without-return,23|23,0|0,8|0,1|8,1|8,0|0,0|0,1|8,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,6564,8102069731924287309,true,true
S3,forward-participation,21|21,16|0,8|0,8|8,16|16,8|8,8|8,8|8,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,8800,59382782531569699,true,true
S3,reverse-participation,21|21,0|16,0|8,8|8,16|16,8|8,8|8,8|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,8800,559151158442464747,true,true
S3,correlation-only,21|21,0|0,0|0,8|8,16|16,8|8,8|8,8|8,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,8241,3649111444411496703,true,true
S3,joint-participation,21|21,16|16,8|8,8|8,16|16,8|8,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,9438,14133831437273944503,true,true
S3,participation-without-return,21|21,0|0,8|0,1|8,1|8,0|0,0|0,1|8,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,6588,14011525919895002981,true,true
