seed,scenario,core_applicable,core_pass,d1r_applicable,d1r_positive,couplings,scheduled,source_firings,raw_traversals,raw_impulse,outlet_firings,trace_firings,trace_ticks,opportunity_firings,candidate_traversals,candidate_impulse,consequence_firings,return_arrivals,resistance_initial,resistance_after_first,resistance_before_second,resistance_after_train,live_after_train,resistance_after_gap,live_after_gap,heldout_trained,heldout_crossed,heldout_gapped,heldout_singleton,work_total,queue_comparisons,spikes_delivered,state_updates,threshold_checks,firings,arrow_checks,spikes_emitted,eligibility_writes,return_updates,pressure_updates,structural_proposals,deallocations,persistent_bytes,complete_fingerprint,permanent_fingerprint,quiescent,replay_equal
2901,dormant-baseline,true,true,false,false,1|1|1|1,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,;;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,true|true|true|true|true|true,0|0|0|0|0|0,false|false|false|false|false|false,0,0,0,0,58,0,0,0,0,0,0,0,0,0,52,0,6,4624,13812967945905665671,3162844708620900891,true,true
2901,return-only,true,true,false,false,1|1|1|1,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,;;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,true|true|true|true|true|true,0|0|0|0|0|0,false|false|false|false|false|false,0,0,0,0,172,15,7,7,7,1,52,6,6,0,58,0,6,4624,16893596219528277343,8821695740704846316,true,true
2901,a-alone,true,true,false,false,1|1|1|1,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,3;;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,true|true|true|true|true|true,0|0|0|0|0|0,false|false|false|false|false|false,0,0,0,0,488,45,18,18,18,5,260,16,16,0,68,0,6,4624,560713136203552036,17623680724600284981,true,true
2901,a4-alone,true,true,false,false,4|1|1|1,1|0|0|0,1|0|0|0,1|0|0|0,4|0|0|0,1|0|0|0,1|0|0|0,3;;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,true|true|true|true|true|true,0|0|0|0|0|0,false|false|false|false|false|false,0,0,0,0,488,45,18,18,18,5,260,16,16,0,68,0,6,4624,12229377780525327766,13347140184597384131,true,true
2901,a-repeated,true,true,false,false,1|1|1|1,2|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,3;;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,true|true|true|true|true|true,0|0|0|0|0|0,false|false|false|false|false|false,0,0,0,0,497,50,19,19,19,5,260,16,16,1,67,0,6,4624,5494164930703282342,16523048822158829536,true,true
2901,a-then-b-late,true,true,false,false,1|1|1|1,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,3;5;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,1|1|1|1|1|1,true|true|true|true|true|true,0|0|0|0|0|0,false|false|false|false|false|false,0,0,0,0,868,139,29,29,29,9,468,26,26,7,71,0,6,4624,10086596715697621641,9198352844356498585,true,true
2901,ab-one-return,true,true,false,false,1|1|1|1,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,3;3;;,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|1|1|1|1|1,1|1|1|1|1|1,4|1|1|1|1|1,4|1|1|1|1|1,4|1|1|1|1|1,true|true|true|true|true|true,0|0|0|0|0|0,false|false|false|false|false|false,0,0,0,0,1004,141,33,33,33,11,572,30,30,5,77,0,6,4624,7036887245264414669,8780955111074338439,true,true
2901,ab-recurrent-1-1,true,true,false,false,1|1|1|1,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,3|12;3|12;;,2|0|0|0|0|0,2|0|0|0|0|0,3|0|0|0|0|0,2|0|0|0|0|0,2|2|2|2|2|2,1|1|1|1|1|1,4|1|1|1|1|1,3|0|0|0|0|0,6|0|0|0|0|0,true|false|false|false|false|false,2|0|0|0|0|0,true|false|false|false|false|false,1,0,0,0,2003,289,66,66,66,22,1144,60,60,11,148,0,5,4624,6042044169687224684,2901073855775057155,true,true
2901,ab-recurrent-2-1,true,true,false,false,2|1|1|1,2|2|0|0,2|2|0|0,2|2|0|0,4|2|0|0,2|2|0|0,2|2|0|0,3|12;3|12;;,2|0|0|0|0|0,2|0|0|0|0|0,3|0|0|0|0|0,2|0|0|0|0|0,2|2|2|2|2|2,1|1|1|1|1|1,4|1|1|1|1|1,3|0|0|0|0|0,6|0|0|0|0|0,true|false|false|false|false|false,2|0|0|0|0|0,true|false|false|false|false|false,1,0,0,0,2003,289,66,66,66,22,1144,60,60,11,148,0,5,4624,16370705938691162054,17897071825117448949,true,true
2901,ab-recurrent-4-4,true,true,false,false,4|4|1|1,2|2|0|0,2|2|0|0,2|2|0|0,8|8|0|0,2|2|0|0,2|2|0|0,3|12;3|12;;,2|0|0|0|0|0,2|0|0|0|0|0,3|0|0|0|0|0,2|0|0|0|0|0,2|2|2|2|2|2,1|1|1|1|1|1,4|1|1|1|1|1,3|0|0|0|0|0,6|0|0|0|0|0,true|false|false|false|false|false,2|0|0|0|0|0,true|false|false|false|false|false,1,0,0,0,2003,289,66,66,66,22,1144,60,60,11,148,0,5,4624,1226597751309048860,4240018156959873423,true,true
