seed,scenario,mirror,attribution_coupling,source,primitive_trace,opportunity,candidate_source,candidate_crossings,candidate_impulse,effect,p_trace,effect_trace,p_trace_to_attribution,effect_trace_to_attribution,global_to_attribution,attribution,credit_crossings,credit_impulse,candidate_resistance,connector_resistance,after_pressure,return_updates,proposals,work,bytes,fingerprint,permanent,quiescent,replay,passed
3201,return-only,false,1,0|0|0|0,0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,100|100|100|100|100|100,0|0|0|0|0|0,0,0,168,10384,4643425247101283310,1143854187718201980,true,true,true
3201,ab-real-subthreshold,false,1,1|1|0|0,1|1|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|1|1|1|1|1,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,4|1|1|1|1|1,100|100|100|100|100|100,0|0|0|0|0|0,3,0,2444,10384,3769436984737749094,1281314627864920417,true,true,true
3201,ab-blocked-late-a,false,1,2|1|0|0,2|1|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,103|100|100|100|100|100,0|0|0|0|0|0,8,0,2259,10384,3439857086822395844,13274647922227653430,true,true,true
3201,ab-blocked-effect,false,1,1|1|0|0,1|1|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,100|100|100|100|100|100,0|0|0|0|0|0,0,0,1705,10384,4175302496256582092,16858655574395255105,true,true,true
3201,no-ab-independent-effect,false,1,0|0|0|0,0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,1|1|1|1|1|1,1|1|1|1|1|1,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,100|100|100|100|100|100,0|0|0|0|0|0,0,0,2701,10384,5979088321368480753,15150666963992542960,true,true,true
3201,ab-real-no-return,false,1,1|1|0|0,1|1|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,100|100|100|100|100|100,0|0|0|0|0|0,0,0,2110,10384,1543188942456050836,13735442011907898931,true,true,true
3201,ab-real-late-return,false,1,1|1|0|0,1|1|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|1|1|1|1|1,99|100|100|100|100|100,0|0|0|0|0|0,0,0,2338,10384,1327833558392701896,17904019480936570684,true,true,false
3201,ab-then-cd-two-completed,false,1,1|1|1|1,1|1|1|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,2|2|2|2|2|2,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,4|1|1|1|1|4,99|100|100|100|100|100,0|0|0|0|0|0,21,0,5095,10384,6690315007356488448,1534940825843704979,true,true,false
3201,ab-suprathreshold-return-control,false,2,1|1|0|0,1|1|0|0,1|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,3|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,1|1|1|1|1|1,1|0|0|0|0|0,1|0|0|0|0|0,2|0|0|0|0|0,3|0|0|0|0|0,98|99|99|99|99|99,0|0|0|0|0|0,10,0,3324,10384,1955164390165830156,13703527204017099681,true,true,false
3209,return-only,true,1,0|0|0|0,0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,100|100|100|100|100|100,0|0|0|0|0|0,0,0,168,10384,7633576236315402230,14727103633671125140,true,true,true
3209,ab-real-subthreshold,true,1,1|1|0|0,1|1|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|1|1|1|1|1,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,4|1|1|1|1|1,100|100|100|100|100|100,0|0|0|0|0|0,3,0,2444,10384,14880805874346229198,5383258183178124777,true,true,true
3209,ab-blocked-late-a,true,1,2|1|0|0,2|1|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,103|100|100|100|100|100,0|0|0|0|0|0,8,0,2259,10384,2023248642196155340,1962007321277472014,true,true,true
3209,ab-blocked-effect,true,1,1|1|0|0,1|1|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,100|100|100|100|100|100,0|0|0|0|0|0,0,0,1705,10384,3697020984123803876,4776428125086917545,true,true,true
3209,no-ab-independent-effect,true,1,0|0|0|0,0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,1|1|1|1|1|1,1|1|1|1|1|1,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,100|100|100|100|100|100,0|0|0|0|0|0,0,0,2701,10384,11950794644608162137,3339010735141168520,true,true,true
3209,ab-real-no-return,true,1,1|1|0|0,1|1|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|1|1,100|100|100|100|100|100,0|0|0|0|0|0,0,0,2110,10384,7287830086908638316,6496494919346964203,true,true,true
3209,ab-real-late-return,true,1,1|1|0|0,1|1|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|1|1|1|1|1,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|1|1|1|1|1,99|100|100|100|100|100,0|0|0|0|0|0,0,0,2338,10384,7936715570176522768,4045458181304742004,true,true,false
3209,ab-then-cd-two-completed,true,1,1|1|1|1,1|1|1|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,2|2|2|2|2|2,1|0|0|0|0|1,1|0|0|0|0|1,1|0|0|0|0|1,4|1|1|1|1|4,99|100|100|100|100|100,0|0|0|0|0|0,21,0,5095,10384,4856503915137100776,4169081290133433627,true,true,false
3209,ab-suprathreshold-return-control,true,2,1|1|0|0,1|1|0|0,1|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,3|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,1|1|1|1|1|1,1|0|0|0|0|0,1|0|0|0|0|0,2|0|0|0|0|0,3|0|0|0|0|0,98|99|99|99|99|99,0|0|0|0|0|0,10,0,3324,10384,14378839330984513892,17812677751466618553,true,true,false
