seed,namespace,reverse,reflect,strong_a,repeated_a,gapped_ab,modulation_without_participation,unsupported_updates,unsupported_candidate_crossings,unsupported_after_gap,initial_candidate_count,initial_proposals,initial_primitive_trace,initial_opportunity,initial_p,initial_candidate_crossings,initial_candidate_impulse,initial_effect,return_relay,downstream_path,modulatory_transmitter,modulatory_crossing,initial_after_first,initial_one_exposure_gap,initial_after_train,initial_after_gap,pre_reversal_heldout,pre_reversal_heldout_proposals,old_ids,old_generations,old_after_forgetting,old_live_after_forgetting,proposals_during_forgetting,reversed_proposals,reversed_primitive_trace,reversed_opportunity,reversed_p,reversed_candidate_crossings,reversed_candidate_impulse,reversed_effect,reversed_return_relay,reversed_downstream_path,reversed_modulatory_transmitter,reversed_modulatory_crossing,reversed_after_first,reversed_one_exposure_gap,reversed_after_train,reversed_after_gap,new_ids,new_generations,fresh_identity,old_still_dead,historical_counts,final_live_counts,post_reversal_heldout,post_reversal_heldout_proposals,total_proposals,deallocations,return_updates,work,bytes,fingerprint,permanent,quiescent,claims,replay,passed
91001,390846318903296,true,false,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~prop=1~updates=0~cand=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,6838442034448021767,1902997575872410496,true,true|true|true|true|true|false|true|true|true|true|true|true,true,false
91002,390850613870592,false,true,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~prop=1~updates=0~cand=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,5692893632830037233,66894871084929070,true,true|true|true|true|true|false|true|true|true|true|true|true,true,false
91003,390854908837888,true,true,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~prop=1~updates=0~cand=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,1198219222500787539,9087563805255222772,true,true|true|true|true|true|false|true|true|true|true|true|true,true,false
91004,390859203805184,false,false,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~prop=1~updates=0~cand=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,9378144931298611333,5923092966348352402,true,true|true|true|true|true|false|true|true|true|true|true|true,true,false
91005,390863498772480,true,false,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~prop=1~updates=0~cand=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,15045717006653446991,4891125054499086488,true,true|true|true|true|true|false|true|true|true|true|true|true,true,false
91006,390867793739776,false,true,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~prop=1~updates=0~cand=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,16418526394382289041,11829713608905531902,true,true|true|true|true|true|false|true|true|true|true|true|true,true,false
91007,390872088707072,true,true,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~prop=1~updates=0~cand=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,8373625606066666971,7268731984030524476,true,true|true|true|true|true|false|true|true|true|true|true|true,true,false
91008,390876383674368,false,false,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~prop=1~updates=0~cand=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,8348454240070249941,12291747769935724418,true,true|true|true|true|true|false|true|true|true|true|true|true,true,false
91009,390880678641664,true,false,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~prop=1~updates=0~cand=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,8607379285260146647,9431129566527546928,true,true|true|true|true|true|false|true|true|true|true|true|true,true,false
91010,390884973608960,false,true,src=1|0|0|0~raw=1|0|0|0~imp=4|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|0|0|0~raw=1|0|0|0~imp=1|0|0|0~trace=1|0|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,src=1|1|0|0~raw=1|1|0|0~imp=1|1|0|0~trace=1|1|0|0~o=0~p=0~cand=0~prop=0~updates=0~live=0~q=true,effect=1~relay=1~tx=1~mod=1~p=0~prop=1~updates=0~cand=0~q=true,0,2,0,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(70)|ArrowId(71),72|73,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(72)|ArrowId(73),74|75,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,8,14390,7328,11600646545741573985,11262408931259900606,true,true|true|true|true|true|false|true|true|true|true|true|true,true,false
