seed,namespace,reverse,reflect,initial_candidates,phase_primitive_trace,phase_opportunity,phase_p,phase_candidate,phase_candidate_impulse,phase_output,phase_return_relay,phase_output_trace_arrivals,phase_output_trace_impulse,phase_output_trace,phase_modulatory_transmitter,phase_modulatory_crossing,phase_updates,phase_proposals,after_first,after_train,one_exposure_death,final_resistance,candidate_ids,candidate_generations,ab_reuse,c_alone,xc_gapped,xc_reuse,d_alone,yd_gapped,full_reuse,work,bytes,fingerprint,permanent,quiescent,claims,replay,passed
92003,395149876133888,false,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,15055665011672169462,10207566663026086591,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
92007,395167056003072,true,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,8720252618690177690,12652789326750337059,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
92011,395184235872256,false,true,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,4295678452405524736,15856642775342410465,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
92015,395201415741440,true,true,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,16491151498469113580,1991261001134989373,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
92021,395227185545216,false,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,17289687587240299856,15159129962761754209,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
92025,395244365414400,true,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,5293136032433235844,16685382117550945461,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
92029,395261545283584,false,true,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,8228518698283722726,14753622129484976895,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
92033,395278725152768,true,true,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,18346492081473601378,12130015524348552395,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
92039,395304494956544,false,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,16978053066416394362,8488204957012660483,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
92043,395321674825728,true,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|4|6,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~relay=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~relay=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~relay=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~relay=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~tx=0|0|0~mod=0|0|0~updates=0~prop=0~q=true,15098,5200,11213707110071669390,8463636288978441927,true,true|true|true|true|true|true|true|true|true|true|true|true,true,true
