seed,scenario,couplings,scheduled,source_firings,raw_traversals,raw_impulse,outlet_firings,unit_participation,trace_firings,trace_ticks,opportunity_firings,candidate_traversals,consequence_firings,return_arrivals,proposals,live_after_train,resistance_after_train,coupling_after_train,live_after_gap,resistance_after_gap,coupling_after_gap,heldout_trained,heldout_crossed,heldout_gapped,heldout_singleton,work_total,queue_comparisons,spikes_delivered,state_updates,threshold_checks,firings,arrow_checks,spikes_emitted,eligibility_writes,return_updates,pressure_updates,structural_proposals,deallocations,persistent_bytes,complete_fingerprint,permanent_fingerprint,quiescent,replay_equal,passed
2601,a-alone,1|1|1|1,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,3;;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,6,true|true|true|false|false|false,4|4|4|0|0|0,2|2|2|1|1|1,false|false|false|false|false|false,0|0|0|0|0|0,2|2|2|1|1|1,0,0,0,0,491,45,18,18,18,5,260,16,16,3,68,0,6,4624,13905878120148871523,13312820674245188004,true,true,false
2601,b-alone,1|1|1|1,0|1|0|0,0|1|0|0,0|1|0|0,0|1|0|0,0|1|0|0,0|1|0|0,0|1|0|0,;3;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,6,true|false|false|true|true|false,4|0|0|4|4|0,2|1|1|2|2|1,false|false|false|false|false|false,0|0|0|0|0|0,2|1|1|2|2|1,0,0,0,0,488,42,18,18,18,5,260,16,16,3,68,0,6,4624,4387181103037540442,7313585290295010639,true,true,false
2601,a4-alone,4|1|1|1,1|0|0|0,1|0|0|0,1|0|0|0,4|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,3;;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,6,true|true|true|false|false|false,4|4|4|0|0|0,2|2|2|1|1|1,false|false|false|false|false|false,0|0|0|0|0|0,2|2|2|1|1|1,0,0,0,0,491,45,18,18,18,5,260,16,16,3,68,0,6,4624,4781082170839738344,11671455229449330355,true,true,false
2601,a-repeated,1|1|1|1,2|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,3;;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,6,true|true|true|false|false|false,4|4|4|0|0|0,2|2|2|1|1|1,false|false|false|false|false|false,0|0|0|0|0|0,2|2|2|1|1|1,0,0,0,0,500,50,19,19,19,5,260,16,16,4,67,0,6,4624,17077857620138393874,10191661627429830314,true,true,false
2601,a-then-b-late,1|1|1|1,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,3;5;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,6,true|true|true|false|false|false,4|4|4|0|0|0,2|2|2|1|1|1,false|false|false|false|false|false,0|0|0|0|0|0,2|2|2|1|1|1,0,0,0,0,871,139,29,29,29,9,468,26,26,10,71,0,6,4624,16841965111168895983,8858533031427636477,true,true,false
2601,ab-one-overlap,1|1|1|1,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,1|1|0|0,3;3;;,1|0|0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,1|1|1|1|1|1,6,true|true|true|true|true|false,7|4|4|4|4|0,2|2|2|2|2|1,true|false|false|false|false|false,2|0|0|0|0|0,2|2|2|2|2|1,1,0,0,0,1015,148,33,33,33,11,572,30,30,11,76,0,5,4624,13459520926401797567,7657300705110030455,true,true,false
2601,ab-recurrent-1-1,1|1|1|1,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,3|12;3|12;;,2|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,2|2|2|2|2|2,6,true|true|true|true|true|false,9|3|3|3|3|0,2|1|1|1|1|1,true|false|false|false|false|false,5|0|0|0|0|0,2|1|1|1|1|1,1,0,0,0,2019,296,66,66,66,22,1144,60,60,17,151,0,5,4624,11065618476167801981,13240718133006688459,true,true,false
2601,ab-recurrent-2-1,2|1|1|1,2|2|0|0,2|2|0|0,2|2|0|0,4|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,3|12;3|12;;,2|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,2|2|2|2|2|2,6,true|true|true|true|true|false,9|3|3|3|3|0,2|1|1|1|1|1,true|false|false|false|false|false,5|0|0|0|0|0,2|1|1|1|1|1,1,0,0,0,2019,296,66,66,66,22,1144,60,60,17,151,0,5,4624,6571292770800609745,7240326690362469647,true,true,false
2601,ab-recurrent-4-4,4|4|1|1,2|2|0|0,2|2|0|0,2|2|0|0,8|8|0|0,2|2|0|0,2|2|0|0,2|2|0|0,3|12;3|12;;,2|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,2|2|2|2|2|2,6,true|true|true|true|true|false,9|3|3|3|3|0,2|1|1|1|1|1,true|false|false|false|false|false,5|0|0|0|0|0,2|1|1|1|1|1,1,0,0,0,2019,296,66,66,66,22,1144,60,60,17,151,0,5,4624,10074924062387003437,15236118945386787835,true,true,false
2601,ab-recurrent-heldout-matrix,1|1|1|1,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,3|12;3|12;;,2|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,2|2|2|2|2|2,6,true|true|true|true|true|false,9|3|3|3|3|0,2|1|1|1|1|1,true|false|false|false|false|false,5|0|0|0|0|0,2|1|1|1|1|1,1,0,0,0,2019,296,66,66,66,22,1144,60,60,17,151,0,5,4624,2090898994059689428,1720757444242350886,true,true,false
2601,ab-blocked-return,1|1|1|1,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,2|2|0|0,3|12;3|12;;,2|0|0|0|0|0,2|0|0|0|0|0,2|0|0|0|0|0,0|0|0|0|0|0,6,true|true|true|true|true|false,2|3|3|3|3|0,1|1|1|1|1|1,false|false|false|false|false|false,0|0|0|0|0|0,1|1|1|1|1|1,0,0,0,0,1569,182,52,52,52,20,920,46,46,13,128,0,6,4240,8913499468501333306,14972210701572195299,true,true,false
2601,proposal-only,1|1|1|1,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,;;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,6,true|true|true|true|true|true,1|1|1|1|1|1,1|1|1|1|1|1,false|false|false|false|false|false,0|0|0|0|0|0,1|1|1|1|1|1,0,0,0,0,58,0,0,0,0,0,0,0,0,0,52,0,6,4624,16680333393878191682,12922328100184527270,true,true,false
2609,a-alone,1|1|1|1,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,1|0|0|0,3;;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,6,true|true|true|false|false|false,4|4|4|0|0|0,2|2|2|1|1|1,false|false|false|false|false|false,0|0|0|0|0|0,2|2|2|1|1|1,0,0,0,0,491,45,18,18,18,5,260,16,16,3,68,0,6,4624,17365959608496614443,1439844251379521260,true,true,false
2609,b-alone,1|1|1|1,0|1|0|0,0|1|0|0,0|1|0|0,0|1|0|0,0|1|0|0,0|1|0|0,0|1|0|0,;3;;,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,6,true|false|false|true|true|false,4|0|0|4|4|0,2|1|1|2|2|1,false|false|false|false|false|false,0|0|0|0|0|0,2|1|1|2|2|1,0,0,0,0,488,42,18,18,18,5,260,16,16,3,68,0,6,4624,6708539996411791826,9055739192032206823,true,true,false
