seed,stratum,world,namespace,reverse,reflect,initial_candidates,historical_candidates,primary,control_a,control_b,resistance,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,claims,work,bytes,fingerprint,permanent,quiescent,replay,passed
0,G0,full-recursive,0x6530000000000,false,false,0,3,ab=prim=2|2|0|0~o=2|0|0~p=2|0|0~cand=2|0|0~imp=3|0|0~out=2|0|0~pt=2|0|0~arr=4|0|0~timp=4|0|0~trace=2|0|0~m=2|0|0~credit=2|0|0~prop=1~q=true~xc=prim=2|2|2|0~o=2|2|0~p=2|2|0~cand=2|2|0~imp=4|3|0~out=2|2|0~pt=2|2|0~arr=4|4|0~timp=4|4|0~trace=2|2|0~m=2|2|0~credit=2|2|0~prop=1~q=true~yd=prim=2|2|2|2~o=2|2|2~p=2|2|2~cand=2|2|2~imp=4|4|3~out=2|2|2~pt=2|2|2~arr=4|4|4~timp=4|4|4~trace=2|2|2~m=2|2|2~credit=2|2|2~prop=1~q=true~full=prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~pt=1|1|1~arr=2|2|2~timp=2|2|2~trace=1|1|1~m=0|0|0~credit=0|0|0~prop=0~q=true,ab=prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=1|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true~c=prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true~xcgap=prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=1|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,xc=prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=1|1|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true~d=prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true~ydgap=prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=1|1|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true,first=4|0|0;8|4|0;12|8|4~train=6|0|0;10|6|0;14|10|6~death=0|0|0~final=13|9|5,true,true,true,true,true,true,true,true,true,true,10,17827,5920,15119412294246446246,18440095941118948116,true,true,true
0,G0,recurrence-no-return,0x6530001000000,false,false,0,1,prim=2|2|0|0~o=2|0|0~p=2|0|0~cand=2|0|0~imp=3|0|0~out=2|0|0~pt=2|0|0~arr=4|0|0~timp=4|0|0~trace=2|0|0~m=0|0|0~credit=0|0|0~prop=1~q=true,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=1|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,none,trained=4|0|0~final=0|0|0,true,true,false,true,true,false,false,true,true,true,7,2589,5792,16169704916024262398,16324558093803783229,true,true,false
0,G0,return-no-joint,0x6530002000000,false,false,0,0,prim=0|0|0|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,none,none,0|0|0,true,true,true,true,true,true,true,true,true,true,10,450,5728,9326966664411332488,3874072539070241103,true,true,true
0,G0,same-path-amplitude-repeat,0x6530003000000,false,false,0,0,prim=2|0|0|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,strong=4~repeat=1,none,0|0|0,true,true,true,true,true,true,true,true,true,true,10,649,5728,1939463063884136045,7357826858822099624,true,true,true
1,G1,full-recursive,0x6530010000000,true,false,0,3,ab=prim=2|2|0|0~o=2|0|0~p=2|0|0~cand=2|0|0~imp=3|0|0~out=2|0|0~pt=2|0|0~arr=4|0|0~timp=4|0|0~trace=2|0|0~m=2|0|0~credit=2|0|0~prop=1~q=true~xc=prim=2|2|2|0~o=2|2|0~p=2|2|0~cand=2|2|0~imp=4|3|0~out=2|2|0~pt=2|2|0~arr=4|4|0~timp=4|4|0~trace=2|2|0~m=2|2|0~credit=2|2|0~prop=1~q=true~yd=prim=2|2|2|2~o=2|2|2~p=2|2|2~cand=2|2|2~imp=4|4|3~out=2|2|2~pt=2|2|2~arr=4|4|4~timp=4|4|4~trace=2|2|2~m=2|2|2~credit=2|2|2~prop=1~q=true~full=prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~pt=1|1|1~arr=2|2|2~timp=2|2|2~trace=1|1|1~m=0|0|0~credit=0|0|0~prop=0~q=true,ab=prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=1|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true~c=prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true~xcgap=prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=1|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,xc=prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=1|1|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true~d=prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true~ydgap=prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=1|1|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true,first=4|0|0;8|4|0;12|8|4~train=6|0|0;10|6|0;14|10|6~death=0|0|0~final=13|9|5,true,true,true,true,true,true,true,true,true,true,10,17827,5920,12448623057839582790,10473520358314427796,true,true,true
1,G1,recurrence-no-return,0x6530011000000,true,false,0,1,prim=2|2|0|0~o=2|0|0~p=2|0|0~cand=2|0|0~imp=3|0|0~out=2|0|0~pt=2|0|0~arr=4|0|0~timp=4|0|0~trace=2|0|0~m=0|0|0~credit=0|0|0~prop=1~q=true,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=1|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,none,trained=4|0|0~final=0|0|0,true,true,false,true,true,false,false,true,true,true,7,2589,5792,4333907309342072478,15502440394541923453,true,true,false
1,G1,return-no-joint,0x6530012000000,true,false,0,0,prim=0|0|0|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,none,none,0|0|0,true,true,true,true,true,true,true,true,true,true,10,450,5728,11178904166482191816,10547666018183137775,true,true,true
1,G1,same-path-amplitude-repeat,0x6530013000000,true,false,0,0,prim=2|0|0|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,strong=4~repeat=1,none,0|0|0,true,true,true,true,true,true,true,true,true,true,10,649,5728,1340960093129087949,11823003605708682376,true,true,true
2,G2,full-recursive,0x6530020000000,false,true,0,3,ab=prim=2|2|0|0~o=2|0|0~p=2|0|0~cand=2|0|0~imp=3|0|0~out=2|0|0~pt=2|0|0~arr=4|0|0~timp=4|0|0~trace=2|0|0~m=2|0|0~credit=2|0|0~prop=1~q=true~xc=prim=2|2|2|0~o=2|2|0~p=2|2|0~cand=2|2|0~imp=4|3|0~out=2|2|0~pt=2|2|0~arr=4|4|0~timp=4|4|0~trace=2|2|0~m=2|2|0~credit=2|2|0~prop=1~q=true~yd=prim=2|2|2|2~o=2|2|2~p=2|2|2~cand=2|2|2~imp=4|4|3~out=2|2|2~pt=2|2|2~arr=4|4|4~timp=4|4|4~trace=2|2|2~m=2|2|2~credit=2|2|2~prop=1~q=true~full=prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~pt=1|1|1~arr=2|2|2~timp=2|2|2~trace=1|1|1~m=0|0|0~credit=0|0|0~prop=0~q=true,ab=prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=1|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true~c=prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true~xcgap=prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=1|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,xc=prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=1|1|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true~d=prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true~ydgap=prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=1|1|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true,first=4|0|0;8|4|0;12|8|4~train=6|0|0;10|6|0;14|10|6~death=0|0|0~final=13|9|5,true,true,true,true,true,true,true,true,true,true,10,17827,5920,14057261004500443904,16105695419461458578,true,true,true
2,G2,recurrence-no-return,0x6530021000000,false,true,0,1,prim=2|2|0|0~o=2|0|0~p=2|0|0~cand=2|0|0~imp=3|0|0~out=2|0|0~pt=2|0|0~arr=4|0|0~timp=4|0|0~trace=2|0|0~m=0|0|0~credit=0|0|0~prop=1~q=true,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=1|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,none,trained=4|0|0~final=0|0|0,true,true,false,true,true,false,false,true,true,true,7,2589,5792,11868619841913176916,8784304803366630527,true,true,false
