seed,stratum,scenario,namespace,primitive,primitive_trace,opportunity,p_events,p_fires,candidate,x_fires,p_trace,x_trace,return_source,return_outlet,return_trace,attribution,echo,historical_candidates,live_candidates,candidate_resistance,candidate_liveness,return_updates,proposals,v0,v1,v2,v3,v4,validity,claim_pass,work,bytes,fingerprint,permanent,quiescent,replay,valid
3601,normal,complete-pxr,15466177298432,0~0,1~1,1,1:1:false|1:1:true|4:1:false,1,1:1,2,2,3,2,2,3,3,3:1,1,1,4,true,3,1,true,true,true,true,true,5,true,881,2848,9647107857550440961,11653084611953480990,true,true,true
3601,normal,px-no-return,15466177363968,0~0,1~1,1,1:1:false|1:1:true,1,1:1,2,2,3,,,,,,1,1,1,true,0,1,true,true,true,true,true,5,true,656,2848,17651522071169644724,14332196422300085976,true,true,true
3601,normal,pr-x-blocked,15466177429504,0~0,1~1,1,1:1:false|1:1:true,1,1:1,,2,,2,2,3,,,1,1,1,true,0,1,true,true,true,true,true,5,true,653,2848,3169384914682671536,15333951091318932030,true,true,true
3601,normal,xr-p-absent,15466177495040,~,~,,,,,2,,3,2,2,3,,,0,0,,,0,0,true,true,true,true,true,5,true,308,2784,12419640581676693390,12815052854224214101,true,true,true
3601,normal,px-late-a-no-return,15466177560576,0|3~0,1|4~1,1,1:1:false|1:1:true,1,1:1,2,2,3,,,,,,1,1,1,true,6,1,true,true,true,true,true,5,true,838,2848,1614281038875948339,11184940541332933284,true,true,true
3601,normal,adjacent-ab-no-return,15466177626112,0|1~0|1,1|2~1|2,1|2,1:1:false|1:1:true|2:1:false|2:1:true|5:1:false,1|2,1:1|2:2,2|3,2|3,3|4,,,,4,4:1,1,1,7,true,26,1,true,true,true,true,true,5,false,1556,2848,4305436532346685902,10715344480273836175,true,true,true
3601,normal,collision-real-return,15466177691648,0|3~0|3,1|4~1|4,1|4,1:1:false|1:1:true|4:1:false|4:1:true|4:1:false,1|4,1:1|4:2,2|5,2|5,3|6,2,2,3,3,3:1,1,1,7,true,27,1,true,true,true,true,true,5,true,1736,2848,9541665895451116664,18083861134010691270,true,true,true
3601,normal,two-completed-pxr,15466177757184,0|11~0|11,1|12~1|12,1|12,1:1:false|1:1:true|4:1:false|12:1:false|12:1:true|15:1:false,1|12,1:1|12:2,2|13,2|13,3|14,2|13,2|13,3|14,3|14,3:1|14:1,1,1,6,true,8,1,true,true,true,true,true,5,true,1992,2848,8590087933101158700,1407583286831459447,true,true,true
3609,mirrored,complete-pxr,15500537036800,0~0,1~1,1,1:1:false|1:1:true|4:1:false,1,1:1,2,2,3,2,2,3,3,3:1,1,1,4,true,3,1,true,true,true,true,true,5,true,881,2848,16523482709516134175,366107044101953268,true,true,true
3609,mirrored,px-no-return,15500537102336,0~0,1~1,1,1:1:false|1:1:true,1,1:1,2,2,3,,,,,,1,1,1,true,0,1,true,true,true,true,true,5,true,656,2848,17411982603956824670,17627104561782349030,true,true,true
3609,mirrored,pr-x-blocked,15500537167872,0~0,1~1,1,1:1:false|1:1:true,1,1:1,,2,,2,2,3,,,1,1,1,true,0,1,true,true,true,true,true,5,true,653,2848,11364135092502865474,14265494493744502952,true,true,true
3609,mirrored,xr-p-absent,15500537233408,~,~,,,,,2,,3,2,2,3,,,0,0,,,0,0,true,true,true,true,true,5,true,308,2784,551591484755865588,5095936351120280439,true,true,true
3609,mirrored,px-late-a-no-return,15500537298944,0|3~0,1|4~1,1,1:1:false|1:1:true,1,1:1,2,2,3,,,,,,1,1,1,true,6,1,true,true,true,true,true,5,true,838,2848,13009809626479634617,11978678785828787662,true,true,true
3609,mirrored,adjacent-ab-no-return,15500537364480,0|1~0|1,1|2~1|2,1|2,1:1:false|1:1:true|2:1:false|2:1:true|5:1:false,1|2,1:1|2:2,2|3,2|3,3|4,,,,4,4:1,1,1,7,true,26,1,true,true,true,true,true,5,false,1556,2848,3718244500749117444,6315760264667929429,true,true,true
3609,mirrored,collision-real-return,15500537430016,0|3~0|3,1|4~1|4,1|4,1:1:false|1:1:true|4:1:false|4:1:true|4:1:false,1|4,1:1|4:2,2|5,2|5,3|6,2,2,3,3,3:1,1,1,7,true,27,1,true,true,true,true,true,5,true,1736,2848,16629110550549704218,14199614673023979700,true,true,true
3609,mirrored,two-completed-pxr,15500537495552,0|11~0|11,1|12~1|12,1|12,1:1:false|1:1:true|4:1:false|12:1:false|12:1:true|15:1:false,1|12,1:1|12:2,2|13,2|13,3|14,2|13,2|13,3|14,3|14,3:1|14:1,1,1,6,true,8,1,true,true,true,true,true,5,true,1992,2848,928059273529443714,5132455560949129089,true,true,true
