seed,stratum,scenario,namespace,primitive,primitive_trace,p_fires,x_fires,p_trace,x_trace,return_trace,p_foot_events,x_foot_events,p_foot_fires,x_foot_fires,m_events,m_fires,echo,candidate,candidate_resistance,candidate_liveness,return_updates,proposals,v0,v1,v2,v3,v4,validity,claim_pass,work,bytes,fingerprint,permanent,quiescent,replay,passed
3701,normal,px-no-return-100-adjacent,15895674028032,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99~0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100~1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101|102,,3:1:false|4:1:false|5:1:false|6:1:false|7:1:false|8:1:false|9:1:false|10:1:false|11:1:false|12:1:false|13:1:false|14:1:false|15:1:false|16:1:false|17:1:false|18:1:false|19:1:false|20:1:false|21:1:false|22:1:false|23:1:false|24:1:false|25:1:false|26:1:false|27:1:false|28:1:false|29:1:false|30:1:false|31:1:false|32:1:false|33:1:false|34:1:false|35:1:false|36:1:false|37:1:false|38:1:false|39:1:false|40:1:false|41:1:false|42:1:false|43:1:false|44:1:false|45:1:false|46:1:false|47:1:false|48:1:false|49:1:false|50:1:false|51:1:false|52:1:false|53:1:false|54:1:false|55:1:false|56:1:false|57:1:false|58:1:false|59:1:false|60:1:false|61:1:false|62:1:false|63:1:false|64:1:false|65:1:false|66:1:false|67:1:false|68:1:false|69:1:false|70:1:false|71:1:false|72:1:false|73:1:false|74:1:false|75:1:false|76:1:false|77:1:false|78:1:false|79:1:false|80:1:false|81:1:false|82:1:false|83:1:false|84:1:false|85:1:false|86:1:false|87:1:false|88:1:false|89:1:false|90:1:false|91:1:false|92:1:false|93:1:false|94:1:false|95:1:false|96:1:false|97:1:false|98:1:false|99:1:false|100:1:false|101:1:false|102:1:false,3:1:false|4:1:false|5:1:false|6:1:false|7:1:false|8:1:false|9:1:false|10:1:false|11:1:false|12:1:false|13:1:false|14:1:false|15:1:false|16:1:false|17:1:false|18:1:false|19:1:false|20:1:false|21:1:false|22:1:false|23:1:false|24:1:false|25:1:false|26:1:false|27:1:false|28:1:false|29:1:false|30:1:false|31:1:false|32:1:false|33:1:false|34:1:false|35:1:false|36:1:false|37:1:false|38:1:false|39:1:false|40:1:false|41:1:false|42:1:false|43:1:false|44:1:false|45:1:false|46:1:false|47:1:false|48:1:false|49:1:false|50:1:false|51:1:false|52:1:false|53:1:false|54:1:false|55:1:false|56:1:false|57:1:false|58:1:false|59:1:false|60:1:false|61:1:false|62:1:false|63:1:false|64:1:false|65:1:false|66:1:false|67:1:false|68:1:false|69:1:false|70:1:false|71:1:false|72:1:false|73:1:false|74:1:false|75:1:false|76:1:false|77:1:false|78:1:false|79:1:false|80:1:false|81:1:false|82:1:false|83:1:false|84:1:false|85:1:false|86:1:false|87:1:false|88:1:false|89:1:false|90:1:false|91:1:false|92:1:false|93:1:false|94:1:false|95:1:false|96:1:false|97:1:false|98:1:false|99:1:false|100:1:false|101:1:false|102:1:false,,,,,,1:1|2:2|3:2|4:2|5:2|6:2|7:2|8:2|9:2|10:2|11:2|12:2|13:2|14:2|15:2|16:2|17:2|18:2|19:2|20:2|21:2|22:2|23:2|24:2|25:2|26:2|27:2|28:2|29:2|30:2|31:2|32:2|33:2|34:2|35:2|36:2|37:2|38:2|39:2|40:2|41:2|42:2|43:2|44:2|45:2|46:2|47:2|48:2|49:2|50:2|51:2|52:2|53:2|54:2|55:2|56:2|57:2|58:2|59:2|60:2|61:2|62:2|63:2|64:2|65:2|66:2|67:2|68:2|69:2|70:2|71:2|72:2|73:2|74:2|75:2|76:2|77:2|78:2|79:2|80:2|81:2|82:2|83:2|84:2|85:2|86:2|87:2|88:2|89:2|90:2|91:2|92:2|93:2|94:2|95:2|96:2|97:2|98:2|99:2|100:2,288,true,2081,1,true,true,true,true,true,5,true,580995,3136,4974349086534092909,813259714124709633,true,true,true
3701,normal,complete-pxr,15895674093568,0~0,1~1,1,2,2,3,3,3:1:false|3:1:true,3:1:false|3:1:true,3,3,3:1:false|3:1:true,3,3:1,1:1,4,true,3,1,true,true,true,true,true,5,true,1029,3136,8274770748033855745,7448517987282130294,true,true,true
3701,normal,p-only-r,15895674159104,0~0,1~1,1,,2,,3,3:1:false|3:1:true,3:1:false,3,,3:1:false,,,1:1,1,true,0,1,true,true,true,true,true,5,true,747,3136,5099171795192709944,6872961920917918826,true,true,true
3701,normal,x-only-r,15895674224640,~,~,,2,,3,3,3:1:false,3:1:false|3:1:true,,3,3:1:false,,,,,,0,0,true,true,true,true,true,5,true,376,3072,10095491768116457495,12710385686236961564,true,true,true
3701,normal,px-late-r,15895674290176,0~0,1~1,1,2,2,3,7,3:1:false|7:1:false,3:1:false|7:1:false,,,,,,1:1,0,false,0,1,true,true,true,true,true,5,true,919,3136,334100133790432740,4007909447479906625,true,true,true
3701,normal,adjacent-current-r,15895674355712,0|1~0|1,1|2~1|2,1|2,2|3,2|3,3|4,4,3:1:false|4:1:false|4:1:true,3:1:false|4:1:false|4:1:true,4,4,4:1:false|4:1:true,4,4:1,1:1|2:2,7,true,26,1,true,true,true,true,true,5,true,1964,3136,3021063413016738786,4746078150766379383,true,true,true
3709,mirrored,px-no-return-100-adjacent,15930033766400,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99~0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100~1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101|102,,3:1:false|4:1:false|5:1:false|6:1:false|7:1:false|8:1:false|9:1:false|10:1:false|11:1:false|12:1:false|13:1:false|14:1:false|15:1:false|16:1:false|17:1:false|18:1:false|19:1:false|20:1:false|21:1:false|22:1:false|23:1:false|24:1:false|25:1:false|26:1:false|27:1:false|28:1:false|29:1:false|30:1:false|31:1:false|32:1:false|33:1:false|34:1:false|35:1:false|36:1:false|37:1:false|38:1:false|39:1:false|40:1:false|41:1:false|42:1:false|43:1:false|44:1:false|45:1:false|46:1:false|47:1:false|48:1:false|49:1:false|50:1:false|51:1:false|52:1:false|53:1:false|54:1:false|55:1:false|56:1:false|57:1:false|58:1:false|59:1:false|60:1:false|61:1:false|62:1:false|63:1:false|64:1:false|65:1:false|66:1:false|67:1:false|68:1:false|69:1:false|70:1:false|71:1:false|72:1:false|73:1:false|74:1:false|75:1:false|76:1:false|77:1:false|78:1:false|79:1:false|80:1:false|81:1:false|82:1:false|83:1:false|84:1:false|85:1:false|86:1:false|87:1:false|88:1:false|89:1:false|90:1:false|91:1:false|92:1:false|93:1:false|94:1:false|95:1:false|96:1:false|97:1:false|98:1:false|99:1:false|100:1:false|101:1:false|102:1:false,3:1:false|4:1:false|5:1:false|6:1:false|7:1:false|8:1:false|9:1:false|10:1:false|11:1:false|12:1:false|13:1:false|14:1:false|15:1:false|16:1:false|17:1:false|18:1:false|19:1:false|20:1:false|21:1:false|22:1:false|23:1:false|24:1:false|25:1:false|26:1:false|27:1:false|28:1:false|29:1:false|30:1:false|31:1:false|32:1:false|33:1:false|34:1:false|35:1:false|36:1:false|37:1:false|38:1:false|39:1:false|40:1:false|41:1:false|42:1:false|43:1:false|44:1:false|45:1:false|46:1:false|47:1:false|48:1:false|49:1:false|50:1:false|51:1:false|52:1:false|53:1:false|54:1:false|55:1:false|56:1:false|57:1:false|58:1:false|59:1:false|60:1:false|61:1:false|62:1:false|63:1:false|64:1:false|65:1:false|66:1:false|67:1:false|68:1:false|69:1:false|70:1:false|71:1:false|72:1:false|73:1:false|74:1:false|75:1:false|76:1:false|77:1:false|78:1:false|79:1:false|80:1:false|81:1:false|82:1:false|83:1:false|84:1:false|85:1:false|86:1:false|87:1:false|88:1:false|89:1:false|90:1:false|91:1:false|92:1:false|93:1:false|94:1:false|95:1:false|96:1:false|97:1:false|98:1:false|99:1:false|100:1:false|101:1:false|102:1:false,,,,,,1:1|2:2|3:2|4:2|5:2|6:2|7:2|8:2|9:2|10:2|11:2|12:2|13:2|14:2|15:2|16:2|17:2|18:2|19:2|20:2|21:2|22:2|23:2|24:2|25:2|26:2|27:2|28:2|29:2|30:2|31:2|32:2|33:2|34:2|35:2|36:2|37:2|38:2|39:2|40:2|41:2|42:2|43:2|44:2|45:2|46:2|47:2|48:2|49:2|50:2|51:2|52:2|53:2|54:2|55:2|56:2|57:2|58:2|59:2|60:2|61:2|62:2|63:2|64:2|65:2|66:2|67:2|68:2|69:2|70:2|71:2|72:2|73:2|74:2|75:2|76:2|77:2|78:2|79:2|80:2|81:2|82:2|83:2|84:2|85:2|86:2|87:2|88:2|89:2|90:2|91:2|92:2|93:2|94:2|95:2|96:2|97:2|98:2|99:2|100:2,288,true,2081,1,true,true,true,true,true,5,true,580995,3136,8537018050145404339,13346809470789008219,true,true,true
3709,mirrored,complete-pxr,15930033831936,0~0,1~1,1,2,2,3,3,3:1:false|3:1:true,3:1:false|3:1:true,3,3,3:1:false|3:1:true,3,3:1,1:1,4,true,3,1,true,true,true,true,true,5,true,1029,3136,5215993781908912703,10891850859809256132,true,true,true
3709,mirrored,p-only-r,15930033897472,0~0,1~1,1,,2,,3,3:1:false|3:1:true,3:1:false,3,,3:1:false,,,1:1,1,true,0,1,true,true,true,true,true,5,true,747,3136,559353597687262278,6828375488508203920,true,true,true
3709,mirrored,x-only-r,15930033963008,~,~,,2,,3,3,3:1:false,3:1:false|3:1:true,,3,3:1:false,,,,,,0,0,true,true,true,true,true,5,true,376,3072,17508864445313604809,5549984761631533730,true,true,true
