name,namespace,stage,route_resistance,route_live,incoming_resistance,incoming_live,training_source_firings,training_local_firings,training_outward,held_out_local_firings,held_out_outward,permanent_fingerprint,complete_fingerprint,arrow_count,persistent_bytes,duplicate_exact,queue_comparisons,spikes_delivered,generation_checks,state_updates,threshold_checks,firings,arrow_checks,spikes_emitted,local_eligibility_writes,local_return_updates,ordinary_pressure_updates,local_structural_proposals,physical_deallocations,work
main-with-swap,41625321472,initial,0|0|33:0|0|33:0|0|33:0|0|33,false|false|true:false|false|true:false|false|true:false|false|true,33|33|0|0|0|0|0|0|0|0|33|33,true|true|false|false|false|false|false|false|false|false|true|true,16|16|16|16|16|16|16|16|16|16|16|16,16|0|0|0|0|16,16|0|0|0|0|16,1|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|1,1|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|1,7016970024599019725,10173959849071852322,162,12144,true,146092,794,794,794,794,364,40728,342,342,68,836,120,128,192196
main-with-swap,41625321472,swap,0|0|0:0|0|0:0|0|0:0|0|0,false|false|false:false|false|false:false|false|false:false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,false|false|false|false|false|false|false|false|false|false|false|false,20|20|20|20|20|20|20|20|20|20|20|20,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,5050045270464864689,12146829381303869019,336,23280,true,197250,832,832,746,746,352,92295,276,276,0,936,174,178,294893
layout-order-identity-replica,41642098688,initial,0|0|33:0|0|33:0|0|33:0|0|33,false|false|true:false|false|true:false|false|true:false|false|true,33|33|0|0|0|0|0|0|0|0|33|33,true|true|false|false|false|false|false|false|false|false|true|true,16|16|16|16|16|16|16|16|16|16|16|16,16|0|0|0|0|16,16|0|0|0|0|16,1|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|1,1|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|1,12049447073566703747,5883472801195131492,162,12144,true,146092,794,794,794,794,364,40728,342,342,68,836,120,128,192196
spacing-replica,41658875904,initial,0|0|27:0|0|27:0|0|0:0|0|0,false|false|true:false|false|true:false|false|false:false|false|false,27|27|0|0|0|0|0|0|0|0|0|0,true|true|false|false|false|false|false|false|false|false|false|false,16|16|16|16|16|16|16|16|16|16|16|16,16|0|0|0|0|1,16|0|0|0|0|1,1|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,1|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,2193489471782267514,12455629633514904012,192,14064,true,137356,740,740,712,712,332,43119,288,288,34,1107,150,160,185738
stable-alternative,41675653120,initial,0|0|33:0|0|33:0|0|33:0|0|33,false|false|true:false|false|true:false|false|true:false|false|true,0|0|0|0|33|33|33|33|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,16|16|16|16|16|16|16|16|16|16|16|16,0|0|16|16|0|0,0|0|16|16|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|1|0|0|0:0|0|0|1|0|0:0|0|0|0|0|0:0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|1|0|0|0:0|0|0|1|0|0:0|0|0|0|0|0:0|0|0|0|0|0,11884612283144967204,683569339070882175,162,12144,true,146092,794,794,794,794,364,40728,342,342,68,836,120,128,192196
correlated-without-participation,41692430336,initial,0|0|0:0|0|0:0|0|0:0|0|0,false|false|false:false|false|false:false|false|false:false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,false|false|false|false|false|false|false|false|false|false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,1356603251371414693,940127612066906352,42,4464,true,766,104,104,104,104,104,4368,36,36,0,492,0,12,6230
participation-blocked-return,41709207552,initial,0|0|0:0|0|0:0|0|0:0|0|0,false|false|false:false|false|false:false|false|false:false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,false|false|false|false|false|false|false|false|false|false|false|false,16|16|16|16|16|16|16|16|16|16|16|16,1|0|0|0|0|1,1|0|0|0|0|1,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,12405543993645164402,14514166438839268811,222,15984,true,127035,682,682,682,682,300,44460,230,230,0,482,180,192,175837
absent-opportunity,41725984768,initial,0|0|0:0|0|0:0|0|0:0|0|0,false|false|false:false|false|false:false|false|false:false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,false|false|false|false|false|false|false|false|false|false|false|false,16|16|16|16|16|16|16|16|16|16|16|16,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,12894879582691079717,10038161620843467783,30,3696,true,46750,488,488,488,488,488,14640,228,228,0,672,0,0,64958
stale-field,41742761984,initial,0|0|0:0|0|0:0|0|0:0|0|0,false|false|false:false|false|false:false|false|false:false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,false|false|false|false|false|false|false|false|false|false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,12582812599599930094,10789058780645301988,42,4464,true,270,72,72,72,72,72,3024,36,36,0,42,0,12,3780
ambiguous-three,41759539200,initial,0|33|33:0|33|33:0|33|33:0|0|0,false|true|true:false|true|true:false|true|true:false|false|false,33|33|33|33|0|0|33|33|0|0|0|0,true|true|true|true|false|false|true|true|false|false|false|false,16|16|16|16|16|16|16|16|16|16|16|16,16|16|0|16|0|0,16|16|0|16|0|0,1|0|0|0|0|0:0|1|0|0|0|0:0|0|0|0|0|0:0|0|0|1|0|0:0|0|0|0|0|0:0|0|0|0|0|0,1|0|0|0|0|0:0|1|0|0|0|0:0|0|0|0|0|0:0|0|0|1|0|0:0|0|0|0|0|0:0|0|0|0|0|0,13822560286540777737,14903449222392389198,132,10224,true,147443,835,835,835,835,382,35757,399,399,102,924,90,96,188932
