stage,protocol,authority,index,mark,flip,mirror,schedule_origin,replicate,resistance,deallocation_steps,one_dead,qualified_resistance,qualified_coupling,return_alone,late_return,drive_return,reuse_no_proposal,reuse_impulse,disuse_dead,reacquired,old_generation,new_generation,shift_old_dead,shift_new_live,shift_new_resistance,shift_new_reused,stale_blocked,stale_generations,stale_effect_firings,stale_deallocations,fresh_layout,px0,px1,px2,px3,lrc,quiescent,replay,row_clauses_passed,row_clauses_total,row_passed,all_layouts,verdict
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,0,461001,false,false,200,1,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,1,461002,true,false,200,1,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,2,461003,false,true,200,1,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,3,461004,true,true,200,1,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,4,461005,false,false,400,1,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,5,461006,true,false,400,1,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,6,461007,false,true,400,1,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,7,461008,true,true,400,1,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,8,461009,false,false,200,2,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,9,461010,true,false,200,2,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,10,461011,false,true,200,2,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,11,461012,true,true,200,2,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,12,461013,false,false,400,2,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,13,461014,true,false,400,2,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,14,461015,false,true,400,2,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
authority,px4-lrc-cumulative-lifetime-authority-v1,f9057fe78a86db9111b0b69310d03accef3bc970,15,461016,true,true,400,2,4|7|12|22,4|7|12|22,true,4,2,true,true,true,true,2,true,true,4,4,true,true,6,true,true,4|4,1,1,true,true,true,true,true,true,true,true,41,41,true,true,PASS
